date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,9,12,13,12,15,16,87,0.0,1017,12,10,14,8,"brownsville,tx"
2019-01-01 01:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,9,12,12,12,16,26,87,0.0,1017,11,10,16,8,"brownsville,tx"
2019-01-01 02:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,9,12,12,12,17,37,87,0.0,1017,11,10,17,8,"brownsville,tx"
2019-01-01 03:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,10,12,12,12,17,48,87,0.0,1016,11,10,18,8,"brownsville,tx"
2019-01-01 04:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,10,12,12,12,17,55,87,0.0,1016,11,10,20,7,"brownsville,tx"
2019-01-01 05:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,11,13,13,13,17,61,87,0.0,1017,12,10,22,6,"brownsville,tx"
2019-01-01 06:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,11,13,13,13,17,68,87,0.0,1017,13,10,23,6,"brownsville,tx"
2019-01-01 07:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,12,14,14,14,18,68,84,0.0,1017,13,10,23,8,"brownsville,tx"
2019-01-01 08:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,12,15,15,15,19,68,82,0.0,1017,14,10,22,11,"brownsville,tx"
2019-01-01 09:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,13,16,16,16,20,69,80,0.0,1017,15,10,22,13,"brownsville,tx"
2019-01-01 10:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,14,17,17,17,21,75,80,0.0,1017,16,10,28,15,"brownsville,tx"
2019-01-01 11:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,15,18,18,18,22,82,80,0.0,1017,18,10,34,17,"brownsville,tx"
2019-01-01 12:00:00,20,13,0.0,5.2,5,26,04:17 AM,03:46 PM,08:17 AM,06:50 PM,16,20,20,20,23,89,81,0.0,1018,19,10,39,19,"brownsville,tx"
