date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-1,-5,-1,-5,29,100,91,0.0,1014,-3,10,287,17,"champaign,il"
2019-01-01 01:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-1,-5,-1,-5,27,100,89,0.0,1016,-2,10,289,17,"champaign,il"
2019-01-01 02:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-2,-6,-1,-6,25,100,87,0.0,1017,-2,10,292,18,"champaign,il"
2019-01-01 03:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-3,-6,-1,-6,23,100,85,0.0,1019,-2,10,294,18,"champaign,il"
2019-01-01 04:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-3,-6,-1,-6,22,100,88,0.0,1019,-2,10,307,17,"champaign,il"
2019-01-01 05:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-3,-6,-1,-6,20,100,91,0.0,1020,-2,10,320,16,"champaign,il"
2019-01-01 06:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-3,-7,-2,-7,19,100,94,0.0,1020,-3,10,332,15,"champaign,il"
2019-01-01 07:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-4,-7,-2,-7,18,99,90,0.0,1021,-3,10,267,18,"champaign,il"
2019-01-01 08:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-4,-8,-2,-8,17,99,85,0.0,1023,-3,10,201,21,"champaign,il"
2019-01-01 09:00:00,-3,-4,0.3,3.5,1,26,03:58 AM,02:46 PM,08:15 AM,05:38 PM,-5,-9,-3,-9,17,99,81,0.0,1024,-4,10,135,23,"champaign,il"
