date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,8,9,11,9,42,77,84,1.5,1009,10,9,226,16,"clarksburg,wv"
2019-01-01 01:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,9,11,12,11,42,82,82,0.8,1010,11,8,232,19,"clarksburg,wv"
2019-01-01 02:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,10,13,14,13,41,87,79,0.6,1010,13,7,237,21,"clarksburg,wv"
2019-01-01 03:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,11,15,15,15,41,92,77,0.8,1011,14,7,242,24,"clarksburg,wv"
2019-01-01 04:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,10,14,14,14,38,94,76,0.4,1012,13,5,248,23,"clarksburg,wv"
2019-01-01 05:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,9,13,13,13,36,97,75,0.1,1013,12,4,254,22,"clarksburg,wv"
2019-01-01 06:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,8,12,12,12,34,100,74,0.2,1015,12,2,260,21,"clarksburg,wv"
2019-01-01 07:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,7,12,12,12,31,99,73,0.1,1016,11,3,265,20,"clarksburg,wv"
2019-01-01 08:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,6,11,11,11,29,98,72,0.1,1017,10,4,269,18,"clarksburg,wv"
2019-01-01 09:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,5,10,10,10,26,97,71,0.2,1018,10,5,274,17,"clarksburg,wv"
2019-01-01 10:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,5,10,10,10,24,95,71,0.1,1018,9,6,276,16,"clarksburg,wv"
2019-01-01 11:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,5,9,9,9,22,92,71,0.1,1018,9,8,277,15,"clarksburg,wv"
2019-01-01 12:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,4,9,9,9,19,90,71,0.1,1018,8,10,279,14,"clarksburg,wv"
2019-01-01 13:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,4,9,9,9,18,91,70,0.1,1018,8,10,277,15,"clarksburg,wv"
2019-01-01 14:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,4,9,9,9,18,91,69,0.1,1017,8,10,275,15,"clarksburg,wv"
2019-01-01 15:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,3,9,9,9,17,92,67,0.1,1017,8,10,273,16,"clarksburg,wv"
2019-01-01 16:00:00,10,8,0.0,4.8,2,26,04:23 AM,03:16 PM,08:41 AM,06:09 PM,3,9,9,9,16,92,69,0.1,1017,8,10,273,14,"clarksburg,wv"
