date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,17,17,17,17,29,51,97,0.0,1013,16,10,193,8,"columbia,sc"
2019-01-01 01:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,16,17,17,17,30,55,97,0.0,1012,16,10,199,9,"columbia,sc"
2019-01-01 02:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,16,17,17,17,31,59,96,0.0,1012,16,10,205,9,"columbia,sc"
2019-01-01 03:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,15,16,16,16,32,63,95,0.0,1012,16,10,212,9,"columbia,sc"
2019-01-01 04:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,15,16,16,16,31,75,95,0.0,1012,15,10,217,9,"columbia,sc"
2019-01-01 05:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,14,15,15,15,30,88,95,0.0,1012,14,10,223,9,"columbia,sc"
2019-01-01 06:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,14,15,15,15,29,100,94,0.0,1012,14,10,228,9,"columbia,sc"
2019-01-01 07:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,14,15,15,15,28,100,94,0.0,1012,14,10,230,9,"columbia,sc"
2019-01-01 08:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,14,15,15,15,27,99,94,0.0,1012,15,10,231,9,"columbia,sc"
2019-01-01 09:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,15,16,16,16,26,99,93,0.0,1012,15,10,233,10,"columbia,sc"
2019-01-01 10:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,15,17,17,17,24,98,90,0.0,1012,16,10,237,11,"columbia,sc"
2019-01-01 11:00:00,19,13,0.0,5.0,5,26,04:18 AM,03:27 PM,08:29 AM,06:26 PM,15,18,18,18,23,98,87,0.0,1013,17,10,242,13,"columbia,sc"
