date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,28,86,100,0.1,1014,16,10,196,6,"columbus,ga"
2019-01-01 01:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,28,91,100,0.0,1013,16,10,199,6,"columbus,ga"
2019-01-01 02:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,27,95,100,0.0,1013,16,10,203,6,"columbus,ga"
2019-01-01 03:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,26,100,100,0.0,1013,16,10,206,6,"columbus,ga"
2019-01-01 04:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,26,100,100,0.0,1013,16,10,207,6,"columbus,ga"
2019-01-01 05:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,25,100,100,0.0,1014,16,10,209,6,"columbus,ga"
2019-01-01 06:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,25,100,100,0.0,1014,16,10,210,6,"columbus,ga"
2019-01-01 07:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,24,100,99,0.0,1015,16,10,211,6,"columbus,ga"
2019-01-01 08:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,24,100,97,0.0,1016,16,10,212,7,"columbus,ga"
2019-01-01 09:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,17,17,17,17,23,100,96,0.0,1016,17,10,213,7,"columbus,ga"
2019-01-01 10:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,18,18,18,23,100,92,0.0,1017,17,10,217,8,"columbus,ga"
2019-01-01 11:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,18,18,18,22,100,89,0.1,1017,17,10,221,8,"columbus,ga"
2019-01-01 12:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,18,18,18,21,100,85,0.1,1017,18,10,226,9,"columbus,ga"
2019-01-01 13:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,19,19,19,19,99,84,0.0,1017,18,10,234,8,"columbus,ga"
2019-01-01 14:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,19,19,19,17,98,83,0.2,1017,18,10,243,8,"columbus,ga"
2019-01-01 15:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,19,19,19,15,98,82,0.2,1018,19,10,252,7,"columbus,ga"
2019-01-01 16:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,16,19,19,19,14,95,83,0.1,1018,18,10,233,6,"columbus,ga"
2019-01-01 17:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,15,19,20,19,12,92,84,0.5,1018,18,10,215,6,"columbus,ga"
2019-01-01 18:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,15,19,20,19,11,89,86,0.6,1018,18,10,196,5,"columbus,ga"
2019-01-01 19:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,15,18,19,18,11,88,87,0.3,1018,17,10,168,5,"columbus,ga"
2019-01-01 20:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,14,17,19,17,11,87,88,0.3,1018,17,10,139,5,"columbus,ga"
2019-01-01 21:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,13,16,18,16,10,86,89,0.4,1018,16,10,111,5,"columbus,ga"
2019-01-01 22:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,14,16,17,16,9,89,90,0.2,1019,16,10,174,3,"columbus,ga"
2019-01-01 23:00:00,19,16,0.0,5.0,4,26,04:33 AM,03:46 PM,08:41 AM,06:45 PM,14,16,17,16,7,93,91,0.1,1020,15,10,237,2,"columbus,ga"
2019-01-02 00:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,15,16,16,16,5,96,93,0.1,1021,15,10,300,1,"columbus,ga"
2019-01-02 01:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,15,15,15,5,98,92,0.0,1020,15,9,295,1,"columbus,ga"
2019-01-02 02:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,15,15,15,5,99,92,0.0,1020,14,8,289,1,"columbus,ga"
2019-01-02 03:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,15,15,15,5,100,92,0.0,1020,14,7,284,1,"columbus,ga"
2019-01-02 04:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,15,15,15,4,100,92,0.0,1020,14,5,283,1,"columbus,ga"
2019-01-02 05:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,15,15,15,4,100,91,0.0,1020,14,3,281,2,"columbus,ga"
2019-01-02 06:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,13,14,14,14,4,100,91,0.0,1020,14,1,280,3,"columbus,ga"
2019-01-02 07:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,13,14,14,14,4,98,91,0.0,1021,14,2,270,2,"columbus,ga"
2019-01-02 08:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,13,14,14,14,4,96,91,0.0,1021,14,3,260,2,"columbus,ga"
2019-01-02 09:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,13,14,14,14,4,94,91,0.0,1022,14,3,250,1,"columbus,ga"
2019-01-02 10:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,15,15,15,5,92,89,0.0,1022,15,6,238,2,"columbus,ga"
2019-01-02 11:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,14,17,17,17,7,90,86,0.0,1023,16,8,226,3,"columbus,ga"
2019-01-02 12:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,15,18,18,18,8,88,84,0.0,1023,17,10,213,3,"columbus,ga"
2019-01-02 13:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,15,18,18,18,9,90,83,0.0,1022,17,10,208,4,"columbus,ga"
2019-01-02 14:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,15,19,19,19,10,91,81,0.0,1021,18,10,203,5,"columbus,ga"
2019-01-02 15:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,16,19,19,19,11,92,80,0.0,1020,19,10,197,6,"columbus,ga"
2019-01-02 16:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,16,19,19,19,13,90,83,0.0,1020,18,10,187,5,"columbus,ga"
2019-01-02 17:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,16,19,19,19,14,87,85,0.1,1019,18,10,178,5,"columbus,ga"
2019-01-02 18:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,17,19,19,19,15,85,88,0.1,1019,18,10,168,4,"columbus,ga"
2019-01-02 19:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,16,18,18,18,16,90,90,0.0,1019,17,10,160,3,"columbus,ga"
2019-01-02 20:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,16,17,17,17,16,95,93,0.1,1019,17,10,152,3,"columbus,ga"
2019-01-02 21:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,16,17,17,17,17,100,95,0.1,1020,16,10,145,3,"columbus,ga"
2019-01-02 22:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,15,16,16,16,16,94,95,0.1,1019,16,9,141,2,"columbus,ga"
2019-01-02 23:00:00,19,12,0.0,5.0,4,19,05:32 AM,04:24 PM,08:42 AM,06:46 PM,15,16,16,16,15,89,95,0.1,1019,15,8,138,2,"columbus,ga"
2019-01-03 00:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,14,83,95,0.1,1018,15,7,135,1,"columbus,ga"
2019-01-03 01:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,15,78,95,0.1,1018,15,5,152,2,"columbus,ga"
2019-01-03 02:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,15,72,96,0.0,1017,15,3,170,2,"columbus,ga"
2019-01-03 03:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,16,67,96,0.0,1017,15,1,187,2,"columbus,ga"
2019-01-03 04:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,14,78,97,0.0,1017,15,1,199,3,"columbus,ga"
2019-01-03 05:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,12,89,97,0.0,1017,15,0,211,3,"columbus,ga"
2019-01-03 06:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,10,100,98,0.0,1017,15,0,222,4,"columbus,ga"
2019-01-03 07:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,9,100,97,0.0,1017,15,1,215,4,"columbus,ga"
2019-01-03 08:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,7,100,97,0.4,1018,16,2,207,5,"columbus,ga"
2019-01-03 09:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,17,17,17,6,100,97,0.6,1018,16,2,199,5,"columbus,ga"
2019-01-03 10:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,6,100,95,0.3,1017,16,4,203,5,"columbus,ga"
2019-01-03 11:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,18,18,18,6,100,93,2.0,1017,17,5,207,5,"columbus,ga"
2019-01-03 12:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,18,18,18,6,100,91,2.6,1016,17,6,210,5,"columbus,ga"
2019-01-03 13:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,18,18,18,6,96,90,1.3,1016,17,6,218,5,"columbus,ga"
2019-01-03 14:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,18,18,18,6,92,89,2.5,1015,17,6,226,5,"columbus,ga"
2019-01-03 15:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,18,18,18,6,88,88,3.4,1015,17,6,234,4,"columbus,ga"
2019-01-03 16:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,7,83,90,1.7,1015,17,6,166,4,"columbus,ga"
2019-01-03 17:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,7,79,91,0.4,1015,16,6,99,3,"columbus,ga"
2019-01-03 18:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,8,75,92,0.5,1015,16,6,32,3,"columbus,ga"
2019-01-03 19:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,10,83,93,0.3,1015,16,4,33,3,"columbus,ga"
2019-01-03 20:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,11,92,94,0.0,1016,16,2,35,4,"columbus,ga"
2019-01-03 21:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,17,17,17,12,100,95,0.0,1016,16,1,37,5,"columbus,ga"
2019-01-03 22:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,16,16,16,16,13,100,95,0.0,1015,16,1,56,6,"columbus,ga"
2019-01-03 23:00:00,17,15,0.0,5.0,4,11,06:29 AM,05:06 PM,08:42 AM,06:47 PM,15,16,16,16,13,100,95,0.0,1015,15,1,75,7,"columbus,ga"
2019-01-04 00:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,15,16,16,16,14,100,95,0.0,1014,15,1,95,8,"columbus,ga"
2019-01-04 01:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,16,16,16,16,15,100,95,0.0,1014,15,2,108,9,"columbus,ga"
2019-01-04 02:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,16,16,16,16,17,100,95,0.2,1013,15,3,121,10,"columbus,ga"
2019-01-04 03:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,16,16,16,16,18,100,94,0.3,1012,16,3,134,11,"columbus,ga"
2019-01-04 04:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,17,17,17,17,20,100,94,0.1,1011,16,6,147,12,"columbus,ga"
2019-01-04 05:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,17,17,17,17,22,100,94,0.4,1010,16,8,159,13,"columbus,ga"
2019-01-04 06:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,17,17,17,17,24,100,94,0.5,1010,17,10,172,14,"columbus,ga"
2019-01-04 07:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,17,17,17,17,26,100,93,0.3,1010,17,9,178,15,"columbus,ga"
2019-01-04 08:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,16,17,17,17,28,100,91,2.0,1009,17,9,185,16,"columbus,ga"
2019-01-04 09:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,16,17,17,17,31,100,90,2.6,1009,17,8,191,17,"columbus,ga"
2019-01-04 10:00:00,17,13,0.0,8.3,3,4,07:25 AM,05:52 PM,08:42 AM,06:48 PM,15,17,17,17,30,92,85,1.3,1009,16,8,203,18,"columbus,ga"
