date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,3,5,6,5,12,0,82,0.0,1019,6,10,349,10,"dallas,tx"
2019-01-01 01:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,3,4,6,4,16,6,82,0.0,1020,5,10,274,12,"dallas,tx"
2019-01-01 02:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,3,2,5,2,21,12,83,0.0,1021,4,10,199,13,"dallas,tx"
2019-01-01 03:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,2,1,5,1,26,18,83,0.0,1021,4,10,124,15,"dallas,tx"
2019-01-01 04:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,2,1,4,1,28,33,81,0.0,1022,3,10,84,17,"dallas,tx"
2019-01-01 05:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,1,-0,4,-0,30,49,80,0.0,1023,3,10,44,18,"dallas,tx"
2019-01-01 06:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,0,-1,3,-1,32,65,78,0.0,1024,3,10,5,20,"dallas,tx"
2019-01-01 07:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-1,3,-1,31,72,76,0.0,1025,2,10,5,21,"dallas,tx"
2019-01-01 08:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-2,-2,3,-2,30,80,75,0.0,1026,2,10,4,21,"dallas,tx"
2019-01-01 09:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-2,-2,2,-2,29,88,73,0.0,1026,2,10,4,22,"dallas,tx"
2019-01-01 10:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-2,-2,3,-2,28,91,73,0.0,1026,2,10,3,22,"dallas,tx"
2019-01-01 11:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-1,3,-1,27,94,72,0.0,1026,2,10,2,21,"dallas,tx"
2019-01-01 12:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-1,3,-1,26,96,72,0.0,1026,3,10,1,21,"dallas,tx"
2019-01-01 13:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-0,4,-0,25,97,72,0.0,1026,3,10,2,21,"dallas,tx"
2019-01-01 14:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-0,0,4,0,24,98,72,0.0,1026,3,10,3,21,"dallas,tx"
2019-01-01 15:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,0,1,5,1,23,99,72,0.0,1025,4,10,5,21,"dallas,tx"
2019-01-01 16:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-0,0,4,0,22,94,72,0.0,1025,4,10,6,19,"dallas,tx"
2019-01-01 17:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-0,0,4,0,22,90,73,0.0,1026,3,10,8,17,"dallas,tx"
2019-01-01 18:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-0,4,-0,21,86,74,0.0,1026,3,10,10,15,"dallas,tx"
2019-01-01 19:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-0,3,-0,21,88,74,0.0,1026,3,10,87,14,"dallas,tx"
2019-01-01 20:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-1,-0,3,-0,22,91,74,0.0,1026,2,10,164,13,"dallas,tx"
2019-01-01 21:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-2,-0,3,-0,22,93,74,0.0,1027,2,10,241,12,"dallas,tx"
2019-01-01 22:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-2,-1,3,-1,22,95,74,0.0,1027,2,10,279,11,"dallas,tx"
2019-01-01 23:00:00,4,1,0.0,5.0,2,26,04:22 AM,03:34 PM,08:29 AM,06:32 PM,-2,-1,3,-1,22,98,74,0.0,1027,2,10,317,11,"dallas,tx"
2019-01-02 00:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-1,2,-1,22,100,73,0.0,1027,2,10,355,11,"dallas,tx"
2019-01-02 01:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-2,2,-2,21,100,74,0.0,1027,1,8,356,12,"dallas,tx"
2019-01-02 02:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-2,2,-2,21,100,74,0.0,1027,1,6,356,14,"dallas,tx"
2019-01-02 03:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-2,2,-2,21,100,74,0.0,1026,1,5,357,15,"dallas,tx"
2019-01-02 04:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-2,2,-2,21,100,75,0.0,1026,1,5,279,15,"dallas,tx"
2019-01-02 05:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-2,2,-2,21,100,77,0.4,1026,1,6,201,16,"dallas,tx"
2019-01-02 06:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-3,1,-3,21,100,78,0.5,1026,1,7,123,16,"dallas,tx"
2019-01-02 07:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-3,-3,1,-3,21,100,75,0.2,1027,-0,7,162,16,"dallas,tx"
2019-01-02 08:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-4,-4,0,-4,21,100,72,1.4,1027,-1,7,201,16,"dallas,tx"
2019-01-02 09:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-5,-5,-0,-5,22,100,69,1.9,1028,-1,8,239,15,"dallas,tx"
2019-01-02 10:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-4,-4,0,-4,21,100,74,0.9,1027,-1,7,201,16,"dallas,tx"
2019-01-02 11:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-3,-4,1,-4,21,100,78,3.6,1026,-0,6,162,16,"dallas,tx"
2019-01-02 12:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-2,-3,1,-3,21,100,83,4.8,1026,0,6,124,16,"dallas,tx"
2019-01-02 13:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,-1,-3,1,-3,19,100,86,2.4,1025,1,6,84,16,"dallas,tx"
2019-01-02 14:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,0,-2,2,-2,18,100,89,2.6,1024,1,6,45,16,"dallas,tx"
2019-01-02 15:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,1,-2,2,-2,16,100,93,3.4,1023,1,6,5,17,"dallas,tx"
2019-01-02 16:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,1,-2,2,-2,17,100,92,1.7,1022,1,6,4,16,"dallas,tx"
2019-01-02 17:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,1,-2,2,-2,18,100,92,2.3,1022,1,6,4,15,"dallas,tx"
2019-01-02 18:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,1,-2,2,-2,19,100,92,3.1,1022,1,6,3,14,"dallas,tx"
2019-01-02 19:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,1,-2,2,-2,19,96,91,1.6,1022,1,5,7,13,"dallas,tx"
2019-01-02 20:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,1,-2,2,-2,19,92,89,1.0,1022,1,4,10,11,"dallas,tx"
2019-01-02 21:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,0,-1,2,-1,19,88,88,1.3,1022,1,3,13,10,"dallas,tx"
2019-01-02 22:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,0,-1,2,-1,17,89,88,0.6,1022,1,4,89,10,"dallas,tx"
2019-01-02 23:00:00,1,-2,0.0,5.0,1,19,05:22 AM,04:12 PM,08:30 AM,06:33 PM,0,-1,2,-1,16,91,88,0.0,1022,1,6,165,11,"dallas,tx"
2019-01-03 00:00:00,6,1,0.0,5.0,1,11,06:19 AM,04:54 PM,08:30 AM,06:33 PM,0,-1,2,-1,14,92,88,0.0,1021,1,7,240,12,"dallas,tx"
