date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-1,4,6,4,10,86,58,0.1,1021,6,9,128,9,"dayton,oh"
2019-01-01 01:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,3,5,3,11,85,62,0.1,1021,5,9,147,9,"dayton,oh"
2019-01-01 02:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,2,4,2,12,83,65,0.2,1021,4,9,167,9,"dayton,oh"
2019-01-01 03:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,1,3,1,12,81,69,0.3,1021,3,9,187,9,"dayton,oh"
2019-01-01 04:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,0,2,0,12,82,72,0.1,1022,2,9,187,8,"dayton,oh"
2019-01-01 05:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,-1,1,-1,11,83,75,0.1,1022,1,9,187,7,"dayton,oh"
2019-01-01 06:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-3,-2,1,-2,11,84,79,0.2,1023,1,9,187,6,"dayton,oh"
2019-01-01 07:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,-1,1,-1,10,85,78,0.1,1023,1,9,191,7,"dayton,oh"
2019-01-01 08:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,-1,1,-1,10,86,77,0.1,1023,1,9,195,7,"dayton,oh"
2019-01-01 09:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,-1,2,-1,9,87,76,0.1,1023,2,9,200,7,"dayton,oh"
2019-01-01 10:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-2,-0,2,-0,11,72,73,0.1,1023,2,9,210,8,"dayton,oh"
2019-01-01 11:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-3,-0,2,-0,13,56,69,0.0,1022,2,9,220,9,"dayton,oh"
2019-01-01 12:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-3,0,3,0,14,40,66,0.0,1022,3,10,230,10,"dayton,oh"
2019-01-01 13:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-4,-0,2,-0,16,30,64,0.0,1022,2,10,231,10,"dayton,oh"
2019-01-01 14:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-4,-1,2,-1,17,20,63,0.0,1022,2,10,232,11,"dayton,oh"
2019-01-01 15:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-5,-1,2,-1,19,10,62,0.0,1022,2,10,234,11,"dayton,oh"
2019-01-01 16:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-5,-2,1,-2,18,9,64,0.0,1022,1,10,227,10,"dayton,oh"
2019-01-01 17:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-6,-3,-0,-3,18,7,66,0.0,1023,-0,10,220,9,"dayton,oh"
2019-01-01 18:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-6,-5,-1,-5,17,6,69,0.0,1023,-1,10,213,9,"dayton,oh"
2019-01-01 19:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-5,-5,-2,-5,15,6,70,0.0,1024,-2,10,207,8,"dayton,oh"
2019-01-01 20:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-5,-5,-2,-5,13,6,71,0.0,1024,-4,10,202,8,"dayton,oh"
2019-01-01 21:00:00,3,0,0.0,7.0,1,26,02:48 AM,02:05 PM,07:24 AM,05:18 PM,-4,-6,-3,-6,11,6,72,0.0,1025,-5,10,196,8,"dayton,oh"
