date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,7,8,7,11,85,85,0.0,1037,8,10,257,6,"desmoines,ia"
2019-01-01 01:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,7,8,7,11,78,85,0.0,1037,8,10,255,6,"desmoines,ia"
2019-01-01 02:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,7,8,7,10,70,85,0.0,1037,8,10,253,6,"desmoines,ia"
2019-01-01 03:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,7,8,7,10,63,85,0.0,1037,8,10,251,5,"desmoines,ia"
2019-01-01 04:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,7,6,10,56,87,0.0,1037,7,10,270,5,"desmoines,ia"
2019-01-01 05:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,6,6,10,49,89,0.0,1037,6,10,290,5,"desmoines,ia"
2019-01-01 06:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,4,5,6,5,10,42,91,0.0,1037,6,10,309,5,"desmoines,ia"
2019-01-01 07:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,4,5,6,5,10,33,91,0.0,1038,6,10,319,5,"desmoines,ia"
2019-01-01 08:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,4,5,5,5,10,23,92,0.0,1038,5,10,329,5,"desmoines,ia"
2019-01-01 09:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,4,4,5,4,10,14,92,0.0,1038,5,10,339,5,"desmoines,ia"
2019-01-01 10:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,6,6,9,13,89,0.0,1039,6,10,346,5,"desmoines,ia"
2019-01-01 11:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,7,8,7,7,12,86,0.0,1039,8,10,353,4,"desmoines,ia"
2019-01-01 12:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,9,9,9,5,11,84,0.0,1039,9,10,360,4,"desmoines,ia"
2019-01-01 13:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,9,9,9,5,11,84,0.0,1039,9,10,252,3,"desmoines,ia"
2019-01-01 14:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,7,9,9,9,4,11,84,0.0,1039,9,10,145,3,"desmoines,ia"
2019-01-01 15:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,7,9,9,9,4,11,85,0.0,1039,9,10,38,3,"desmoines,ia"
2019-01-01 16:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,8,8,8,4,18,87,0.0,1040,8,10,34,3,"desmoines,ia"
2019-01-01 17:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,6,7,7,7,5,25,88,0.0,1040,7,10,29,3,"desmoines,ia"
2019-01-01 18:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,6,6,5,32,90,0.0,1040,6,10,24,3,"desmoines,ia"
2019-01-01 19:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,6,6,6,35,91,0.0,1040,6,10,31,3,"desmoines,ia"
2019-01-01 20:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,6,6,8,37,91,0.0,1041,6,10,39,4,"desmoines,ia"
2019-01-01 21:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,6,6,6,9,39,91,0.0,1041,6,10,46,4,"desmoines,ia"
2019-01-01 22:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,5,6,5,10,58,92,0.0,1041,6,7,63,5,"desmoines,ia"
2019-01-01 23:00:00,9,5,0.0,5.8,2,26,04:44 AM,02:53 PM,09:40 AM,05:31 PM,5,5,6,5,11,76,94,0.0,1042,6,5,81,6,"desmoines,ia"
2019-01-02 00:00:00,8,8,0.0,2.0,2,19,05:55 AM,03:21 PM,09:40 AM,05:33 PM,6,5,6,5,12,95,95,0.0,1042,6,2,99,6,"desmoines,ia"
