date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-5,-8,-3,-8,26,100,77,0.3,1015,-5,2,353,17,"dubuque,ia"
2019-01-01 01:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-6,-8,-3,-8,27,100,74,0.2,1017,-4,3,276,18,"dubuque,ia"
2019-01-01 02:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-7,-9,-3,-9,28,100,72,0.1,1018,-4,3,199,18,"dubuque,ia"
2019-01-01 03:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-8,-9,-3,-9,30,100,69,0.1,1019,-4,4,122,19,"dubuque,ia"
2019-01-01 04:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-8,-10,-4,-10,29,100,72,0.1,1020,-4,4,85,18,"dubuque,ia"
2019-01-01 05:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-7,-10,-4,-10,29,100,76,0.1,1021,-5,5,48,18,"dubuque,ia"
2019-01-01 06:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-7,-10,-4,-10,29,100,79,0.1,1021,-5,5,11,17,"dubuque,ia"
2019-01-01 07:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-7,-10,-4,-10,28,98,81,0.0,1022,-5,6,11,17,"dubuque,ia"
2019-01-01 08:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-7,-10,-4,-10,26,95,83,0.0,1023,-5,7,12,16,"dubuque,ia"
2019-01-01 09:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-7,-11,-5,-11,25,93,84,0.0,1024,-6,8,12,16,"dubuque,ia"
2019-01-01 10:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-8,-11,-5,-11,23,92,82,0.0,1025,-6,9,12,17,"dubuque,ia"
2019-01-01 11:00:00,-5,-7,0.9,3.4,1,26,04:11 AM,02:52 PM,08:32 AM,05:40 PM,-8,-11,-5,-11,20,90,81,0.0,1025,-6,9,11,18,"dubuque,ia"
