date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,1,-0,2,-0,15,86,91,0.0,1021,2,5,332,7,"fayetteville,ar"
2019-01-01 01:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-0,-1,2,-1,17,88,90,0.0,1022,1,6,261,8,"fayetteville,ar"
2019-01-01 02:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-1,-3,1,-3,19,89,89,0.0,1022,-0,6,189,8,"fayetteville,ar"
2019-01-01 03:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-2,-4,0,-4,20,91,88,0.0,1023,-1,7,118,9,"fayetteville,ar"
2019-01-01 04:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-3,-5,-1,-5,20,91,88,0.0,1024,-2,8,79,9,"fayetteville,ar"
2019-01-01 05:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-4,-6,-2,-6,19,90,88,0.0,1026,-2,9,41,10,"fayetteville,ar"
2019-01-01 06:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-4,-7,-2,-7,19,90,87,0.0,1027,-3,10,3,10,"fayetteville,ar"
2019-01-01 07:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-5,-7,-3,-7,18,90,82,0.0,1027,-3,10,4,11,"fayetteville,ar"
2019-01-01 08:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-6,-8,-3,-8,18,90,77,0.0,1027,-4,10,5,11,"fayetteville,ar"
2019-01-01 09:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-7,-8,-3,-8,17,90,72,0.0,1027,-4,10,5,11,"fayetteville,ar"
2019-01-01 10:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-8,-7,-2,-7,16,82,65,0.0,1027,-3,10,9,12,"fayetteville,ar"
2019-01-01 11:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-9,-7,-2,-7,15,75,58,0.0,1027,-2,10,12,13,"fayetteville,ar"
2019-01-01 12:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-10,-6,-1,-6,14,67,51,0.0,1027,-2,10,15,13,"fayetteville,ar"
2019-01-01 13:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-10,-5,-0,-5,13,67,49,0.0,1026,-1,10,15,13,"fayetteville,ar"
2019-01-01 14:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-11,-4,0,-4,13,67,46,0.0,1026,-1,10,14,13,"fayetteville,ar"
2019-01-01 15:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-11,-4,1,-4,12,67,43,0.0,1025,-0,10,13,13,"fayetteville,ar"
2019-01-01 16:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-9,-4,0,-4,12,70,53,0.0,1025,-1,10,14,12,"fayetteville,ar"
2019-01-01 17:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-7,-4,-0,-4,13,73,63,0.0,1026,-1,10,16,12,"fayetteville,ar"
2019-01-01 18:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-6,-4,-1,-4,13,76,73,0.0,1026,-2,10,17,11,"fayetteville,ar"
2019-01-01 19:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-5,-4,-2,-4,12,65,78,0.0,1027,-2,10,20,9,"fayetteville,ar"
2019-01-01 20:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-4,-4,-2,-4,11,54,82,0.0,1027,-3,10,24,6,"fayetteville,ar"
2019-01-01 21:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-4,-4,-3,-4,10,43,87,0.0,1028,-4,10,27,4,"fayetteville,ar"
2019-01-01 22:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-4,-3,-3,-3,9,38,89,0.0,1028,-4,10,23,4,"fayetteville,ar"
2019-01-01 23:00:00,0,-4,0.0,4.9,1,26,04:16 AM,03:18 PM,08:27 AM,06:13 PM,-4,-3,-3,-3,7,32,90,0.0,1027,-4,10,19,3,"fayetteville,ar"
2019-01-02 00:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-4,-3,-3,-3,6,27,91,0.0,1027,-4,10,15,3,"fayetteville,ar"
2019-01-02 01:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-4,-3,-3,-3,6,29,91,0.0,1027,-4,10,78,3,"fayetteville,ar"
2019-01-02 02:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-4,-3,-3,-3,6,30,91,0.0,1027,-4,10,142,3,"fayetteville,ar"
2019-01-02 03:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-5,-3,-3,-3,6,32,90,0.0,1027,-4,10,206,4,"fayetteville,ar"
2019-01-02 04:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-5,-3,-3,-3,6,32,90,0.0,1027,-4,10,238,4,"fayetteville,ar"
2019-01-02 05:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-5,-3,-3,-3,6,31,90,0.0,1027,-4,10,270,4,"fayetteville,ar"
2019-01-02 06:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-5,-4,-4,-4,6,30,90,0.0,1027,-5,10,302,5,"fayetteville,ar"
2019-01-02 07:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-7,-4,-4,-4,6,32,83,0.0,1027,-5,10,301,4,"fayetteville,ar"
2019-01-02 08:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-8,-5,-4,-5,6,33,75,0.0,1028,-5,10,300,4,"fayetteville,ar"
2019-01-02 09:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-10,-6,-4,-6,6,34,68,0.0,1028,-5,10,298,4,"fayetteville,ar"
2019-01-02 10:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-9,-5,-3,-5,7,40,68,0.0,1028,-4,10,294,4,"fayetteville,ar"
2019-01-02 11:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-8,-4,-2,-4,8,46,68,0.0,1027,-3,10,290,5,"fayetteville,ar"
2019-01-02 12:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-7,-4,-1,-4,9,51,68,0.0,1026,-2,10,286,5,"fayetteville,ar"
2019-01-02 13:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-6,-3,-1,-3,9,53,66,0.0,1025,-2,10,285,6,"fayetteville,ar"
2019-01-02 14:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-6,-3,-0,-3,9,55,64,0.0,1024,-1,10,285,7,"fayetteville,ar"
2019-01-02 15:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-6,-3,0,-3,9,57,63,0.0,1023,-1,10,284,8,"fayetteville,ar"
2019-01-02 16:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-5,-2,-0,-2,9,50,68,0.0,1023,-1,10,281,7,"fayetteville,ar"
2019-01-02 17:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-4,-2,-0,-2,8,44,73,0.0,1023,-1,10,278,5,"fayetteville,ar"
2019-01-02 18:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-4,-2,-1,-2,8,37,78,0.0,1023,-2,10,274,4,"fayetteville,ar"
2019-01-02 19:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-3,-1,-1,-1,7,50,83,0.0,1023,-2,10,234,3,"fayetteville,ar"
2019-01-02 20:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-3,-1,-1,-1,5,63,89,0.2,1023,-2,10,193,2,"fayetteville,ar"
2019-01-02 21:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-2,-1,-1,-1,4,76,94,0.3,1023,-2,9,152,1,"fayetteville,ar"
2019-01-02 22:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-2,-1,-1,-1,4,82,93,0.2,1023,-2,8,185,1,"fayetteville,ar"
2019-01-02 23:00:00,-1,-5,0.0,9.9,2,19,05:17 AM,03:55 PM,08:27 AM,06:14 PM,-3,-2,-2,-2,5,88,92,0.1,1023,-3,6,218,0,"fayetteville,ar"
2019-01-03 00:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-3,-2,-2,-2,6,95,91,0.1,1022,-3,4,251,0,"fayetteville,ar"
2019-01-03 01:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-4,-3,-3,-3,7,94,90,0.1,1022,-4,5,212,0,"fayetteville,ar"
2019-01-03 02:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-5,-3,-3,-3,8,93,89,0.0,1022,-4,6,174,1,"fayetteville,ar"
2019-01-03 03:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-5,-4,-4,-4,10,93,88,0.0,1021,-5,7,135,1,"fayetteville,ar"
2019-01-03 04:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-6,-4,-4,-4,9,94,88,0.0,1021,-5,8,114,2,"fayetteville,ar"
2019-01-03 05:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-6,-4,-4,-4,9,96,88,0.0,1021,-5,9,93,2,"fayetteville,ar"
2019-01-03 06:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-6,-4,-4,-4,9,98,88,0.0,1021,-5,10,73,2,"fayetteville,ar"
2019-01-03 07:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-6,-4,-4,-4,9,87,83,0.0,1021,-5,10,76,3,"fayetteville,ar"
2019-01-03 08:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-7,-5,-4,-5,10,77,79,0.0,1021,-4,10,79,4,"fayetteville,ar"
2019-01-03 09:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-7,-5,-3,-5,10,67,75,0.0,1020,-4,10,82,5,"fayetteville,ar"
2019-01-03 10:00:00,3,-5,0.0,4.9,1,11,06:15 AM,04:36 PM,08:27 AM,06:14 PM,-6,-3,-2,-3,9,72,74,0.0,1020,-2,10,127,5,"fayetteville,ar"
