date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-12,-16,-11,-16,16,56,97,1.7,1016,-12,5,19,8,"flagstaff,az"
2019-01-01 01:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-13,-16,-11,-16,14,62,94,0.8,1017,-12,5,16,7,"flagstaff,az"
2019-01-01 02:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-13,-16,-12,-16,13,67,90,0.1,1018,-12,5,13,6,"flagstaff,az"
2019-01-01 03:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-14,-16,-12,-16,11,73,87,0.2,1019,-13,5,11,5,"flagstaff,az"
2019-01-01 04:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-15,-13,-15,11,77,85,0.1,1020,-13,5,15,6,"flagstaff,az"
2019-01-01 05:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-15,-13,-15,12,82,84,0.2,1020,-14,5,19,6,"flagstaff,az"
2019-01-01 06:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-16,-14,-14,-14,12,86,82,0.2,1021,-15,5,23,7,"flagstaff,az"
2019-01-01 07:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-16,-15,-13,-15,13,60,78,0.1,1023,-13,7,25,10,"flagstaff,az"
2019-01-01 08:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-16,-11,-16,14,34,73,0.0,1025,-12,8,26,13,"flagstaff,az"
2019-01-01 09:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-17,-10,-17,15,9,69,0.0,1027,-11,10,28,16,"flagstaff,az"
2019-01-01 10:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-14,-8,-14,15,8,59,0.0,1027,-8,10,32,16,"flagstaff,az"
2019-01-01 11:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-12,-5,-12,14,8,48,0.0,1027,-6,10,36,16,"flagstaff,az"
2019-01-01 12:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-9,-3,-9,14,8,38,0.0,1027,-4,10,40,16,"flagstaff,az"
2019-01-01 13:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-8,-3,-8,13,12,36,0.0,1026,-3,10,41,16,"flagstaff,az"
2019-01-01 14:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-16,-8,-2,-8,13,17,35,0.0,1026,-3,10,42,16,"flagstaff,az"
2019-01-01 15:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-16,-7,-2,-7,13,21,33,0.0,1025,-3,10,43,16,"flagstaff,az"
2019-01-01 16:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-16,-6,-2,-6,15,17,46,0.0,1025,-3,10,44,14,"flagstaff,az"
2019-01-01 17:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-6,-3,-6,16,13,58,0.0,1025,-4,10,44,12,"flagstaff,az"
2019-01-01 18:00:00,-3,-15,2.9,8.7,1,26,03:28 AM,02:31 PM,07:35 AM,05:26 PM,-15,-5,-3,-5,18,8,71,0.0,1025,-5,10,45,10,"flagstaff,az"
