date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-21,-24,-19,-24,14,70,84,0.0,1040,-20,10,223,5,"gillette,wy"
2019-01-01 01:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-21,-26,-19,-26,18,54,84,0.0,1040,-20,10,211,9,"gillette,wy"
2019-01-01 02:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-22,-27,-20,-27,21,38,84,0.0,1039,-20,10,198,13,"gillette,wy"
2019-01-01 03:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-22,-29,-20,-29,25,22,84,0.0,1039,-21,10,186,17,"gillette,wy"
2019-01-01 04:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-22,-29,-20,-29,28,18,83,0.0,1038,-21,10,185,18,"gillette,wy"
2019-01-01 05:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-23,-30,-20,-30,31,15,81,0.0,1037,-21,10,184,19,"gillette,wy"
2019-01-01 06:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-23,-30,-20,-30,34,12,80,0.0,1036,-21,10,183,20,"gillette,wy"
2019-01-01 07:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-22,-29,-19,-29,35,9,78,0.0,1035,-20,10,183,20,"gillette,wy"
2019-01-01 08:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-22,-27,-18,-27,36,7,75,0.0,1035,-19,10,184,21,"gillette,wy"
2019-01-01 09:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-21,-26,-17,-26,38,5,73,0.0,1034,-18,10,184,21,"gillette,wy"
2019-01-01 10:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-20,-24,-15,-24,38,5,71,0.0,1033,-16,10,187,23,"gillette,wy"
2019-01-01 11:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-18,-23,-14,-23,38,5,68,0.0,1031,-14,10,190,25,"gillette,wy"
2019-01-01 12:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-17,-21,-12,-21,39,5,66,0.0,1030,-13,10,193,27,"gillette,wy"
2019-01-01 13:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-17,-20,-11,-20,36,8,63,0.0,1029,-12,10,193,25,"gillette,wy"
2019-01-01 14:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-16,-18,-10,-18,33,12,60,0.0,1028,-11,10,193,22,"gillette,wy"
2019-01-01 15:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-16,-17,-9,-17,30,15,57,0.0,1027,-10,10,192,19,"gillette,wy"
2019-01-01 16:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-17,-16,-9,-16,33,10,60,0.0,1027,-11,10,195,18,"gillette,wy"
2019-01-01 17:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-19,-15,-10,-15,36,5,62,0.0,1027,-12,10,197,16,"gillette,wy"
2019-01-01 18:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-20,-14,-10,-14,39,0,65,0.0,1027,-14,10,199,14,"gillette,wy"
2019-01-01 19:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-20,-17,-11,-17,41,6,61,0.0,1026,-14,10,211,17,"gillette,wy"
2019-01-01 20:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-20,-19,-12,-19,42,12,58,0.0,1026,-14,10,224,20,"gillette,wy"
2019-01-01 21:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-20,-22,-13,-22,44,18,54,0.0,1025,-14,10,236,23,"gillette,wy"
2019-01-01 22:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-18,-20,-11,-20,45,14,54,0.0,1023,-12,10,236,24,"gillette,wy"
2019-01-01 23:00:00,-10,-21,0.0,8.7,1,26,04:17 AM,02:49 PM,08:38 AM,05:34 PM,-16,-17,-9,-17,47,11,55,0.0,1022,-10,10,236,26,"gillette,wy"
2019-01-02 00:00:00,-1,-11,0.0,6.9,2,19,05:22 AM,03:23 PM,08:38 AM,05:35 PM,-14,-15,-7,-15,48,7,55,0.0,1020,-8,10,236,27,"gillette,wy"
