date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,10,11,10,13,4,57,0.0,1029,11,10,45,8,"grandisland,ne"
2019-01-01 01:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,10,11,10,13,4,57,0.0,1029,11,10,49,8,"grandisland,ne"
2019-01-01 02:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,10,11,10,12,3,57,0.0,1029,11,10,53,8,"grandisland,ne"
2019-01-01 03:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,10,11,10,12,3,56,0.0,1029,11,10,57,7,"grandisland,ne"
2019-01-01 04:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,10,11,10,11,10,57,0.0,1029,11,10,56,7,"grandisland,ne"
2019-01-01 05:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,2,10,11,10,10,16,57,0.0,1029,11,10,55,6,"grandisland,ne"
2019-01-01 06:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,2,10,11,10,9,23,57,0.0,1029,11,10,55,6,"grandisland,ne"
2019-01-01 07:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,2,10,11,10,8,39,57,0.0,1029,11,10,68,5,"grandisland,ne"
2019-01-01 08:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,11,11,11,6,56,57,0.0,1029,11,10,82,4,"grandisland,ne"
2019-01-01 09:00:00,12,10,0.0,6.9,4,26,04:16 AM,02:59 PM,08:58 AM,05:54 PM,3,11,11,11,4,73,57,0.0,1029,11,10,95,3,"grandisland,ne"
