date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,14,11,13,11,28,80,98,0.0,1010,11,10,211,12,"greenville,sc"
2019-01-01 01:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,12,13,12,31,86,99,0.0,1010,12,9,214,12,"greenville,sc"
2019-01-01 02:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,14,14,14,34,93,99,0.1,1010,13,8,218,12,"greenville,sc"
2019-01-01 03:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,15,15,15,37,100,100,0.1,1010,14,7,221,13,"greenville,sc"
2019-01-01 04:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,15,15,15,35,100,100,0.0,1011,14,6,225,12,"greenville,sc"
2019-01-01 05:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,15,15,15,33,100,100,0.1,1012,14,4,229,12,"greenville,sc"
2019-01-01 06:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,15,15,15,31,100,100,0.2,1013,15,2,233,12,"greenville,sc"
2019-01-01 07:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,16,16,16,29,98,98,0.1,1014,15,3,235,12,"greenville,sc"
2019-01-01 08:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,16,16,16,27,95,97,0.2,1015,15,4,238,11,"greenville,sc"
2019-01-01 09:00:00,19,15,0.0,5.0,4,26,04:25 AM,03:32 PM,08:37 AM,06:29 PM,15,16,16,16,25,93,95,0.3,1016,15,5,240,10,"greenville,sc"
