date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-18,-17,-17,-17,13,100,88,0.3,1031,-18,2,103,5,"hayden,co"
2019-01-01 01:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-18,-17,-17,-17,13,99,89,0.2,1031,-18,3,106,5,"hayden,co"
2019-01-01 02:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-19,-18,-18,-18,13,98,91,0.0,1030,-18,4,109,6,"hayden,co"
2019-01-01 03:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-19,-18,-18,-18,13,97,92,0.0,1030,-19,5,113,6,"hayden,co"
2019-01-01 04:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-19,-18,-18,-18,13,95,93,0.0,1030,-19,5,116,6,"hayden,co"
2019-01-01 05:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-20,-19,-19,-19,12,93,94,0.1,1030,-19,5,119,6,"hayden,co"
2019-01-01 06:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-20,-19,-19,-19,12,91,95,0.1,1030,-20,5,122,6,"hayden,co"
2019-01-01 07:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-20,-19,-19,-19,12,76,95,0.0,1031,-20,7,125,6,"hayden,co"
2019-01-01 08:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-20,-20,-20,-20,11,61,96,0.0,1033,-20,8,129,5,"hayden,co"
2019-01-01 09:00:00,-15,-21,0.7,8.7,1,26,04:17 AM,03:04 PM,08:32 AM,05:53 PM,-20,-20,-20,-20,11,46,96,0.0,1034,-21,10,132,5,"hayden,co"
