date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-14,-20,-11,-20,37,100,77,0.1,1029,-12,2,349,22,"kearney,ne"
2019-01-01 01:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-14,-20,-11,-20,37,100,77,0.0,1029,-12,4,350,21,"kearney,ne"
2019-01-01 02:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-15,-20,-12,-20,36,100,77,0.0,1030,-12,6,351,20,"kearney,ne"
2019-01-01 03:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-15,-20,-12,-20,36,100,76,0.0,1030,-13,7,352,19,"kearney,ne"
2019-01-01 04:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-16,-21,-13,-21,35,92,76,0.0,1031,-14,8,354,19,"kearney,ne"
2019-01-01 05:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-17,-22,-14,-22,33,83,75,0.0,1033,-15,9,356,18,"kearney,ne"
2019-01-01 06:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-18,-23,-15,-23,32,75,75,0.0,1034,-16,10,358,17,"kearney,ne"
2019-01-01 07:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-17,-23,-14,-23,30,69,74,0.0,1034,-15,10,279,16,"kearney,ne"
2019-01-01 08:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-17,-22,-14,-22,28,63,74,0.0,1034,-15,10,200,15,"kearney,ne"
2019-01-01 09:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-17,-21,-13,-21,26,57,74,0.0,1033,-14,10,121,14,"kearney,ne"
2019-01-01 10:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-17,-21,-13,-21,23,58,71,0.0,1034,-14,10,159,15,"kearney,ne"
2019-01-01 11:00:00,-11,-17,0.0,9.2,1,26,04:44 AM,03:30 PM,09:00 AM,06:19 PM,-17,-20,-12,-20,21,59,68,0.0,1035,-13,10,198,16,"kearney,ne"
