date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-6,-9,-4,-9,36,100,80,0.2,1018,-6,2,357,22,"lacrosse,wi"
2019-01-01 01:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-7,-10,-5,-10,34,98,79,0.1,1019,-6,4,357,23,"lacrosse,wi"
2019-01-01 02:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-8,-11,-5,-11,31,96,78,0.1,1020,-6,6,357,24,"lacrosse,wi"
2019-01-01 03:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-8,-12,-5,-12,29,94,78,0.1,1021,-6,7,357,24,"lacrosse,wi"
2019-01-01 04:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-9,-13,-6,-13,26,92,77,0.0,1022,-7,8,357,23,"lacrosse,wi"
2019-01-01 05:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-10,-13,-7,-13,24,89,77,0.0,1023,-7,9,358,22,"lacrosse,wi"
2019-01-01 06:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-10,-14,-7,-14,22,87,77,0.0,1024,-8,10,358,22,"lacrosse,wi"
2019-01-01 07:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-11,-14,-7,-14,20,82,76,0.0,1025,-8,10,358,19,"lacrosse,wi"
2019-01-01 08:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-11,-13,-7,-13,18,76,74,0.0,1026,-8,10,358,17,"lacrosse,wi"
2019-01-01 09:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-12,-13,-7,-13,17,71,73,0.0,1028,-8,10,358,14,"lacrosse,wi"
2019-01-01 10:00:00,-7,-10,0.5,3.4,1,26,04:16 AM,02:52 PM,08:39 AM,05:38 PM,-12,-12,-7,-12,16,77,71,0.0,1028,-8,10,356,14,"lacrosse,wi"
