date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-1,-6,-2,-6,31,100,87,0.6,1009,-5,7,304,9,"lansing,mi"
2019-01-01 01:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-1,-5,-1,-5,31,100,88,0.3,1008,-3,5,306,10,"lansing,mi"
2019-01-01 02:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-0,-3,0,-3,31,100,90,0.1,1007,-1,4,309,11,"lansing,mi"
2019-01-01 03:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,0,-2,2,-2,31,100,91,0.2,1007,1,3,312,12,"lansing,mi"
2019-01-01 04:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-1,-3,1,-3,30,100,89,0.1,1007,-0,4,313,11,"lansing,mi"
2019-01-01 05:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-2,-4,-0,-4,29,100,88,0.0,1008,-1,5,314,10,"lansing,mi"
2019-01-01 06:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-5,-1,-5,28,100,86,0.0,1008,-2,7,316,9,"lansing,mi"
2019-01-01 07:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-5,-1,-5,28,100,87,0.0,1010,-2,8,319,10,"lansing,mi"
2019-01-01 08:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-5,-1,-5,27,100,87,0.0,1012,-2,9,323,12,"lansing,mi"
2019-01-01 09:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-6,-1,-6,26,100,88,0.0,1014,-2,10,327,13,"lansing,mi"
2019-01-01 10:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-5,-1,-5,24,100,86,0.0,1016,-1,9,331,13,"lansing,mi"
2019-01-01 11:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-5,-0,-5,22,100,83,0.0,1017,-1,9,336,13,"lansing,mi"
2019-01-01 12:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-3,-5,0,-5,20,100,81,0.0,1018,-1,8,340,13,"lansing,mi"
2019-01-01 13:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-4,-6,-1,-6,18,99,80,0.0,1018,-2,7,344,14,"lansing,mi"
2019-01-01 14:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-5,-7,-2,-7,17,99,78,0.0,1018,-2,6,347,15,"lansing,mi"
2019-01-01 15:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-5,-8,-2,-8,15,98,77,0.0,1018,-3,5,350,17,"lansing,mi"
2019-01-01 16:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-6,-8,-3,-8,15,97,76,0.0,1018,-4,5,313,16,"lansing,mi"
2019-01-01 17:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-6,-9,-3,-9,15,96,76,0.0,1019,-4,5,277,16,"lansing,mi"
2019-01-01 18:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-7,-9,-4,-9,14,96,75,0.0,1019,-5,6,240,15,"lansing,mi"
2019-01-01 19:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-8,-10,-4,-10,13,97,73,0.0,1019,-5,6,170,16,"lansing,mi"
2019-01-01 20:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-9,-11,-5,-11,12,98,72,0.0,1019,-6,7,100,16,"lansing,mi"
2019-01-01 21:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-10,-11,-5,-11,11,99,71,0.0,1019,-6,8,31,17,"lansing,mi"
2019-01-01 22:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-10,-11,-6,-11,10,99,70,0.0,1019,-6,9,41,15,"lansing,mi"
2019-01-01 23:00:00,0,-4,1.5,3.4,1,26,04:46 AM,03:27 PM,09:09 AM,06:15 PM,-10,-11,-6,-11,9,100,70,0.0,1019,-7,9,52,14,"lansing,mi"
2019-01-02 00:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-6,-11,8,100,70,0.0,1019,-7,10,62,12,"lansing,mi"
2019-01-02 01:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-6,-11,7,95,70,0.0,1020,-7,10,68,11,"lansing,mi"
2019-01-02 02:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-6,-11,7,89,71,0.0,1022,-7,10,74,10,"lansing,mi"
2019-01-02 03:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-7,-11,6,84,71,0.0,1023,-8,10,80,8,"lansing,mi"
2019-01-02 04:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-7,-11,7,75,71,0.0,1023,-8,10,95,8,"lansing,mi"
2019-01-02 05:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-12,-7,-12,7,67,71,0.0,1024,-8,10,110,8,"lansing,mi"
2019-01-02 06:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-12,-8,-12,8,58,71,0.0,1024,-9,10,126,8,"lansing,mi"
2019-01-02 07:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-12,-7,-12,9,65,72,0.0,1024,-8,10,138,7,"lansing,mi"
2019-01-02 08:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-7,-11,10,72,72,0.0,1024,-8,10,149,7,"lansing,mi"
2019-01-02 09:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-7,-11,12,80,73,0.0,1025,-8,10,161,6,"lansing,mi"
2019-01-02 10:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-12,-11,-7,-11,13,86,69,0.0,1025,-8,10,167,7,"lansing,mi"
2019-01-02 11:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-12,-11,-7,-11,15,93,66,0.0,1026,-8,10,173,8,"lansing,mi"
2019-01-02 12:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-13,-12,-7,-12,17,100,63,0.0,1026,-8,10,178,9,"lansing,mi"
2019-01-02 13:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-13,-11,-6,-11,17,99,62,0.0,1026,-7,10,183,9,"lansing,mi"
2019-01-02 14:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-13,-11,-6,-11,18,99,61,0.0,1026,-7,10,188,9,"lansing,mi"
2019-01-02 15:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-13,-11,-6,-11,19,99,60,0.0,1026,-7,10,192,9,"lansing,mi"
2019-01-02 16:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-13,-10,-6,-10,19,99,61,0.0,1026,-7,10,196,9,"lansing,mi"
2019-01-02 17:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-12,-10,-6,-10,19,100,61,0.0,1025,-7,10,200,8,"lansing,mi"
2019-01-02 18:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-12,-10,-6,-10,20,100,61,0.0,1025,-8,10,205,8,"lansing,mi"
2019-01-02 19:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-12,-10,-6,-10,22,100,61,0.0,1024,-8,9,214,8,"lansing,mi"
2019-01-02 20:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-10,-6,-10,24,100,62,0.0,1024,-9,9,223,9,"lansing,mi"
2019-01-02 21:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-10,-7,-10,26,100,62,0.0,1023,-10,8,232,9,"lansing,mi"
2019-01-02 22:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-8,-11,29,98,64,0.0,1023,-10,7,243,10,"lansing,mi"
2019-01-02 23:00:00,-7,-8,0.0,3.4,1,19,05:50 AM,04:01 PM,09:09 AM,06:16 PM,-11,-11,-8,-11,31,96,66,0.0,1023,-10,6,253,11,"lansing,mi"
2019-01-03 00:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-11,-12,-9,-12,34,94,69,0.0,1023,-11,5,264,11,"lansing,mi"
2019-01-03 01:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-10,-11,-8,-11,32,91,72,0.0,1021,-9,6,265,10,"lansing,mi"
2019-01-03 02:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-9,-10,-6,-10,31,88,75,0.0,1020,-7,6,265,9,"lansing,mi"
2019-01-03 03:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-8,-9,-5,-9,30,85,78,0.0,1018,-6,7,266,8,"lansing,mi"
2019-01-03 04:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-8,-9,-5,-9,28,86,79,0.0,1018,-6,8,263,8,"lansing,mi"
2019-01-03 05:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-8,-9,-5,-9,27,87,79,0.0,1017,-6,9,260,8,"lansing,mi"
2019-01-03 06:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-8,-9,-5,-9,26,89,79,0.0,1017,-6,10,257,8,"lansing,mi"
2019-01-03 07:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-8,-9,-5,-9,25,79,77,0.0,1017,-6,10,253,8,"lansing,mi"
2019-01-03 08:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-9,-9,-5,-9,25,70,75,0.0,1017,-6,10,249,9,"lansing,mi"
2019-01-03 09:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-9,-10,-5,-10,24,61,73,0.0,1018,-6,10,245,9,"lansing,mi"
2019-01-03 10:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-10,-10,-5,-10,24,42,68,0.0,1018,-6,10,244,11,"lansing,mi"
2019-01-03 11:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-11,-10,-5,-10,23,23,62,0.0,1018,-5,10,243,13,"lansing,mi"
2019-01-03 12:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-12,-10,-4,-10,23,4,57,0.0,1018,-5,10,242,14,"lansing,mi"
2019-01-03 13:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-11,-9,-4,-9,23,4,56,0.0,1017,-5,10,242,14,"lansing,mi"
2019-01-03 14:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-11,-9,-3,-9,24,4,55,0.0,1016,-4,10,241,14,"lansing,mi"
2019-01-03 15:00:00,-4,-6,0.1,8.7,1,11,06:52 AM,04:39 PM,09:09 AM,06:17 PM,-11,-8,-3,-8,25,4,53,0.0,1015,-4,10,241,14,"lansing,mi"
