date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-14,-7,-14,24,1,46,0.0,1020,-8,10,33,22,"littlerock,ar"
2019-01-01 01:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-14,-7,-14,24,1,47,0.0,1020,-8,10,38,23,"littlerock,ar"
2019-01-01 02:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-16,-14,-7,-14,24,0,48,0.0,1021,-8,10,43,24,"littlerock,ar"
2019-01-01 03:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-16,-14,-7,-14,24,0,48,0.0,1021,-8,10,49,24,"littlerock,ar"
2019-01-01 04:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-16,-15,-7,-15,24,0,49,0.0,1022,-8,10,51,25,"littlerock,ar"
2019-01-01 05:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-16,-8,-16,23,0,49,0.0,1022,-8,10,53,26,"littlerock,ar"
2019-01-01 06:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-17,-8,-17,23,0,50,0.0,1023,-9,10,55,27,"littlerock,ar"
2019-01-01 07:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-16,-8,-16,23,0,48,0.0,1024,-8,10,55,27,"littlerock,ar"
2019-01-01 08:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-15,-7,-15,24,0,46,0.0,1024,-8,10,55,27,"littlerock,ar"
2019-01-01 09:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-17,-15,-7,-15,24,0,45,0.0,1025,-8,10,55,26,"littlerock,ar"
2019-01-01 10:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-18,-14,-6,-14,24,0,40,0.0,1025,-7,10,53,28,"littlerock,ar"
2019-01-01 11:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-18,-13,-5,-13,25,0,35,0.0,1025,-6,10,51,29,"littlerock,ar"
2019-01-01 12:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-12,-4,-12,25,0,30,0.0,1024,-5,10,49,31,"littlerock,ar"
2019-01-01 13:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-12,-4,-12,25,0,31,0.0,1024,-5,10,47,30,"littlerock,ar"
2019-01-01 14:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-12,-4,-12,25,0,31,0.0,1023,-5,10,44,30,"littlerock,ar"
2019-01-01 15:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-12,-4,-12,24,0,32,0.0,1023,-5,10,42,30,"littlerock,ar"
2019-01-01 16:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-13,-5,-13,23,0,33,0.0,1023,-6,10,40,27,"littlerock,ar"
2019-01-01 17:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-13,-6,-13,21,0,34,0.0,1023,-6,10,39,25,"littlerock,ar"
2019-01-01 18:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-20,-14,-6,-14,19,0,35,0.0,1023,-7,10,38,23,"littlerock,ar"
2019-01-01 19:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-14,-7,-14,18,11,37,0.0,1024,-7,10,36,22,"littlerock,ar"
2019-01-01 20:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-14,-7,-14,16,22,38,0.0,1024,-8,10,34,21,"littlerock,ar"
2019-01-01 21:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-14,-7,-14,14,33,40,0.0,1024,-8,10,33,20,"littlerock,ar"
2019-01-01 22:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-14,-7,-14,15,46,40,0.0,1024,-8,10,32,20,"littlerock,ar"
2019-01-01 23:00:00,-4,-9,0.0,8.7,2,26,03:53 AM,02:58 PM,07:59 AM,05:53 PM,-19,-15,-8,-15,16,59,41,0.0,1024,-8,10,31,19,"littlerock,ar"
2019-01-02 00:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-19,-15,-8,-15,17,72,41,0.0,1024,-9,10,30,19,"littlerock,ar"
2019-01-02 01:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-19,-14,-7,-14,18,53,40,0.0,1024,-8,10,29,19,"littlerock,ar"
2019-01-02 02:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-19,-14,-7,-14,18,33,39,0.0,1024,-8,10,29,20,"littlerock,ar"
2019-01-02 03:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-19,-13,-6,-13,19,13,38,0.0,1024,-7,10,29,20,"littlerock,ar"
2019-01-02 04:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-18,-13,-6,-13,18,9,38,0.0,1024,-7,10,29,20,"littlerock,ar"
2019-01-02 05:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-18,-12,-5,-12,18,6,37,0.0,1024,-6,10,29,20,"littlerock,ar"
2019-01-02 06:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-18,-12,-5,-12,18,2,36,0.0,1024,-6,10,30,20,"littlerock,ar"
2019-01-02 07:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-17,-11,-4,-11,17,1,35,0.0,1024,-5,10,31,20,"littlerock,ar"
2019-01-02 08:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-17,-10,-4,-10,17,1,35,0.0,1025,-4,10,32,20,"littlerock,ar"
2019-01-02 09:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-17,-9,-3,-9,16,0,34,0.0,1025,-4,10,33,20,"littlerock,ar"
2019-01-02 10:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-16,-7,-2,-7,15,0,32,0.0,1024,-2,10,36,20,"littlerock,ar"
2019-01-02 11:00:00,2,-6,0.0,8.7,2,19,04:53 AM,03:36 PM,07:59 AM,05:53 PM,-16,-6,-0,-6,15,0,30,0.0,1024,-1,10,40,20,"littlerock,ar"
