date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-4,-8,-2,-8,36,4,82,0.0,1022,-3,10,41,25,"lubbock,tx"
2019-01-01 01:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-5,-9,-2,-9,35,4,80,0.0,1023,-3,10,42,24,"lubbock,tx"
2019-01-01 02:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-6,-10,-3,-10,34,4,78,0.0,1024,-4,10,43,24,"lubbock,tx"
2019-01-01 03:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-7,-11,-4,-11,33,4,76,0.0,1025,-5,10,44,24,"lubbock,tx"
2019-01-01 04:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-8,-11,-4,-11,32,10,75,0.0,1026,-5,10,43,24,"lubbock,tx"
2019-01-01 05:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-9,-12,-5,-12,32,15,73,0.0,1027,-6,10,42,25,"lubbock,tx"
2019-01-01 06:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-9,-12,-5,-12,31,20,72,0.0,1027,-6,10,41,25,"lubbock,tx"
2019-01-01 07:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-10,-13,-6,-13,30,20,70,0.0,1028,-6,10,41,25,"lubbock,tx"
2019-01-01 08:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-11,-13,-6,-13,28,20,67,0.0,1030,-7,10,42,25,"lubbock,tx"
2019-01-01 09:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-11,-14,-6,-14,27,20,65,0.0,1031,-7,10,42,24,"lubbock,tx"
2019-01-01 10:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-11,-13,-5,-13,26,18,62,0.0,1030,-6,10,45,23,"lubbock,tx"
2019-01-01 11:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-11,-12,-5,-12,25,16,60,0.0,1030,-5,10,47,22,"lubbock,tx"
2019-01-01 12:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-11,-11,-4,-11,23,13,57,0.0,1029,-5,10,50,21,"lubbock,tx"
2019-01-01 13:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-10,-10,-3,-10,22,13,58,0.0,1029,-4,10,55,19,"lubbock,tx"
2019-01-01 14:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-9,-9,-3,-9,21,13,58,0.0,1028,-4,10,61,18,"lubbock,tx"
2019-01-01 15:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-9,-8,-2,-8,20,13,59,0.0,1027,-3,10,67,17,"lubbock,tx"
2019-01-01 16:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-8,-8,-3,-8,20,14,64,0.0,1027,-4,10,71,15,"lubbock,tx"
2019-01-01 17:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-8,-9,-3,-9,20,14,69,0.0,1027,-4,10,76,13,"lubbock,tx"
2019-01-01 18:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-8,-9,-4,-9,21,15,74,0.0,1026,-5,10,80,11,"lubbock,tx"
2019-01-01 19:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-8,-10,-5,-10,19,19,74,0.0,1027,-5,10,82,11,"lubbock,tx"
2019-01-01 20:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-9,-11,-5,-11,17,23,75,0.0,1027,-6,10,83,11,"lubbock,tx"
2019-01-01 21:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-9,-11,-6,-11,15,27,75,0.0,1028,-7,10,84,12,"lubbock,tx"
2019-01-01 22:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-10,-11,-6,-11,14,24,75,0.0,1028,-7,10,84,12,"lubbock,tx"
2019-01-01 23:00:00,-3,-7,0.0,10.0,2,26,04:45 AM,03:53 PM,08:52 AM,06:50 PM,-10,-11,-6,-11,13,22,74,0.0,1029,-7,10,85,13,"lubbock,tx"
2019-01-02 00:00:00,-1,-8,0.0,10.0,2,19,05:44 AM,04:31 PM,08:52 AM,06:51 PM,-10,-11,-6,-11,11,19,74,0.0,1029,-7,10,85,14,"lubbock,tx"
2019-01-02 01:00:00,-1,-8,0.0,10.0,2,19,05:44 AM,04:31 PM,08:52 AM,06:51 PM,-10,-11,-6,-11,10,15,72,0.0,1029,-7,10,80,14,"lubbock,tx"
2019-01-02 02:00:00,-1,-8,0.0,10.0,2,19,05:44 AM,04:31 PM,08:52 AM,06:51 PM,-10,-11,-6,-11,9,11,71,0.0,1029,-7,10,74,15,"lubbock,tx"
