date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-1,-5,-1,-5,21,100,88,0.1,1015,-3,7,321,15,"moline,il"
2019-01-01 01:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-1,-5,-0,-5,21,100,89,0.0,1016,-2,6,330,15,"moline,il"
2019-01-01 02:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-2,-5,-0,-5,21,100,89,0.1,1016,-1,6,339,15,"moline,il"
2019-01-01 03:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-2,-5,0,-5,21,100,90,0.1,1017,-1,5,349,14,"moline,il"
2019-01-01 04:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-2,-5,-0,-5,21,100,89,0.0,1018,-1,6,276,14,"moline,il"
2019-01-01 05:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-3,-6,-1,-6,22,100,89,0.1,1019,-2,6,204,14,"moline,il"
2019-01-01 06:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-3,-6,-1,-6,23,100,88,0.1,1020,-2,7,132,13,"moline,il"
2019-01-01 07:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-4,-7,-2,-7,23,100,87,0.0,1021,-2,7,92,15,"moline,il"
2019-01-01 08:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-4,-7,-2,-7,23,100,86,0.0,1022,-3,7,53,16,"moline,il"
2019-01-01 09:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-5,-7,-2,-7,23,100,84,0.0,1023,-3,7,14,17,"moline,il"
2019-01-01 10:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-5,-7,-2,-7,21,100,83,0.0,1024,-3,7,14,18,"moline,il"
2019-01-01 11:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-5,-7,-2,-7,20,100,81,0.0,1024,-3,8,13,18,"moline,il"
2019-01-01 12:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-6,-7,-2,-7,18,100,79,0.0,1025,-3,8,13,19,"moline,il"
2019-01-01 13:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-6,-7,-2,-7,17,99,77,0.0,1025,-3,9,12,18,"moline,il"
2019-01-01 14:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-6,-8,-2,-8,16,98,76,0.0,1026,-3,9,10,18,"moline,il"
2019-01-01 15:00:00,-3,-4,0.3,3.4,1,26,04:09 AM,02:53 PM,08:28 AM,05:43 PM,-7,-8,-3,-8,14,98,74,0.0,1026,-4,10,9,18,"moline,il"
