date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,9,9,9,9,10,31,98,0.0,1018,8,10,270,1,"monroe,la"
2019-01-01 01:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,8,8,8,8,11,27,98,0.0,1019,7,8,289,2,"monroe,la"
2019-01-01 02:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,8,8,8,8,12,24,98,0.0,1019,7,6,309,3,"monroe,la"
2019-01-01 03:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,7,7,7,7,13,20,98,0.0,1020,7,5,328,4,"monroe,la"
2019-01-01 04:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,7,7,7,7,14,24,99,0.0,1020,6,4,258,5,"monroe,la"
2019-01-01 05:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,7,6,7,6,15,27,99,0.0,1021,6,3,189,7,"monroe,la"
2019-01-01 06:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,6,5,6,5,16,31,99,0.0,1021,6,2,119,8,"monroe,la"
2019-01-01 07:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,6,5,7,5,16,35,95,0.0,1021,6,4,86,9,"monroe,la"
2019-01-01 08:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,5,5,7,5,16,38,90,0.0,1021,6,6,54,11,"monroe,la"
2019-01-01 09:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,5,5,7,5,16,42,86,0.0,1021,7,7,21,13,"monroe,la"
2019-01-01 10:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,5,7,9,7,16,53,80,0.0,1021,8,8,22,13,"monroe,la"
2019-01-01 11:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,6,9,10,9,16,64,75,0.0,1022,10,9,22,14,"monroe,la"
2019-01-01 12:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,6,11,12,11,15,75,69,0.0,1022,11,10,22,15,"monroe,la"
2019-01-01 13:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,7,12,12,12,17,82,69,0.0,1022,11,10,21,15,"monroe,la"
2019-01-01 14:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,7,12,12,12,18,89,70,0.0,1022,12,10,20,14,"monroe,la"
2019-01-01 15:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,8,13,13,13,19,96,70,0.0,1023,12,10,19,14,"monroe,la"
2019-01-01 16:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,6,12,12,12,20,95,70,0.0,1023,11,10,20,13,"monroe,la"
2019-01-01 17:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,5,11,11,11,20,93,70,0.0,1022,10,10,22,12,"monroe,la"
2019-01-01 18:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,3,10,11,10,21,92,70,0.0,1022,9,10,23,11,"monroe,la"
2019-01-01 19:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,2,7,9,7,21,82,70,0.0,1022,8,10,24,11,"monroe,la"
2019-01-01 20:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,1,5,8,5,21,71,70,0.0,1023,6,10,25,11,"monroe,la"
2019-01-01 21:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,0,3,6,3,21,61,70,0.0,1023,5,10,26,10,"monroe,la"
2019-01-01 22:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,-0,2,5,2,21,68,70,0.0,1023,4,10,29,11,"monroe,la"
2019-01-01 23:00:00,13,5,0.0,6.7,3,26,04:03 AM,03:15 PM,08:10 AM,06:14 PM,-0,1,4,1,20,75,70,0.0,1023,3,10,31,11,"monroe,la"
2019-01-02 00:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,0,3,0,20,82,71,0.0,1024,3,10,33,11,"monroe,la"
2019-01-02 01:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,-0,3,-0,19,88,71,0.0,1024,2,8,34,11,"monroe,la"
2019-01-02 02:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,-0,3,-0,19,94,72,0.2,1024,2,6,34,10,"monroe,la"
2019-01-02 03:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,-1,2,-1,18,100,73,0.2,1025,2,5,35,10,"monroe,la"
2019-01-02 04:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,-0,3,-0,19,100,74,0.1,1025,2,5,32,10,"monroe,la"
2019-01-02 05:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,0,3,0,19,100,74,1.1,1024,2,5,29,10,"monroe,la"
2019-01-02 06:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,1,3,1,19,100,75,1.4,1024,3,5,26,10,"monroe,la"
2019-01-02 07:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,1,3,1,19,100,74,0.7,1024,3,6,28,11,"monroe,la"
2019-01-02 08:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,0,3,0,19,100,73,0.7,1025,3,7,30,12,"monroe,la"
2019-01-02 09:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,0,3,0,18,100,72,0.9,1025,3,8,33,13,"monroe,la"
2019-01-02 10:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,0,3,0,19,100,71,0.5,1025,3,9,27,14,"monroe,la"
2019-01-02 11:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,0,4,0,20,100,69,0.6,1025,3,9,21,14,"monroe,la"
2019-01-02 12:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,0,4,0,20,100,68,0.8,1025,3,9,16,15,"monroe,la"
2019-01-02 13:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,1,4,1,22,100,67,0.4,1025,3,8,19,15,"monroe,la"
2019-01-02 14:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,1,4,1,24,100,66,2.3,1025,4,7,22,16,"monroe,la"
2019-01-02 15:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,2,5,2,26,100,65,3.1,1024,4,6,26,16,"monroe,la"
2019-01-02 16:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,2,4,2,25,100,68,1.5,1024,3,6,27,14,"monroe,la"
2019-01-02 17:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,2,4,2,24,100,70,5.2,1025,3,5,27,11,"monroe,la"
2019-01-02 18:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,2,3,2,23,100,72,6.9,1025,2,5,28,9,"monroe,la"
2019-01-02 19:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,1,2,1,21,100,74,3.4,1025,2,5,32,7,"monroe,la"
2019-01-02 20:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-1,1,2,1,20,100,76,4.3,1025,1,5,37,6,"monroe,la"
2019-01-02 21:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,0,1,0,18,100,78,5.8,1025,1,5,41,5,"monroe,la"
2019-01-02 22:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,0,1,0,16,100,79,2.9,1025,0,5,43,5,"monroe,la"
2019-01-02 23:00:00,4,2,0.0,5.0,2,19,05:02 AM,03:54 PM,08:10 AM,06:14 PM,-2,0,1,0,15,100,80,4.5,1025,0,5,46,5,"monroe,la"
2019-01-03 00:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,-2,0,1,0,14,100,80,6.0,1025,0,5,49,5,"monroe,la"
2019-01-03 01:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,0,2,3,2,15,100,83,3.0,1023,2,6,115,7,"monroe,la"
2019-01-03 02:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,2,4,5,4,17,100,85,2.1,1021,4,7,182,9,"monroe,la"
2019-01-03 03:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,4,6,6,6,19,100,87,2.8,1019,6,8,249,12,"monroe,la"
2019-01-03 04:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,4,5,6,5,21,100,88,1.4,1018,5,8,213,12,"monroe,la"
2019-01-03 05:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,4,5,6,5,23,100,88,1.0,1017,5,8,177,12,"monroe,la"
2019-01-03 06:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,4,4,6,4,25,100,89,1.3,1015,5,8,141,12,"monroe,la"
2019-01-03 07:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,5,5,6,5,25,100,89,0.6,1015,6,7,109,12,"monroe,la"
2019-01-03 08:00:00,10,3,0.0,5.0,2,11,05:59 AM,04:35 PM,08:11 AM,06:15 PM,6,6,7,6,24,100,90,1.7,1015,6,7,77,12,"monroe,la"
