date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,18,18,18,18,24,97,100,0.3,1015,17,10,203,11,"montgomery,al"
2019-01-01 01:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,18,18,18,18,23,98,99,0.1,1015,17,9,210,10,"montgomery,al"
2019-01-01 02:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,17,18,18,18,22,99,98,1.1,1016,17,9,216,9,"montgomery,al"
2019-01-01 03:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,17,17,17,17,21,100,97,1.4,1016,17,8,223,7,"montgomery,al"
2019-01-01 04:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,17,17,17,17,20,100,97,0.7,1017,16,8,250,7,"montgomery,al"
2019-01-01 05:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,17,17,17,17,19,100,96,1.8,1017,16,7,277,7,"montgomery,al"
2019-01-01 06:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,17,17,17,17,18,100,96,2.4,1018,16,7,303,6,"montgomery,al"
2019-01-01 07:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,16,17,17,17,17,97,93,1.2,1018,16,8,244,8,"montgomery,al"
2019-01-01 08:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,15,16,16,16,15,93,90,0.7,1018,15,8,185,10,"montgomery,al"
2019-01-01 09:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,14,16,16,16,14,90,87,0.9,1018,15,9,126,11,"montgomery,al"
2019-01-01 10:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,14,16,16,16,13,89,84,0.4,1019,16,9,166,11,"montgomery,al"
2019-01-01 11:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,13,17,17,17,12,89,80,0.0,1019,16,10,206,10,"montgomery,al"
2019-01-01 12:00:00,18,14,0.0,3.8,4,26,03:39 AM,02:51 PM,07:47 AM,05:51 PM,13,18,18,18,11,88,76,0.0,1020,17,10,246,10,"montgomery,al"
