date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-7,-12,-7,-12,33,91,83,0.3,1017,-8,2,241,23,"mosinee,wi"
2019-01-01 01:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-8,-12,-7,-12,32,92,83,0.1,1018,-8,4,280,22,"mosinee,wi"
2019-01-01 02:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-8,-13,-6,-13,31,94,82,0.0,1019,-7,6,318,21,"mosinee,wi"
2019-01-01 03:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-9,-13,-6,-13,30,95,82,0.0,1020,-7,7,357,20,"mosinee,wi"
2019-01-01 04:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-9,-14,-7,-14,26,90,82,0.0,1021,-8,8,278,19,"mosinee,wi"
2019-01-01 05:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-10,-14,-7,-14,23,84,81,0.0,1022,-8,9,199,18,"mosinee,wi"
2019-01-01 06:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-10,-15,-8,-15,19,78,81,0.0,1023,-9,10,120,17,"mosinee,wi"
2019-01-01 07:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-11,-15,-8,-15,17,61,80,0.0,1025,-9,10,157,15,"mosinee,wi"
2019-01-01 08:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-14,-8,-14,15,44,79,0.0,1027,-9,10,193,13,"mosinee,wi"
2019-01-01 09:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-14,-9,-14,12,27,78,0.0,1029,-10,10,230,11,"mosinee,wi"
2019-01-01 10:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-14,-8,-14,12,29,75,0.0,1028,-9,10,271,12,"mosinee,wi"
2019-01-01 11:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-14,-8,-14,11,30,73,0.0,1028,-9,10,312,12,"mosinee,wi"
2019-01-01 12:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-13,-8,-13,10,32,70,0.0,1028,-9,10,352,13,"mosinee,wi"
2019-01-01 13:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-13,-8,-13,9,48,69,0.0,1027,-9,10,347,12,"mosinee,wi"
2019-01-01 14:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-13,-8,-13,8,65,69,0.0,1027,-9,10,343,11,"mosinee,wi"
2019-01-01 15:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-13,-8,-13,7,81,69,0.0,1027,-9,10,338,10,"mosinee,wi"
2019-01-01 16:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-12,-8,-12,7,66,70,0.0,1027,-9,10,321,8,"mosinee,wi"
2019-01-01 17:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-12,-11,-8,-11,8,50,71,0.0,1028,-9,10,304,6,"mosinee,wi"
2019-01-01 18:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-13,-10,-9,-10,8,35,72,0.0,1028,-10,10,288,5,"mosinee,wi"
2019-01-01 19:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-13,-10,-9,-10,8,26,74,0.0,1029,-10,10,267,4,"mosinee,wi"
2019-01-01 20:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-13,-10,-10,-10,9,17,76,0.0,1029,-11,10,245,3,"mosinee,wi"
2019-01-01 21:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-14,-10,-10,-10,9,8,78,0.0,1030,-11,10,224,3,"mosinee,wi"
2019-01-01 22:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-14,-12,-11,-12,10,8,80,0.0,1030,-12,10,214,4,"mosinee,wi"
2019-01-01 23:00:00,-8,-10,0.4,6.9,1,26,04:11 AM,02:43 PM,08:36 AM,05:29 PM,-14,-13,-12,-13,11,9,83,0.0,1030,-12,10,203,5,"mosinee,wi"
2019-01-02 00:00:00,-8,-15,0.3,3.4,2,19,05:17 AM,03:17 PM,08:36 AM,05:30 PM,-15,-15,-12,-15,12,9,85,0.0,1030,-13,10,192,6,"mosinee,wi"
2019-01-02 01:00:00,-8,-15,0.3,3.4,2,19,05:17 AM,03:17 PM,08:36 AM,05:30 PM,-15,-16,-13,-16,13,12,86,0.0,1030,-14,8,188,7,"mosinee,wi"
2019-01-02 02:00:00,-8,-15,0.3,3.4,2,19,05:17 AM,03:17 PM,08:36 AM,05:30 PM,-15,-17,-13,-17,14,15,86,0.0,1029,-14,6,183,8,"mosinee,wi"
2019-01-02 03:00:00,-8,-15,0.3,3.4,2,19,05:17 AM,03:17 PM,08:36 AM,05:30 PM,-16,-18,-14,-18,15,17,87,0.0,1029,-15,5,178,8,"mosinee,wi"
2019-01-02 04:00:00,-8,-15,0.3,3.4,2,19,05:17 AM,03:17 PM,08:36 AM,05:30 PM,-16,-19,-14,-19,16,32,87,0.0,1028,-15,6,179,9,"mosinee,wi"
2019-01-02 05:00:00,-8,-15,0.3,3.4,2,19,05:17 AM,03:17 PM,08:36 AM,05:30 PM,-15,-19,-14,-19,17,47,88,0.0,1026,-15,6,179,9,"mosinee,wi"
