date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,25,25,22,9,0,69,0.0,1021,22,10,254,6,"newportnews,va"
2019-01-01 01:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,25,25,22,10,0,70,0.0,1021,22,10,271,6,"newportnews,va"
2019-01-01 02:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,22,25,22,10,0,71,0.0,1021,22,10,288,7,"newportnews,va"
2019-01-01 03:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,22,25,22,11,0,72,0.0,1020,22,10,306,7,"newportnews,va"
2019-01-01 04:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,22,24,22,12,0,74,0.0,1021,22,10,307,8,"newportnews,va"
2019-01-01 05:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,22,24,22,14,0,75,0.0,1021,22,10,309,9,"newportnews,va"
2019-01-01 06:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,22,24,22,15,0,77,0.0,1022,22,10,311,10,"newportnews,va"
2019-01-01 07:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,25,25,22,15,0,74,0.0,1022,22,10,304,10,"newportnews,va"
2019-01-01 08:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,25,25,23,15,0,70,0.0,1022,23,10,297,10,"newportnews,va"
2019-01-01 09:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,25,25,23,14,0,67,0.0,1022,23,10,290,11,"newportnews,va"
2019-01-01 10:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,16,25,25,24,17,0,64,0.0,1021,24,10,279,13,"newportnews,va"
2019-01-01 11:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,16,26,26,24,20,0,62,0.0,1020,24,10,268,16,"newportnews,va"
2019-01-01 12:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,16,26,26,25,23,0,59,0.0,1020,25,10,257,18,"newportnews,va"
2019-01-01 13:00:00,25,22,0.0,8.7,6,26,02:47 AM,02:22 PM,07:12 AM,05:44 PM,17,26,26,25,25,0,61,0.0,1019,25,10,251,20,"newportnews,va"
