date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-2,-1,3,-1,43,0,72,0.0,1017,2,10,78,20,"odessa,tx"
2019-01-01 01:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-2,-3,2,-3,44,0,76,0.0,1018,1,10,74,23,"odessa,tx"
2019-01-01 02:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,-5,1,-5,45,0,79,0.0,1019,0,10,71,26,"odessa,tx"
2019-01-01 03:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,-6,0,-6,46,0,83,0.0,1021,-1,10,67,29,"odessa,tx"
2019-01-01 04:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,-8,-1,-8,45,0,83,0.0,1022,-2,10,65,29,"odessa,tx"
2019-01-01 05:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-4,-9,-2,-9,44,1,84,0.0,1023,-3,10,63,28,"odessa,tx"
2019-01-01 06:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-5,-10,-3,-10,43,1,84,0.0,1024,-4,10,61,28,"odessa,tx"
2019-01-01 07:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-4,-8,-2,-8,42,2,82,0.0,1023,-3,10,59,24,"odessa,tx"
2019-01-01 08:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-4,-7,-1,-7,41,2,81,0.0,1022,-2,10,57,21,"odessa,tx"
2019-01-01 09:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,-5,0,-5,39,2,79,0.0,1022,-1,10,55,18,"odessa,tx"
2019-01-01 10:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,-3,1,-3,37,3,72,0.0,1022,1,10,56,18,"odessa,tx"
2019-01-01 11:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,-2,3,-2,35,3,66,0.0,1023,2,10,57,17,"odessa,tx"
2019-01-01 12:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-3,0,4,0,33,3,60,0.0,1024,3,10,58,17,"odessa,tx"
2019-01-01 13:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-4,-1,3,-1,31,4,60,0.0,1024,3,10,64,18,"odessa,tx"
2019-01-01 14:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-4,-2,3,-2,29,4,61,0.0,1024,2,10,71,19,"odessa,tx"
2019-01-01 15:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-5,-2,2,-2,27,4,61,0.0,1024,2,10,77,20,"odessa,tx"
2019-01-01 16:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-5,-4,1,-4,28,5,66,0.0,1024,0,10,77,19,"odessa,tx"
2019-01-01 17:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-5,-5,-0,-5,28,5,72,0.0,1024,-1,10,77,18,"odessa,tx"
2019-01-01 18:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-6,-7,-2,-7,28,6,77,0.0,1024,-3,10,77,17,"odessa,tx"
2019-01-01 19:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-6,-7,-2,-7,27,11,78,0.0,1024,-3,10,74,17,"odessa,tx"
2019-01-01 20:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-6,-8,-3,-8,27,16,80,0.0,1025,-3,10,71,16,"odessa,tx"
2019-01-01 21:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-6,-9,-3,-9,26,22,82,0.0,1025,-4,10,68,16,"odessa,tx"
2019-01-01 22:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-7,-9,-3,-9,25,20,78,0.0,1026,-4,10,68,17,"odessa,tx"
2019-01-01 23:00:00,4,-5,0.0,10.1,2,26,04:44 AM,03:58 PM,08:50 AM,06:57 PM,-8,-10,-4,-10,24,19,75,0.0,1027,-5,10,67,17,"odessa,tx"
2019-01-02 00:00:00,0,-6,0.0,10.1,2,19,05:43 AM,04:37 PM,08:50 AM,06:57 PM,-9,-11,-4,-11,23,17,71,0.0,1027,-5,10,67,18,"odessa,tx"
2019-01-02 01:00:00,0,-6,0.0,10.1,2,19,05:43 AM,04:37 PM,08:50 AM,06:57 PM,-9,-11,-5,-11,22,15,71,0.0,1027,-5,10,65,18,"odessa,tx"
2019-01-02 02:00:00,0,-6,0.0,10.1,2,19,05:43 AM,04:37 PM,08:50 AM,06:57 PM,-9,-12,-5,-12,22,13,70,0.0,1027,-6,10,64,19,"odessa,tx"
2019-01-02 03:00:00,0,-6,0.0,10.1,2,19,05:43 AM,04:37 PM,08:50 AM,06:57 PM,-9,-12,-5,-12,22,11,70,0.0,1027,-6,10,62,19,"odessa,tx"
2019-01-02 04:00:00,0,-6,0.0,10.1,2,19,05:43 AM,04:37 PM,08:50 AM,06:57 PM,-9,-12,-5,-12,21,12,71,0.0,1027,-6,10,56,19,"odessa,tx"
