date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,4,7,4,32,0,26,0.0,1018,7,10,31,16,"ontario,ca"
2019-01-01 01:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,4,7,4,33,0,27,0.0,1018,6,10,31,18,"ontario,ca"
2019-01-01 02:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,3,6,3,33,0,27,0.0,1019,6,10,30,19,"ontario,ca"
2019-01-01 03:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,3,6,3,34,0,28,0.0,1020,5,10,30,21,"ontario,ca"
2019-01-01 04:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,3,6,3,32,0,28,0.0,1021,5,10,29,21,"ontario,ca"
2019-01-01 05:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,2,6,2,31,0,27,0.0,1022,5,10,29,20,"ontario,ca"
2019-01-01 06:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,2,6,2,30,0,27,0.0,1023,5,10,29,20,"ontario,ca"
2019-01-01 07:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,4,7,4,28,0,26,0.0,1023,6,10,29,17,"ontario,ca"
2019-01-01 08:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,5,7,5,27,0,25,0.0,1024,7,10,28,14,"ontario,ca"
2019-01-01 09:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-11,6,8,6,26,0,24,0.0,1024,7,10,27,12,"ontario,ca"
2019-01-01 10:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-12,8,10,8,26,0,21,0.0,1024,9,10,26,12,"ontario,ca"
2019-01-01 11:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-12,11,11,11,26,0,18,0.0,1024,11,10,24,13,"ontario,ca"
2019-01-01 12:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-13,13,13,13,26,0,15,0.0,1023,12,10,23,13,"ontario,ca"
2019-01-01 13:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-14,13,13,13,25,0,14,0.0,1023,13,10,21,14,"ontario,ca"
2019-01-01 14:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-14,14,14,14,25,0,13,0.0,1023,13,10,19,14,"ontario,ca"
2019-01-01 15:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-15,14,14,14,25,0,12,0.0,1022,13,10,17,15,"ontario,ca"
2019-01-01 16:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-15,13,13,13,22,0,13,0.0,1022,12,10,53,15,"ontario,ca"
2019-01-01 17:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-15,11,12,11,20,0,13,0.0,1023,11,10,90,15,"ontario,ca"
2019-01-01 18:00:00,14,5,0.0,8.7,4,26,03:51 AM,02:57 PM,07:56 AM,05:52 PM,-15,10,11,10,17,0,14,0.0,1023,10,10,126,15,"ontario,ca"
