date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-7,-9,-5,-9,15,18,85,0.0,1033,-6,10,167,8,"pasco,wa"
2019-01-01 01:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-7,-9,-5,-9,14,20,84,0.0,1033,-6,10,165,7,"pasco,wa"
2019-01-01 02:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-7,-9,-5,-9,14,22,82,0.0,1033,-6,10,164,7,"pasco,wa"
2019-01-01 03:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-7,-9,-5,-9,14,24,81,0.0,1032,-6,10,162,6,"pasco,wa"
2019-01-01 04:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-8,-9,-5,-9,14,31,79,0.0,1032,-6,10,160,7,"pasco,wa"
2019-01-01 05:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-8,-9,-5,-9,14,38,77,0.0,1032,-6,10,157,7,"pasco,wa"
2019-01-01 06:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-9,-9,-5,-9,14,46,74,0.0,1032,-6,10,155,7,"pasco,wa"
2019-01-01 07:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-9,-8,-4,-8,14,48,70,0.0,1032,-5,10,152,7,"pasco,wa"
2019-01-01 08:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-10,-7,-4,-7,14,50,66,0.0,1032,-5,10,149,7,"pasco,wa"
2019-01-01 09:00:00,1,-6,0.0,8.7,2,26,04:17 AM,02:40 PM,08:39 AM,05:21 PM,-10,-7,-3,-7,14,52,62,0.0,1032,-4,10,146,7,"pasco,wa"
