date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,0,23,23,23,29,15,22,0.0,1015,23,10,344,14,"rapidcity,sd"
2019-01-01 01:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-0,22,22,22,27,15,22,0.0,1015,22,10,241,13,"rapidcity,sd"
2019-01-01 02:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-0,22,22,22,26,16,23,0.0,1015,22,10,138,12,"rapidcity,sd"
2019-01-01 03:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,21,21,21,24,17,23,0.0,1015,21,10,35,12,"rapidcity,sd"
2019-01-01 04:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,20,20,20,24,15,24,0.0,1015,20,10,42,11,"rapidcity,sd"
2019-01-01 05:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,19,19,19,24,14,25,0.0,1015,19,10,48,11,"rapidcity,sd"
2019-01-01 06:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,19,19,19,23,13,26,0.0,1016,19,10,54,11,"rapidcity,sd"
2019-01-01 07:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,19,19,19,22,11,26,0.0,1016,19,10,51,11,"rapidcity,sd"
2019-01-01 08:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,19,19,19,21,10,25,0.0,1016,19,10,48,11,"rapidcity,sd"
2019-01-01 09:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,19,19,19,20,9,25,0.0,1017,19,10,45,10,"rapidcity,sd"
2019-01-01 10:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,22,21,22,18,8,22,0.0,1017,22,10,52,11,"rapidcity,sd"
2019-01-01 11:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,23,23,25,15,7,19,0.0,1016,25,10,59,11,"rapidcity,sd"
2019-01-01 12:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,25,25,27,13,6,16,0.0,1016,27,10,66,11,"rapidcity,sd"
2019-01-01 13:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,27,27,29,9,5,15,0.0,1015,29,10,128,8,"rapidcity,sd"
2019-01-01 14:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-0,28,28,30,5,5,14,0.0,1014,30,10,190,5,"rapidcity,sd"
2019-01-01 15:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-0,30,30,32,2,4,13,0.0,1013,32,10,252,1,"rapidcity,sd"
2019-01-01 16:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-0,30,30,31,3,3,13,0.0,1013,31,10,260,3,"rapidcity,sd"
2019-01-01 17:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,31,31,30,5,1,12,0.0,1012,30,10,269,4,"rapidcity,sd"
2019-01-01 18:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,31,31,29,7,0,12,0.0,1012,29,10,277,6,"rapidcity,sd"
2019-01-01 19:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,29,29,28,14,0,14,0.0,1013,28,10,288,8,"rapidcity,sd"
2019-01-01 20:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,27,27,27,21,0,16,0.0,1013,27,10,299,11,"rapidcity,sd"
2019-01-01 21:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,25,25,26,28,0,17,0.0,1014,26,10,310,13,"rapidcity,sd"
2019-01-01 22:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,24,24,25,31,0,18,0.0,1014,25,10,326,15,"rapidcity,sd"
2019-01-01 23:00:00,32,19,0.0,11.6,7,26,02:48 AM,02:45 PM,06:54 AM,06:12 PM,-1,23,23,24,33,0,18,0.0,1015,24,10,342,16,"rapidcity,sd"
2019-01-02 00:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,23,23,23,36,0,19,0.0,1016,23,10,358,17,"rapidcity,sd"
2019-01-02 01:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,22,22,22,34,0,20,0.0,1016,22,10,252,17,"rapidcity,sd"
2019-01-02 02:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,21,21,21,32,0,22,0.0,1016,21,10,146,17,"rapidcity,sd"
2019-01-02 03:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,20,20,20,30,0,23,0.0,1016,20,10,40,17,"rapidcity,sd"
2019-01-02 04:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,20,20,20,31,1,24,0.0,1016,20,10,39,17,"rapidcity,sd"
2019-01-02 05:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,19,19,19,31,2,24,0.0,1016,19,10,37,16,"rapidcity,sd"
2019-01-02 06:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,19,19,19,31,3,25,0.0,1015,19,10,36,16,"rapidcity,sd"
2019-01-02 07:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,19,19,19,32,3,25,0.0,1016,19,10,37,17,"rapidcity,sd"
2019-01-02 08:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,19,19,19,32,3,24,0.0,1016,19,10,37,19,"rapidcity,sd"
2019-01-02 09:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,19,19,19,32,3,24,0.0,1017,19,10,38,20,"rapidcity,sd"
2019-01-02 10:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-2,22,21,22,29,3,21,0.0,1016,22,10,42,20,"rapidcity,sd"
2019-01-02 11:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-1,23,23,24,25,3,19,0.0,1016,24,10,47,19,"rapidcity,sd"
2019-01-02 12:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-1,25,25,27,22,3,16,0.0,1016,27,10,51,19,"rapidcity,sd"
2019-01-02 13:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-1,26,26,28,18,3,15,0.0,1015,28,10,51,15,"rapidcity,sd"
2019-01-02 14:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,-0,28,28,30,14,3,14,0.0,1014,30,10,50,12,"rapidcity,sd"
2019-01-02 15:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,0,29,29,31,9,3,13,0.0,1013,31,10,50,8,"rapidcity,sd"
2019-01-02 16:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,0,31,31,31,9,2,14,0.0,1012,31,10,36,8,"rapidcity,sd"
2019-01-02 17:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,1,32,32,30,9,2,14,0.0,1012,30,10,23,8,"rapidcity,sd"
2019-01-02 18:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,1,33,33,29,9,2,14,0.0,1011,29,10,9,8,"rapidcity,sd"
2019-01-02 19:00:00,31,19,0.0,11.6,7,19,03:40 AM,03:29 PM,06:55 AM,06:13 PM,0,30,30,28,19,2,15,0.0,1012,28,10,16,13,"rapidcity,sd"
