date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,6,3,7,3,51,100,89,0.0,1019,6,10,264,35,"saintgeorge,ut"
2019-01-01 01:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,6,3,8,3,53,96,88,0.0,1018,7,8,268,37,"saintgeorge,ut"
2019-01-01 02:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,6,3,8,3,55,91,88,0.1,1016,8,6,273,39,"saintgeorge,ut"
2019-01-01 03:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,7,4,8,4,58,87,88,0.1,1015,8,5,277,41,"saintgeorge,ut"
2019-01-01 04:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,5,3,8,3,60,84,84,0.1,1014,8,4,281,42,"saintgeorge,ut"
2019-01-01 05:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,4,3,8,3,62,82,80,0.1,1014,8,4,285,43,"saintgeorge,ut"
2019-01-01 06:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,3,2,7,2,64,79,76,0.1,1013,7,4,289,44,"saintgeorge,ut"
2019-01-01 07:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,2,2,7,2,66,81,73,0.1,1013,7,5,292,44,"saintgeorge,ut"
2019-01-01 08:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,1,1,7,1,67,83,70,0.0,1013,7,7,295,45,"saintgeorge,ut"
2019-01-01 09:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,1,1,6,1,69,85,67,0.0,1012,6,8,297,46,"saintgeorge,ut"
2019-01-01 10:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-0,0,6,0,71,78,64,0.0,1012,6,9,299,48,"saintgeorge,ut"
2019-01-01 11:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-1,0,6,0,72,70,61,0.0,1012,6,9,301,50,"saintgeorge,ut"
2019-01-01 12:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-2,0,6,0,74,63,58,0.0,1012,6,10,303,51,"saintgeorge,ut"
2019-01-01 13:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-2,-0,6,-0,74,56,57,0.0,1012,6,10,305,51,"saintgeorge,ut"
2019-01-01 14:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-2,-1,6,-1,74,50,56,0.0,1012,6,10,307,51,"saintgeorge,ut"
2019-01-01 15:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-3,-1,5,-1,75,44,55,0.0,1012,5,10,309,50,"saintgeorge,ut"
2019-01-01 16:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-3,-1,5,-1,73,39,54,0.0,1012,5,10,312,48,"saintgeorge,ut"
2019-01-01 17:00:00,7,5,0.0,3.8,2,26,04:38 AM,02:30 PM,09:51 AM,04:57 PM,-4,-1,5,-1,71,33,53,0.0,1013,5,10,316,47,"saintgeorge,ut"
