date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,18,24,24,24,11,9,72,0.0,1016,23,10,246,8,"santamaria,ca"
2019-01-01 01:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,18,24,24,24,11,11,73,0.0,1016,23,10,283,8,"santamaria,ca"
2019-01-01 02:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,24,24,24,11,14,74,0.0,1016,23,10,319,7,"santamaria,ca"
2019-01-01 03:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,24,24,24,12,17,75,0.0,1015,23,10,356,7,"santamaria,ca"
2019-01-01 04:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,24,24,24,11,29,74,0.0,1015,23,10,278,7,"santamaria,ca"
2019-01-01 05:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,24,24,24,11,42,74,0.0,1016,23,10,199,7,"santamaria,ca"
2019-01-01 06:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,24,24,24,11,55,74,0.0,1016,23,10,120,7,"santamaria,ca"
2019-01-01 07:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,25,25,25,12,58,70,0.0,1016,24,10,101,9,"santamaria,ca"
2019-01-01 08:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,26,26,26,12,61,66,0.1,1017,25,10,83,10,"santamaria,ca"
2019-01-01 09:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,27,27,27,13,64,62,0.2,1017,26,10,64,12,"santamaria,ca"
2019-01-01 10:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,18,28,28,28,15,68,57,0.1,1017,27,10,77,13,"santamaria,ca"
2019-01-01 11:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,18,29,29,28,16,71,52,0.2,1017,28,10,91,14,"santamaria,ca"
2019-01-01 12:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,17,30,30,29,18,75,48,0.2,1017,29,10,104,15,"santamaria,ca"
2019-01-01 13:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,18,30,30,29,17,69,49,0.1,1017,29,10,105,16,"santamaria,ca"
2019-01-01 14:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,18,31,31,29,17,64,51,0.1,1016,29,10,106,16,"santamaria,ca"
2019-01-01 15:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,31,31,29,17,58,53,0.1,1016,29,10,107,17,"santamaria,ca"
2019-01-01 16:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,30,30,29,15,45,55,0.0,1016,28,10,92,18,"santamaria,ca"
2019-01-01 17:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,29,29,28,14,32,57,0.0,1016,27,10,77,20,"santamaria,ca"
2019-01-01 18:00:00,30,23,0.0,5.7,7,26,02:45 AM,02:32 PM,06:40 AM,05:45 PM,19,28,28,27,13,19,59,0.0,1016,26,10,62,21,"santamaria,ca"
