date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,20,20,20,19,2,91,0.0,1019,19,10,151,7,"sarasota,fl"
2019-01-01 01:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,19,19,19,19,2,92,0.0,1019,19,10,144,7,"sarasota,fl"
2019-01-01 02:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,19,19,19,19,1,92,0.0,1019,18,10,137,8,"sarasota,fl"
2019-01-01 03:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,19,19,19,19,1,93,0.0,1019,18,10,130,8,"sarasota,fl"
2019-01-01 04:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,19,19,19,20,5,93,0.0,1019,18,10,127,8,"sarasota,fl"
2019-01-01 05:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,19,19,19,21,8,94,0.0,1019,18,10,124,8,"sarasota,fl"
2019-01-01 06:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,19,19,19,22,11,95,0.0,1019,18,10,122,8,"sarasota,fl"
2019-01-01 07:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,20,20,20,22,17,93,0.0,1020,19,10,124,8,"sarasota,fl"
2019-01-01 08:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,18,20,20,20,22,22,91,0.0,1020,20,10,126,9,"sarasota,fl"
2019-01-01 09:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,21,21,21,23,27,89,0.0,1021,20,10,128,9,"sarasota,fl"
2019-01-01 10:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,22,22,22,22,25,84,0.0,1021,21,10,134,11,"sarasota,fl"
2019-01-01 11:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,23,23,23,21,23,79,0.0,1021,23,10,141,12,"sarasota,fl"
2019-01-01 12:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,20,25,25,25,20,21,74,0.0,1021,24,10,147,13,"sarasota,fl"
2019-01-01 13:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,24,24,24,19,16,74,0.0,1020,24,10,159,13,"sarasota,fl"
2019-01-01 14:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,24,24,24,18,11,75,0.0,1020,23,10,172,12,"sarasota,fl"
2019-01-01 15:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,24,24,24,17,6,75,0.0,1019,23,10,184,12,"sarasota,fl"
2019-01-01 16:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,23,23,23,16,4,78,0.0,1019,22,10,205,10,"sarasota,fl"
2019-01-01 17:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,23,23,23,16,2,80,0.0,1019,22,10,225,8,"sarasota,fl"
2019-01-01 18:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,22,22,22,15,0,83,0.0,1020,21,10,246,6,"sarasota,fl"
2019-01-01 19:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,21,21,21,15,1,86,0.0,1020,20,10,235,5,"sarasota,fl"
2019-01-01 20:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,20,20,20,15,1,90,0.0,1021,20,10,224,5,"sarasota,fl"
2019-01-01 21:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,20,20,20,16,2,93,0.0,1021,19,10,213,4,"sarasota,fl"
2019-01-01 22:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,19,19,19,15,4,94,0.0,1021,19,10,148,5,"sarasota,fl"
2019-01-01 23:00:00,24,18,0.0,10.3,6,26,04:16 AM,03:43 PM,08:20 AM,06:47 PM,19,19,19,19,15,6,95,0.0,1021,18,10,84,6,"sarasota,fl"
2019-01-02 00:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,19,19,19,14,8,97,0.0,1021,18,10,19,6,"sarasota,fl"
2019-01-02 01:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,18,18,18,18,15,12,97,0.0,1020,18,10,30,7,"sarasota,fl"
2019-01-02 02:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,18,18,18,18,17,15,97,0.0,1020,17,10,41,7,"sarasota,fl"
2019-01-02 03:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,18,18,18,18,18,18,97,0.0,1020,17,10,51,7,"sarasota,fl"
2019-01-02 04:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,18,18,18,18,19,20,97,0.0,1020,17,10,57,7,"sarasota,fl"
2019-01-02 05:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,18,18,18,18,20,22,98,0.0,1020,17,10,63,7,"sarasota,fl"
2019-01-02 06:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,18,18,18,18,21,24,99,0.0,1020,18,10,69,8,"sarasota,fl"
2019-01-02 07:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,19,19,19,21,17,96,0.0,1020,18,10,78,9,"sarasota,fl"
2019-01-02 08:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,20,20,20,22,11,93,0.0,1020,19,10,86,10,"sarasota,fl"
2019-01-02 09:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,21,21,21,22,5,91,0.0,1020,20,10,94,11,"sarasota,fl"
2019-01-02 10:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,23,23,23,21,3,83,0.0,1020,22,10,103,11,"sarasota,fl"
2019-01-02 11:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,20,24,24,24,21,2,76,0.0,1021,23,10,112,12,"sarasota,fl"
2019-01-02 12:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,20,26,26,26,20,0,69,0.0,1021,25,10,120,12,"sarasota,fl"
2019-01-02 13:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,20,26,26,26,19,0,69,0.0,1021,25,10,135,12,"sarasota,fl"
2019-01-02 14:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,26,26,26,18,0,69,0.0,1020,25,10,149,11,"sarasota,fl"
2019-01-02 15:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,26,26,26,17,0,70,0.0,1019,25,10,164,11,"sarasota,fl"
2019-01-02 16:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,24,24,24,15,2,76,0.0,1019,24,10,180,11,"sarasota,fl"
2019-01-02 17:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,20,23,23,23,13,5,81,0.0,1018,22,10,197,10,"sarasota,fl"
2019-01-02 18:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,20,22,22,22,12,7,87,0.0,1018,21,10,213,10,"sarasota,fl"
2019-01-02 19:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,21,21,21,12,17,90,0.0,1018,20,10,214,9,"sarasota,fl"
2019-01-02 20:00:00,26,18,0.0,10.3,6,19,05:13 AM,04:23 PM,08:20 AM,06:48 PM,19,20,20,20,12,27,93,0.0,1018,20,10,214,8,"sarasota,fl"
