date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,6,7,7,7,9,28,92,0.0,1018,6,10,275,1,"shreveport,la"
2019-01-01 01:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,6,6,6,6,10,19,93,0.0,1019,5,10,217,1,"shreveport,la"
2019-01-01 02:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,5,5,5,5,10,9,93,0.0,1019,5,10,160,1,"shreveport,la"
2019-01-01 03:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,4,5,5,5,11,0,94,0.0,1020,4,10,103,1,"shreveport,la"
2019-01-01 04:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,4,4,4,4,12,4,95,0.0,1020,4,10,74,2,"shreveport,la"
2019-01-01 05:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,4,3,4,3,12,8,95,0.0,1021,3,10,45,3,"shreveport,la"
2019-01-01 06:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,4,3,4,3,13,12,96,0.0,1021,3,10,16,4,"shreveport,la"
2019-01-01 07:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,3,3,4,3,13,15,91,0.0,1022,4,10,20,6,"shreveport,la"
2019-01-01 08:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,3,3,5,3,13,18,86,0.0,1022,4,10,24,9,"shreveport,la"
2019-01-01 09:00:00,11,3,0.0,6.7,2,26,04:09 AM,03:22 PM,08:17 AM,06:20 PM,3,3,5,3,14,21,80,0.0,1023,5,10,28,11,"shreveport,la"
