date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-3,-4,1,-4,19,87,75,0.0,1022,0,10,329,15,"springfield,mo"
2019-01-01 01:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-4,-5,0,-5,20,89,76,0.0,1023,-1,10,333,16,"springfield,mo"
2019-01-01 02:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-4,-6,-1,-6,20,91,78,0.0,1024,-1,10,337,16,"springfield,mo"
2019-01-01 03:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-4,-7,-1,-7,21,92,79,0.0,1024,-2,10,341,17,"springfield,mo"
2019-01-01 04:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-4,-8,-2,-8,20,92,80,0.0,1025,-3,9,342,17,"springfield,mo"
2019-01-01 05:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-5,-8,-2,-8,20,92,81,0.0,1026,-3,8,344,17,"springfield,mo"
2019-01-01 06:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-5,-9,-3,-9,20,93,82,0.0,1027,-4,7,345,18,"springfield,mo"
2019-01-01 07:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-7,-9,-3,-9,19,92,76,0.0,1027,-4,7,348,18,"springfield,mo"
2019-01-01 08:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-8,-10,-4,-10,18,91,71,0.0,1027,-5,8,350,19,"springfield,mo"
2019-01-01 09:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-10,-11,-5,-11,17,90,66,0.0,1027,-6,8,352,20,"springfield,mo"
2019-01-01 10:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-11,-10,-4,-10,16,90,60,0.0,1026,-5,9,275,19,"springfield,mo"
2019-01-01 11:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-11,-9,-3,-9,14,90,55,0.0,1025,-4,9,198,18,"springfield,mo"
2019-01-01 12:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-12,-8,-3,-8,13,89,50,0.0,1024,-4,10,121,17,"springfield,mo"
2019-01-01 13:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-12,-7,-2,-7,12,89,48,0.0,1023,-3,10,160,16,"springfield,mo"
2019-01-01 14:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-12,-7,-2,-7,12,89,46,0.0,1023,-2,10,199,16,"springfield,mo"
2019-01-01 15:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-12,-6,-1,-6,11,89,43,0.0,1023,-2,10,237,15,"springfield,mo"
2019-01-01 16:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-10,-6,-1,-6,11,89,54,0.0,1024,-2,10,199,13,"springfield,mo"
2019-01-01 17:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-8,-6,-2,-6,12,89,64,0.0,1025,-3,10,160,12,"springfield,mo"
2019-01-01 18:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-7,-6,-2,-6,12,88,74,0.0,1026,-3,10,121,10,"springfield,mo"
2019-01-01 19:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-6,-6,-3,-6,11,83,76,0.0,1027,-3,10,88,9,"springfield,mo"
2019-01-01 20:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-6,-6,-3,-6,10,78,79,0.0,1028,-4,10,54,8,"springfield,mo"
2019-01-01 21:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-5,-6,-3,-6,9,73,81,0.0,1029,-4,10,20,7,"springfield,mo"
2019-01-01 22:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-8,-7,-4,-7,8,62,72,0.0,1029,-4,10,23,8,"springfield,mo"
2019-01-01 23:00:00,-2,-7,0.2,4.9,1,26,04:14 AM,03:12 PM,08:27 AM,06:06 PM,-11,-8,-4,-8,7,51,63,0.0,1029,-5,10,25,9,"springfield,mo"
2019-01-02 00:00:00,-1,-8,0.0,9.8,1,19,05:15 AM,03:49 PM,08:27 AM,06:07 PM,-13,-9,-5,-9,6,40,54,0.0,1029,-6,10,28,9,"springfield,mo"
