date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,32,32,27,33,48,80,0.5,1005,27,10,9,23,"tafuna,as"
2019-01-01 01:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,33,33,28,34,53,80,0.2,1005,28,9,7,23,"tafuna,as"
2019-01-01 02:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,34,34,28,35,57,80,0.8,1005,28,9,5,23,"tafuna,as"
2019-01-01 03:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,36,62,80,1.1,1005,29,8,3,23,"tafuna,as"
2019-01-01 04:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,37,63,80,0.5,1005,29,8,4,23,"tafuna,as"
2019-01-01 05:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,39,64,81,1.2,1005,29,7,5,23,"tafuna,as"
2019-01-01 06:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,40,65,81,1.6,1005,29,7,5,23,"tafuna,as"
2019-01-01 07:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,40,64,81,0.8,1005,29,8,6,24,"tafuna,as"
2019-01-01 08:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,40,63,81,0.5,1005,29,8,7,25,"tafuna,as"
2019-01-01 09:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,26,35,35,29,40,62,81,0.7,1006,29,9,8,26,"tafuna,as"
2019-01-01 10:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,26,35,35,29,39,65,81,0.3,1005,29,9,7,26,"tafuna,as"
2019-01-01 11:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,26,35,35,29,38,68,80,0.2,1005,29,10,6,27,"tafuna,as"
2019-01-01 12:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,26,36,36,29,37,71,80,0.3,1005,29,10,6,27,"tafuna,as"
2019-01-01 13:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,25,35,35,29,31,67,78,0.2,1005,29,9,73,21,"tafuna,as"
2019-01-01 14:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,24,34,34,29,24,64,76,0.9,1005,29,9,140,16,"tafuna,as"
2019-01-01 15:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,24,33,33,29,17,60,74,1.2,1005,29,8,207,11,"tafuna,as"
2019-01-01 16:00:00,29,29,0.0,9.4,6,26,02:41 AM,03:34 PM,05:58 AM,06:55 PM,24,33,33,29,14,58,73,0.6,1005,29,8,191,9,"tafuna,as"
