date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,18,20,20,20,1,74,85,0.2,1019,20,9,247,1,"universitypark,pa"
2019-01-01 01:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,20,20,20,2,70,86,0.1,1019,20,9,202,1,"universitypark,pa"
2019-01-01 02:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,19,19,19,2,66,87,0.0,1019,19,9,157,1,"universitypark,pa"
2019-01-01 03:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,19,19,19,2,62,88,0.0,1019,19,10,112,1,"universitypark,pa"
2019-01-01 04:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,19,19,19,3,70,88,0.0,1019,19,10,75,1,"universitypark,pa"
2019-01-01 05:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,19,19,19,3,78,88,0.0,1019,19,10,39,2,"universitypark,pa"
2019-01-01 06:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,19,19,19,3,86,88,0.0,1019,19,10,3,2,"universitypark,pa"
2019-01-01 07:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,20,20,20,3,80,81,0.0,1019,20,10,29,2,"universitypark,pa"
2019-01-01 08:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,22,22,22,4,74,75,0.0,1020,22,10,56,3,"universitypark,pa"
2019-01-01 09:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,17,24,24,23,4,69,68,0.0,1020,23,10,83,3,"universitypark,pa"
2019-01-01 10:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,16,25,25,25,5,58,61,0.0,1020,25,10,102,4,"universitypark,pa"
2019-01-01 11:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,16,27,27,26,6,47,54,0.0,1019,26,10,122,5,"universitypark,pa"
2019-01-01 12:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,28,28,28,7,36,48,0.0,1019,28,10,142,6,"universitypark,pa"
2019-01-01 13:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,28,28,28,7,33,46,0.0,1018,28,10,146,6,"universitypark,pa"
2019-01-01 14:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,29,29,28,7,31,44,0.0,1017,28,10,151,6,"universitypark,pa"
2019-01-01 15:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,14,29,29,29,8,29,42,0.0,1016,29,10,156,6,"universitypark,pa"
2019-01-01 16:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,29,29,28,7,26,46,0.0,1016,28,10,153,6,"universitypark,pa"
2019-01-01 17:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,29,29,28,6,22,50,0.0,1017,28,10,149,5,"universitypark,pa"
2019-01-01 18:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,29,29,27,6,19,55,0.0,1017,27,10,145,4,"universitypark,pa"
2019-01-01 19:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,29,29,26,5,19,58,0.0,1017,26,10,115,3,"universitypark,pa"
2019-01-01 20:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,28,28,25,5,19,62,0.0,1018,25,10,85,3,"universitypark,pa"
2019-01-01 21:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,27,27,24,5,19,66,0.0,1018,24,10,55,2,"universitypark,pa"
2019-01-01 22:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,25,25,23,5,21,68,0.0,1019,23,10,117,3,"universitypark,pa"
2019-01-01 23:00:00,29,19,0.0,7.2,6,26,02:33 AM,02:25 PM,06:56 AM,05:58 PM,15,22,23,22,5,24,70,0.0,1019,22,10,179,3,"universitypark,pa"
2019-01-02 00:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,21,22,21,6,26,72,0.0,1019,21,10,242,3,"universitypark,pa"
2019-01-02 01:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,20,21,20,6,23,74,0.0,1019,20,10,201,3,"universitypark,pa"
2019-01-02 02:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,20,20,20,6,21,76,0.0,1019,20,10,161,3,"universitypark,pa"
2019-01-02 03:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,19,19,19,6,18,78,0.0,1019,19,10,120,4,"universitypark,pa"
2019-01-02 04:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,19,19,19,6,21,79,0.0,1019,19,10,156,3,"universitypark,pa"
2019-01-02 05:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,18,18,18,6,23,81,0.0,1019,18,10,191,3,"universitypark,pa"
2019-01-02 06:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,18,18,18,5,26,82,0.0,1019,18,10,227,3,"universitypark,pa"
2019-01-02 07:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,20,20,20,5,24,76,0.0,1019,20,10,201,3,"universitypark,pa"
2019-01-02 08:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,16,21,22,21,4,22,71,0.0,1020,21,10,176,3,"universitypark,pa"
2019-01-02 09:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,16,24,24,23,4,19,65,0.0,1020,23,10,150,3,"universitypark,pa"
2019-01-02 10:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,16,25,25,25,4,29,59,0.0,1019,25,10,136,3,"universitypark,pa"
2019-01-02 11:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,27,27,26,5,39,53,0.0,1019,26,10,121,4,"universitypark,pa"
2019-01-02 12:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,28,28,28,6,49,47,0.0,1018,28,10,107,5,"universitypark,pa"
2019-01-02 13:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,28,28,28,7,50,46,0.0,1017,28,10,118,6,"universitypark,pa"
2019-01-02 14:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,28,28,28,8,52,44,0.0,1017,28,10,130,7,"universitypark,pa"
2019-01-02 15:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,28,28,28,8,53,43,0.0,1016,28,10,142,7,"universitypark,pa"
2019-01-02 16:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,27,27,27,7,42,47,0.0,1016,27,10,146,6,"universitypark,pa"
2019-01-02 17:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,26,26,25,6,31,51,0.0,1016,25,10,151,5,"universitypark,pa"
2019-01-02 18:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,26,26,24,4,20,55,0.0,1017,24,10,155,3,"universitypark,pa"
2019-01-02 19:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,24,24,23,4,15,59,0.0,1017,23,10,199,3,"universitypark,pa"
2019-01-02 20:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,23,23,22,5,11,62,0.0,1018,22,10,243,3,"universitypark,pa"
2019-01-02 21:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,15,21,22,21,5,7,66,0.0,1019,21,10,288,2,"universitypark,pa"
2019-01-02 22:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,21,21,21,5,7,68,0.0,1019,21,10,309,3,"universitypark,pa"
2019-01-02 23:00:00,29,18,0.0,8.7,6,19,03:28 AM,03:08 PM,06:56 AM,05:58 PM,14,20,20,20,6,8,70,0.0,1019,20,10,330,3,"universitypark,pa"
2019-01-03 00:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,20,20,20,6,9,73,0.0,1019,20,10,351,3,"universitypark,pa"
2019-01-03 01:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,19,19,19,6,9,74,0.0,1019,19,10,351,3,"universitypark,pa"
2019-01-03 02:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,19,19,19,6,10,76,0.0,1019,19,10,351,3,"universitypark,pa"
2019-01-03 03:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,18,18,18,6,11,77,0.0,1019,18,10,352,3,"universitypark,pa"
2019-01-03 04:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,18,18,18,6,13,78,0.0,1019,18,10,352,3,"universitypark,pa"
2019-01-03 05:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,18,18,18,6,15,79,0.0,1019,18,10,352,3,"universitypark,pa"
2019-01-03 06:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,18,18,18,5,17,80,0.0,1019,18,10,352,3,"universitypark,pa"
2019-01-03 07:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,19,19,19,5,16,74,0.0,1019,19,10,280,3,"universitypark,pa"
2019-01-03 08:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,15,21,21,21,4,15,68,0.0,1020,21,10,207,3,"universitypark,pa"
2019-01-03 09:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,15,23,23,23,4,14,62,0.0,1020,23,10,135,3,"universitypark,pa"
2019-01-03 10:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,15,25,25,24,4,12,56,0.0,1020,24,10,127,3,"universitypark,pa"
2019-01-03 11:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,27,27,26,4,11,50,0.0,1019,26,10,120,3,"universitypark,pa"
2019-01-03 12:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,28,28,28,5,9,43,0.0,1019,28,10,112,4,"universitypark,pa"
2019-01-03 13:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,28,28,28,5,10,42,0.0,1018,28,10,130,5,"universitypark,pa"
2019-01-03 14:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,28,28,29,6,11,41,0.0,1017,29,10,147,5,"universitypark,pa"
2019-01-03 15:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,29,29,29,6,12,39,0.0,1016,29,10,164,6,"universitypark,pa"
2019-01-03 16:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,29,29,28,5,11,44,0.0,1016,28,10,136,5,"universitypark,pa"
2019-01-03 17:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,29,29,28,4,11,48,0.0,1016,28,10,108,4,"universitypark,pa"
2019-01-03 18:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,30,30,27,3,10,53,0.0,1017,27,10,80,3,"universitypark,pa"
2019-01-03 19:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,29,29,26,4,9,57,0.0,1017,26,10,60,3,"universitypark,pa"
2019-01-03 20:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,14,28,28,25,4,9,61,0.0,1018,25,10,40,3,"universitypark,pa"
2019-01-03 21:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,15,28,28,24,5,8,65,0.0,1018,24,10,21,3,"universitypark,pa"
2019-01-03 22:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,15,26,26,23,5,7,67,0.0,1018,23,10,92,3,"universitypark,pa"
2019-01-03 23:00:00,30,17,0.0,8.7,7,11,04:21 AM,03:52 PM,06:57 AM,05:59 PM,15,22,24,22,5,7,69,0.0,1019,22,10,164,3,"universitypark,pa"
2019-01-04 00:00:00,31,18,0.0,11.4,7,4,05:14 AM,04:38 PM,06:57 AM,06:00 PM,15,21,22,21,6,6,71,0.0,1019,21,10,235,3,"universitypark,pa"
2019-01-04 01:00:00,31,18,0.0,11.4,7,4,05:14 AM,04:38 PM,06:57 AM,06:00 PM,14,20,21,20,6,7,72,0.0,1019,20,10,273,3,"universitypark,pa"
