date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,4,4,6,4,20,0,86,0.0,1018,5,10,309,7,"waco,tx"
2019-01-01 01:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,4,3,5,3,24,0,86,0.0,1019,5,10,319,9,"waco,tx"
2019-01-01 02:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,3,3,5,3,28,0,85,0.0,1020,4,10,329,11,"waco,tx"
2019-01-01 03:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,2,2,4,2,32,0,85,0.0,1020,4,10,339,14,"waco,tx"
2019-01-01 04:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,1,1,4,1,34,5,85,0.0,1021,3,10,343,16,"waco,tx"
2019-01-01 05:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,1,-1,3,-1,36,11,85,0.0,1022,2,10,346,18,"waco,tx"
2019-01-01 06:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,0,-2,3,-2,38,16,85,0.0,1022,2,10,350,20,"waco,tx"
2019-01-01 07:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,-0,-2,3,-2,37,34,82,0.0,1023,2,10,275,21,"waco,tx"
2019-01-01 08:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,-0,-2,3,-2,36,52,79,0.0,1024,2,10,200,21,"waco,tx"
2019-01-01 09:00:00,5,1,0.0,5.0,2,26,04:22 AM,03:37 PM,08:28 AM,06:36 PM,-1,-2,3,-2,36,70,76,0.0,1025,2,10,125,22,"waco,tx"
