date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,3,-5,-1,-5,49,100,94,2.7,1002,-4,7,168,24,"watertown,ny"
2019-01-01 01:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,4,-3,1,-3,49,100,94,1.4,1000,-1,7,177,26,"watertown,ny"
2019-01-01 02:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,4,-2,3,-2,49,100,94,1.6,999,1,7,186,27,"watertown,ny"
2019-01-01 03:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,4,-0,5,-0,49,100,94,2.2,998,4,7,195,28,"watertown,ny"
2019-01-01 04:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,4,-0,5,-0,47,100,94,1.1,998,4,7,214,28,"watertown,ny"
2019-01-01 05:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,4,-0,5,-0,44,100,93,1.9,998,4,7,233,27,"watertown,ny"
2019-01-01 06:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,4,-0,5,-0,41,100,93,2.5,998,4,7,252,27,"watertown,ny"
2019-01-01 07:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,3,-1,4,-1,39,100,93,1.2,1000,3,7,266,24,"watertown,ny"
2019-01-01 08:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,2,-2,3,-2,38,100,94,1.4,1002,2,7,281,21,"watertown,ny"
2019-01-01 09:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,2,-3,2,-3,36,100,95,1.9,1005,1,6,295,19,"watertown,ny"
2019-01-01 10:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,1,-3,2,-3,33,99,95,0.9,1006,1,6,301,17,"watertown,ny"
2019-01-01 11:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,1,-3,1,-3,31,99,95,0.1,1006,1,5,308,15,"watertown,ny"
2019-01-01 12:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,1,-3,1,-3,28,99,95,0.1,1007,1,4,314,14,"watertown,ny"
2019-01-01 13:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,1,-3,1,-3,27,99,93,0.0,1007,1,4,316,15,"watertown,ny"
2019-01-01 14:00:00,1,0,4.1,3.4,1,26,04:12 AM,02:49 PM,08:38 AM,05:36 PM,1,-2,2,-2,25,99,91,0.1,1008,1,3,319,16,"watertown,ny"
