date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,21,22,22,22,23,37,92,0.0,1021,21,10,141,9,"westpalmbeach,fl"
2019-01-01 01:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,22,22,22,23,46,92,0.0,1021,21,10,139,9,"westpalmbeach,fl"
2019-01-01 02:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,21,21,21,22,54,93,0.0,1020,21,10,137,9,"westpalmbeach,fl"
2019-01-01 03:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,21,21,21,22,63,93,0.0,1020,21,10,135,9,"westpalmbeach,fl"
2019-01-01 04:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,21,21,21,22,55,92,0.0,1020,21,10,136,9,"westpalmbeach,fl"
2019-01-01 05:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,22,22,22,22,47,90,0.0,1021,21,10,137,8,"westpalmbeach,fl"
2019-01-01 06:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,22,22,22,21,39,88,0.0,1021,21,10,138,8,"westpalmbeach,fl"
2019-01-01 07:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,22,22,22,21,55,86,0.0,1020,21,10,139,9,"westpalmbeach,fl"
2019-01-01 08:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,22,22,22,21,71,84,0.0,1020,22,10,140,10,"westpalmbeach,fl"
2019-01-01 09:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,23,23,23,20,87,82,0.0,1020,22,10,141,10,"westpalmbeach,fl"
2019-01-01 10:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,24,24,24,21,85,77,0.0,1020,23,10,139,12,"westpalmbeach,fl"
2019-01-01 11:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,25,25,25,22,83,72,0.1,1020,24,10,138,15,"westpalmbeach,fl"
2019-01-01 12:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,26,26,26,23,81,67,0.1,1020,26,10,137,17,"westpalmbeach,fl"
2019-01-01 13:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,19,26,26,26,24,78,67,0.0,1019,26,9,136,17,"westpalmbeach,fl"
2019-01-01 14:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,19,26,26,26,24,74,67,0.1,1019,26,9,135,17,"westpalmbeach,fl"
2019-01-01 15:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,19,26,26,26,25,70,67,0.1,1019,26,9,133,17,"westpalmbeach,fl"
2019-01-01 16:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,19,26,26,26,25,71,70,0.1,1019,25,9,130,15,"westpalmbeach,fl"
2019-01-01 17:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,19,25,25,25,24,72,73,0.1,1019,24,9,126,14,"westpalmbeach,fl"
2019-01-01 18:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,19,24,24,24,24,73,76,0.2,1019,24,9,122,13,"westpalmbeach,fl"
2019-01-01 19:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,24,24,24,23,74,79,0.1,1019,23,9,118,12,"westpalmbeach,fl"
2019-01-01 20:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,23,23,23,23,75,82,0.2,1019,22,9,114,10,"westpalmbeach,fl"
2019-01-01 21:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,23,23,23,23,76,86,0.2,1019,22,9,110,9,"westpalmbeach,fl"
2019-01-01 22:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,20,22,22,22,23,68,87,0.1,1020,22,9,108,9,"westpalmbeach,fl"
2019-01-01 23:00:00,26,20,0.0,5.2,5,26,04:06 AM,03:34 PM,08:09 AM,06:39 PM,21,22,22,22,23,60,89,0.0,1020,21,9,107,9,"westpalmbeach,fl"
2019-01-02 00:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,21,22,22,22,23,52,90,0.0,1021,21,9,105,9,"westpalmbeach,fl"
2019-01-02 01:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,21,21,21,24,37,90,0.0,1020,21,10,106,9,"westpalmbeach,fl"
2019-01-02 02:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,21,21,21,26,22,90,0.0,1020,20,10,108,9,"westpalmbeach,fl"
2019-01-02 03:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,21,21,21,27,7,90,0.0,1019,20,10,109,8,"westpalmbeach,fl"
2019-01-02 04:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,21,22,21,27,5,87,0.0,1020,21,10,114,10,"westpalmbeach,fl"
2019-01-02 05:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,22,22,22,28,2,85,0.0,1021,21,10,118,11,"westpalmbeach,fl"
2019-01-02 06:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,22,23,22,28,0,82,0.0,1021,21,10,123,12,"westpalmbeach,fl"
2019-01-02 07:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,24,24,23,27,0,80,0.0,1021,22,10,124,14,"westpalmbeach,fl"
2019-01-02 08:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,25,25,24,26,0,78,0.0,1021,23,10,125,15,"westpalmbeach,fl"
2019-01-02 09:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,24,26,0,76,0.0,1021,24,10,127,16,"westpalmbeach,fl"
2019-01-02 10:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,25,24,1,74,0.0,1020,25,10,125,15,"westpalmbeach,fl"
2019-01-02 11:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,26,23,2,72,0.0,1019,25,10,123,14,"westpalmbeach,fl"
2019-01-02 12:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,26,22,3,70,0.0,1019,26,10,121,13,"westpalmbeach,fl"
2019-01-02 13:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,26,22,6,70,0.0,1018,26,10,121,14,"westpalmbeach,fl"
2019-01-02 14:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,26,22,10,70,0.0,1018,26,10,120,14,"westpalmbeach,fl"
2019-01-02 15:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,26,22,13,70,0.0,1018,26,10,120,15,"westpalmbeach,fl"
2019-01-02 16:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,26,26,26,22,15,73,0.0,1018,25,10,119,15,"westpalmbeach,fl"
2019-01-02 17:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,25,25,25,22,17,75,0.0,1018,24,10,118,15,"westpalmbeach,fl"
2019-01-02 18:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,20,24,24,24,22,20,78,0.0,1019,23,10,117,15,"westpalmbeach,fl"
2019-01-02 19:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,23,23,23,23,18,80,0.0,1019,22,10,117,14,"westpalmbeach,fl"
2019-01-02 20:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,22,22,22,24,16,83,0.0,1019,22,10,116,13,"westpalmbeach,fl"
2019-01-02 21:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,22,22,22,25,14,85,0.0,1019,21,10,115,13,"westpalmbeach,fl"
2019-01-02 22:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,21,21,21,27,13,87,0.0,1019,21,10,119,12,"westpalmbeach,fl"
2019-01-02 23:00:00,26,24,0.0,10.3,6,19,05:02 AM,04:14 PM,08:09 AM,06:40 PM,19,21,21,21,28,12,88,0.0,1018,20,10,122,11,"westpalmbeach,fl"
2019-01-03 00:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,19,21,21,21,29,11,90,0.0,1018,20,10,125,10,"westpalmbeach,fl"
2019-01-03 01:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,21,21,21,30,22,90,0.0,1018,20,10,130,10,"westpalmbeach,fl"
2019-01-03 02:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,21,21,21,31,33,90,0.0,1017,20,10,134,9,"westpalmbeach,fl"
2019-01-03 03:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,21,21,21,32,44,90,0.0,1017,21,10,139,8,"westpalmbeach,fl"
2019-01-03 04:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,21,21,21,31,55,90,0.0,1017,21,9,143,8,"westpalmbeach,fl"
2019-01-03 05:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,21,22,22,22,30,65,90,0.1,1018,21,9,148,8,"westpalmbeach,fl"
2019-01-03 06:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,21,22,22,22,29,76,90,0.1,1018,21,9,152,8,"westpalmbeach,fl"
2019-01-03 07:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,22,22,22,27,78,88,0.1,1017,21,9,156,10,"westpalmbeach,fl"
2019-01-03 08:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,23,23,23,25,81,86,0.2,1017,22,9,159,11,"westpalmbeach,fl"
2019-01-03 09:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,23,23,23,23,83,84,0.2,1017,22,9,163,12,"westpalmbeach,fl"
2019-01-03 10:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,24,24,24,23,82,79,0.1,1017,23,9,161,14,"westpalmbeach,fl"
2019-01-03 11:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,25,25,25,23,81,74,0.1,1017,25,9,159,15,"westpalmbeach,fl"
2019-01-03 12:00:00,26,20,0.0,5.2,6,11,05:58 AM,04:58 PM,08:09 AM,06:41 PM,20,27,27,27,22,79,69,0.2,1017,26,9,157,17,"westpalmbeach,fl"
