date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-10,-4,-10,31,100,90,0.2,1010,-4,4,275,20,"akron,oh"
2020-01-01 01:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-10,-4,-10,31,99,90,0.1,1010,-4,4,272,20,"akron,oh"
2020-01-01 02:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-10,-4,-10,31,98,90,0.1,1010,-4,3,269,20,"akron,oh"
2020-01-01 03:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-10,-4,-10,31,97,90,0.2,1010,-4,3,266,21,"akron,oh"
2020-01-01 04:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-10,-4,-10,31,96,90,0.1,1010,-4,4,264,20,"akron,oh"
2020-01-01 05:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-10,-4,-10,31,95,89,0.0,1011,-4,5,262,20,"akron,oh"
2020-01-01 06:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-6,-10,-4,-10,31,94,89,0.0,1011,-4,6,260,20,"akron,oh"
2020-01-01 07:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-6,-10,-4,-10,30,96,89,0.0,1011,-4,6,259,20,"akron,oh"
2020-01-01 08:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-6,-10,-4,-10,29,98,89,0.1,1011,-4,7,258,20,"akron,oh"
2020-01-01 09:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-6,-10,-4,-10,29,100,89,0.1,1012,-4,8,258,19,"akron,oh"
2020-01-01 10:00:00,1,-5,0.9,8.2,1,37,12:56 PM,No moonset,08:51 AM,06:08 PM,-5,-9,-3,-9,28,96,87,0.0,1012,-3,9,257,20,"akron,oh"
