date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-13,-16,-11,-16,25,46,87,0.0,1005,-12,10,198,13,"bemidji,mn"
2020-01-01 01:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-12,-16,-11,-16,25,44,87,0.0,1004,-11,10,199,13,"bemidji,mn"
2020-01-01 02:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-12,-16,-10,-16,26,43,87,0.0,1003,-10,10,200,14,"bemidji,mn"
2020-01-01 03:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-11,-16,-10,-16,26,41,88,0.0,1001,-10,10,201,14,"bemidji,mn"
2020-01-01 04:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-11,-16,-9,-16,25,36,88,0.0,1000,-9,10,202,14,"bemidji,mn"
2020-01-01 05:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-11,-15,-9,-15,25,30,88,0.0,999,-9,10,203,14,"bemidji,mn"
2020-01-01 06:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-11,-15,-9,-15,24,25,88,0.0,998,-9,10,204,13,"bemidji,mn"
2020-01-01 07:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-10,-14,-8,-14,23,41,88,0.0,997,-8,10,203,13,"bemidji,mn"
2020-01-01 08:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-10,-14,-8,-14,21,58,89,0.0,996,-8,10,202,13,"bemidji,mn"
2020-01-01 09:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-9,-13,-8,-13,20,74,89,0.0,996,-8,10,201,12,"bemidji,mn"
2020-01-01 10:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-8,-12,-7,-12,19,82,91,0.0,995,-7,8,200,12,"bemidji,mn"
2020-01-01 11:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-7,-11,-6,-11,18,91,92,0.3,994,-6,6,198,12,"bemidji,mn"
2020-01-01 12:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-6,-10,-5,-10,17,100,94,0.4,993,-5,5,197,13,"bemidji,mn"
2020-01-01 13:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-5,-9,-4,-9,17,100,95,0.2,992,-4,4,197,13,"bemidji,mn"
2020-01-01 14:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-4,-8,-3,-8,17,100,95,0.5,992,-3,3,197,13,"bemidji,mn"
2020-01-01 15:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-3,-7,-3,-7,17,100,96,0.7,991,-3,2,198,13,"bemidji,mn"
2020-01-01 16:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-3,-7,-3,-7,18,100,96,0.3,990,-3,2,199,13,"bemidji,mn"
2020-01-01 17:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-2,-7,-3,-7,18,100,97,0.6,990,-4,2,201,13,"bemidji,mn"
2020-01-01 18:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-2,-6,-3,-6,18,100,97,0.8,989,-5,2,202,13,"bemidji,mn"
2020-01-01 19:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-2,-7,-4,-7,18,90,96,0.4,990,-6,4,197,12,"bemidji,mn"
2020-01-01 20:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-3,-8,-5,-8,17,79,96,0.2,990,-8,6,192,11,"bemidji,mn"
2020-01-01 21:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-4,-9,-7,-9,17,69,95,0.3,990,-9,7,187,10,"bemidji,mn"
2020-01-01 22:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-4,-9,-6,-9,15,74,95,0.2,991,-8,6,190,9,"bemidji,mn"
2020-01-01 23:00:00,-2,-11,3.5,2.1,2,37,12:56 PM,No moonset,09:07 AM,05:39 PM,-5,-8,-6,-8,14,79,96,0.1,991,-7,6,193,8,"bemidji,mn"
2020-01-02 00:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-5,-8,-6,-8,12,84,96,0.1,991,-6,5,196,7,"bemidji,mn"
2020-01-02 01:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-4,-7,-5,-7,11,90,97,0.1,991,-5,4,210,6,"bemidji,mn"
2020-01-02 02:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-4,-6,-4,-6,10,95,97,0.3,991,-4,3,224,6,"bemidji,mn"
2020-01-02 03:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-4,-5,-3,-5,9,100,98,0.4,992,-3,2,238,5,"bemidji,mn"
2020-01-02 04:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-3,-5,-3,-5,10,100,97,0.2,992,-3,2,254,6,"bemidji,mn"
2020-01-02 05:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-3,-5,-3,-5,12,100,97,0.4,993,-3,2,270,7,"bemidji,mn"
2020-01-02 06:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-3,-5,-2,-5,14,100,97,0.5,994,-2,2,285,9,"bemidji,mn"
2020-01-02 07:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-3,-7,-3,-7,16,94,96,0.3,995,-3,4,291,11,"bemidji,mn"
2020-01-02 08:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-4,-8,-3,-8,18,87,95,0.1,996,-3,6,296,12,"bemidji,mn"
2020-01-02 09:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-5,-9,-4,-9,21,81,94,0.2,997,-4,7,302,14,"bemidji,mn"
2020-01-02 10:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-5,-9,-4,-9,20,79,92,0.1,998,-4,8,302,15,"bemidji,mn"
2020-01-02 11:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-4,-10,20,78,91,0.0,998,-4,9,302,15,"bemidji,mn"
2020-01-02 12:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-5,-10,20,77,90,0.0,999,-5,10,302,15,"bemidji,mn"
2020-01-02 13:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-4,-10,20,81,89,0.0,1000,-4,10,300,15,"bemidji,mn"
2020-01-02 14:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-4,-10,20,85,89,0.0,1000,-4,10,298,15,"bemidji,mn"
2020-01-02 15:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-4,-10,20,89,89,0.0,1001,-4,10,297,15,"bemidji,mn"
2020-01-02 16:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-5,-10,19,90,90,0.0,1002,-5,9,298,14,"bemidji,mn"
2020-01-02 17:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-5,-10,18,90,92,0.0,1003,-5,8,299,12,"bemidji,mn"
2020-01-02 18:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-6,-10,-5,-10,16,90,93,0.0,1003,-5,7,300,10,"bemidji,mn"
2020-01-02 19:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-7,-10,-6,-10,16,88,94,0.0,1004,-6,7,300,10,"bemidji,mn"
2020-01-02 20:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-7,-11,-7,-11,16,87,95,0.0,1005,-7,8,300,9,"bemidji,mn"
2020-01-02 21:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-8,-11,-7,-11,16,85,96,0.0,1006,-7,8,299,9,"bemidji,mn"
2020-01-02 22:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-9,-13,-8,-13,15,84,96,0.0,1006,-8,9,303,8,"bemidji,mn"
2020-01-02 23:00:00,-2,-8,2.3,2.1,1,44,01:16 PM,12:24 AM,09:07 AM,05:40 PM,-10,-14,-10,-14,14,84,96,0.0,1007,-10,9,306,7,"bemidji,mn"
2020-01-03 00:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-12,-15,-11,-15,14,83,96,0.0,1008,-11,10,309,7,"bemidji,mn"
2020-01-03 01:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-12,-16,-12,-16,13,71,96,0.0,1009,-12,8,307,6,"bemidji,mn"
2020-01-03 02:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-13,-16,-13,-16,12,59,96,0.0,1009,-13,6,305,6,"bemidji,mn"
2020-01-03 03:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-14,-17,-14,-17,10,47,95,0.0,1010,-14,5,302,5,"bemidji,mn"
2020-01-03 04:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-15,-17,-14,-17,10,39,95,0.0,1011,-14,6,236,5,"bemidji,mn"
2020-01-03 05:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-15,-17,-14,-17,9,31,94,0.0,1011,-14,6,169,5,"bemidji,mn"
2020-01-03 06:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-15,-17,-15,-17,9,23,94,0.0,1012,-15,7,103,4,"bemidji,mn"
2020-01-03 07:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-15,-17,-14,-17,8,40,93,0.0,1012,-14,8,135,4,"bemidji,mn"
2020-01-03 08:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-15,-16,-14,-16,8,57,93,0.0,1012,-14,9,168,4,"bemidji,mn"
2020-01-03 09:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-14,-16,-13,-16,7,74,92,0.0,1012,-13,10,201,4,"bemidji,mn"
2020-01-03 10:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-13,-14,-12,-14,7,82,91,0.0,1013,-12,10,243,4,"bemidji,mn"
2020-01-03 11:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-12,-13,-10,-13,6,91,90,0.0,1013,-10,10,285,4,"bemidji,mn"
2020-01-03 12:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-11,-11,-9,-11,6,100,88,0.0,1013,-9,10,328,4,"bemidji,mn"
2020-01-03 13:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-10,-10,-8,-10,6,99,88,0.0,1013,-8,10,333,4,"bemidji,mn"
2020-01-03 14:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-9,-9,-7,-9,6,98,88,0.0,1013,-7,10,338,4,"bemidji,mn"
2020-01-03 15:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-8,-9,-6,-9,6,96,89,0.0,1013,-6,10,343,4,"bemidji,mn"
2020-01-03 16:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-8,-10,-7,-10,8,96,90,0.0,1014,-7,8,338,5,"bemidji,mn"
2020-01-03 17:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-9,-11,-8,-11,10,96,92,0.0,1015,-8,6,334,6,"bemidji,mn"
2020-01-03 18:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-9,-12,-8,-12,13,96,94,0.0,1015,-8,5,330,6,"bemidji,mn"
2020-01-03 19:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-10,-13,-9,-13,13,93,95,0.0,1016,-9,6,321,6,"bemidji,mn"
2020-01-03 20:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-10,-13,-9,-13,14,90,96,0.0,1017,-9,6,312,6,"bemidji,mn"
2020-01-03 21:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-10,-14,-10,-14,14,87,97,0.0,1018,-10,7,303,6,"bemidji,mn"
2020-01-03 22:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-10,-14,-10,-14,14,89,97,0.0,1018,-10,8,297,7,"bemidji,mn"
2020-01-03 23:00:00,-6,-15,0.1,2.1,1,51,01:36 PM,01:27 AM,09:07 AM,05:41 PM,-10,-14,-10,-14,14,92,97,0.0,1019,-10,9,291,7,"bemidji,mn"
2020-01-04 00:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-11,-14,-10,-14,14,94,97,0.0,1019,-10,10,285,7,"bemidji,mn"
2020-01-04 01:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-10,-13,-9,-13,14,96,97,0.0,1019,-9,10,286,7,"bemidji,mn"
2020-01-04 02:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-9,-13,-9,-13,13,98,96,0.0,1020,-9,10,287,7,"bemidji,mn"
2020-01-04 03:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-9,-12,-8,-12,12,100,96,0.0,1020,-8,10,288,7,"bemidji,mn"
2020-01-04 04:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-9,-12,-8,-12,12,100,96,0.0,1020,-8,8,282,7,"bemidji,mn"
2020-01-04 05:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-9,-13,-9,-13,13,100,96,0.0,1020,-9,6,276,8,"bemidji,mn"
2020-01-04 06:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-9,-13,-9,-13,13,100,96,0.0,1020,-9,5,271,8,"bemidji,mn"
2020-01-04 07:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-10,-14,-10,-14,14,92,96,0.0,1020,-10,4,265,8,"bemidji,mn"
2020-01-04 08:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-11,-15,-11,-15,14,83,96,0.0,1019,-11,3,260,8,"bemidji,mn"
2020-01-04 09:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-12,-16,-12,-16,15,75,96,0.0,1019,-12,2,254,8,"bemidji,mn"
2020-01-04 10:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-12,-15,-11,-15,14,74,95,0.0,1019,-11,4,241,7,"bemidji,mn"
2020-01-04 11:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-11,-14,-10,-14,12,73,95,0.0,1018,-10,6,228,7,"bemidji,mn"
2020-01-04 12:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-10,-13,-9,-13,11,72,94,0.0,1018,-9,7,214,7,"bemidji,mn"
2020-01-04 13:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-9,-13,-8,-13,11,72,94,0.0,1017,-8,8,205,8,"bemidji,mn"
2020-01-04 14:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-12,-8,-12,12,71,94,0.0,1016,-8,9,197,8,"bemidji,mn"
2020-01-04 15:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-11,-7,-11,12,70,93,0.0,1015,-7,10,188,9,"bemidji,mn"
2020-01-04 16:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-11,-7,-11,14,74,93,0.0,1014,-7,10,184,10,"bemidji,mn"
2020-01-04 17:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-12,-7,-12,16,79,94,0.0,1013,-7,10,181,11,"bemidji,mn"
2020-01-04 18:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-13,-7,-13,19,83,94,0.0,1013,-7,10,177,12,"bemidji,mn"
2020-01-04 19:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-12,-8,-12,21,86,93,0.0,1012,-8,10,174,13,"bemidji,mn"
2020-01-04 20:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-12,-8,-12,23,90,93,0.0,1012,-9,10,171,15,"bemidji,mn"
2020-01-04 21:00:00,-6,-13,0.2,2.1,1,59,01:56 PM,02:30 AM,09:07 AM,05:42 PM,-8,-12,-9,-12,25,93,93,0.0,1011,-10,10,168,16,"bemidji,mn"
