date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,0,-1,3,-1,26,31,82,0.0,1001,3,10,262,17,"boston,ma"
2020-01-01 01:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-1,-2,3,-2,27,31,79,0.0,1001,3,10,265,18,"boston,ma"
2020-01-01 02:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-2,-2,2,-2,29,30,76,0.0,1001,2,10,268,20,"boston,ma"
2020-01-01 03:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-2,-3,2,-3,30,29,73,0.0,1001,2,10,272,21,"boston,ma"
2020-01-01 04:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-3,-3,2,-3,30,23,69,0.0,1001,2,10,269,21,"boston,ma"
2020-01-01 05:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-4,-4,1,-4,29,18,66,0.0,1001,1,10,267,20,"boston,ma"
2020-01-01 06:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-6,-4,1,-4,28,12,62,0.0,1001,1,10,264,20,"boston,ma"
2020-01-01 07:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-4,1,-4,28,11,64,0.0,1001,1,10,261,20,"boston,ma"
2020-01-01 08:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-4,1,-4,27,9,65,0.0,1002,1,10,259,19,"boston,ma"
2020-01-01 09:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-4,1,-4,26,8,66,0.0,1002,1,10,256,19,"boston,ma"
2020-01-01 10:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-3,1,-3,27,9,63,0.0,1002,1,10,260,20,"boston,ma"
2020-01-01 11:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-3,2,-3,27,9,60,0.0,1002,2,10,264,21,"boston,ma"
2020-01-01 12:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-2,2,-2,27,10,57,0.0,1002,2,10,268,22,"boston,ma"
2020-01-01 13:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-2,3,-2,28,12,56,0.0,1002,3,10,270,22,"boston,ma"
2020-01-01 14:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-2,3,-2,28,14,55,0.0,1002,3,10,272,22,"boston,ma"
2020-01-01 15:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-1,4,-1,29,16,54,0.0,1002,4,10,275,23,"boston,ma"
2020-01-01 16:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-2,3,-2,29,15,55,0.0,1003,3,10,275,22,"boston,ma"
2020-01-01 17:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-2,3,-2,30,14,57,0.0,1003,3,10,276,22,"boston,ma"
2020-01-01 18:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-2,3,-2,30,13,59,0.0,1004,3,10,276,22,"boston,ma"
2020-01-01 19:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-3,2,-3,31,12,60,0.0,1005,2,10,276,22,"boston,ma"
2020-01-01 20:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-3,2,-3,32,12,61,0.0,1006,2,10,276,22,"boston,ma"
2020-01-01 21:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-4,2,-4,33,12,63,0.0,1006,2,10,275,23,"boston,ma"
2020-01-01 22:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-4,1,-4,33,11,63,0.0,1007,1,10,275,23,"boston,ma"
2020-01-01 23:00:00,4,1,0.0,8.7,2,37,12:14 PM,11:49 PM,08:13 AM,05:22 PM,-5,-4,1,-4,33,11,63,0.0,1008,1,10,276,23,"boston,ma"
