date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-7,-7,-4,-7,14,84,79,0.1,1010,-4,7,156,7,"bozeman,mt"
2020-01-01 01:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-8,-8,-5,-8,15,65,79,0.0,1009,-5,8,151,7,"bozeman,mt"
2020-01-01 02:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-8,-9,-5,-9,17,45,79,0.0,1008,-5,9,146,8,"bozeman,mt"
2020-01-01 03:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-9,-10,-6,-10,18,26,79,0.0,1007,-6,10,141,9,"bozeman,mt"
2020-01-01 04:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-9,-10,-6,-10,15,48,79,0.0,1007,-6,10,139,7,"bozeman,mt"
2020-01-01 05:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-9,-9,-6,-9,13,71,79,0.0,1006,-6,10,136,6,"bozeman,mt"
2020-01-01 06:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-10,-9,-7,-9,10,94,79,0.0,1005,-7,10,134,5,"bozeman,mt"
2020-01-01 07:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-9,-8,-6,-8,8,96,82,0.0,1004,-6,7,203,4,"bozeman,mt"
2020-01-01 08:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-7,-6,-5,-6,6,98,86,0.2,1003,-5,5,272,3,"bozeman,mt"
2020-01-01 09:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-6,-5,-5,-5,4,100,89,0.2,1003,-5,2,341,2,"bozeman,mt"
2020-01-01 10:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-6,-5,-4,-5,9,100,88,0.1,1002,-4,2,327,5,"bozeman,mt"
2020-01-01 11:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-5,-3,-5,14,100,86,0.2,1001,-3,2,313,8,"bozeman,mt"
2020-01-01 12:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-4,-6,-2,-6,19,100,85,0.3,1000,-2,2,298,11,"bozeman,mt"
2020-01-01 13:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-4,-6,-2,-6,23,92,86,0.1,999,-2,3,286,14,"bozeman,mt"
2020-01-01 14:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-3,-6,-1,-6,28,85,87,0.2,998,-1,4,273,17,"bozeman,mt"
2020-01-01 15:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-3,-7,-1,-7,32,77,88,0.2,997,-1,5,260,20,"bozeman,mt"
2020-01-01 16:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-4,-7,-2,-7,37,68,86,0.1,998,-2,5,264,21,"bozeman,mt"
2020-01-01 17:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-8,-2,-8,41,59,84,0.4,999,-2,5,267,21,"bozeman,mt"
2020-01-01 18:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-9,-3,-9,46,50,82,0.5,1000,-3,5,271,22,"bozeman,mt"
2020-01-01 19:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-9,-3,-9,41,67,84,0.2,1001,-3,4,265,20,"bozeman,mt"
2020-01-01 20:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-9,-3,-9,35,83,85,0.2,1003,-3,3,260,19,"bozeman,mt"
2020-01-01 21:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-9,-3,-9,30,100,87,0.3,1004,-3,2,255,17,"bozeman,mt"
2020-01-01 22:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-9,-3,-9,29,98,87,0.1,1005,-3,2,257,16,"bozeman,mt"
2020-01-01 23:00:00,-1,-7,2.9,2.1,1,37,01:00 PM,No moonset,09:05 AM,05:51 PM,-5,-9,-4,-9,27,96,87,0.7,1006,-4,2,259,15,"bozeman,mt"
2020-01-02 00:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-5,-9,-4,-9,26,93,87,0.9,1007,-4,2,261,14,"bozeman,mt"
2020-01-02 01:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-6,-9,-4,-9,24,89,86,0.5,1008,-4,5,267,12,"bozeman,mt"
2020-01-02 02:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-7,-9,-5,-9,21,84,84,0.0,1008,-5,7,273,11,"bozeman,mt"
2020-01-02 03:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-8,-10,-6,-10,19,80,83,0.0,1009,-6,10,278,9,"bozeman,mt"
2020-01-02 04:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-9,-10,-6,-10,16,77,82,0.0,1010,-6,10,271,8,"bozeman,mt"
2020-01-02 05:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-9,-9,-6,-9,14,75,82,0.0,1011,-6,10,265,7,"bozeman,mt"
2020-01-02 06:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-9,-9,-7,-9,11,72,81,0.0,1012,-7,10,258,5,"bozeman,mt"
2020-01-02 07:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-10,-11,-7,-11,20,56,79,0.0,1012,-7,10,254,9,"bozeman,mt"
2020-01-02 08:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-10,-12,-6,-12,28,39,77,0.0,1012,-6,10,250,14,"bozeman,mt"
2020-01-02 09:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-10,-13,-6,-13,37,23,76,0.0,1012,-6,10,246,18,"bozeman,mt"
2020-01-02 10:00:00,-4,-8,2.6,2.1,1,44,01:21 PM,12:33 AM,09:05 AM,05:52 PM,-9,-12,-6,-12,36,40,77,0.0,1012,-6,9,253,19,"bozeman,mt"
