date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-15,-19,-13,-19,23,26,86,0.0,1007,-13,10,204,11,"brainerd,mn"
2020-01-01 01:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-14,-18,-12,-18,24,34,86,0.0,1005,-12,10,202,12,"brainerd,mn"
2020-01-01 02:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-13,-18,-11,-18,26,42,87,0.0,1004,-11,10,200,13,"brainerd,mn"
2020-01-01 03:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-12,-17,-11,-17,27,50,88,0.0,1003,-11,10,198,14,"brainerd,mn"
2020-01-01 04:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-12,-17,-10,-17,28,46,88,0.0,1002,-10,10,198,14,"brainerd,mn"
2020-01-01 05:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-11,-16,-10,-16,29,42,88,0.0,1001,-10,10,198,14,"brainerd,mn"
2020-01-01 06:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-11,-16,-10,-16,29,38,88,0.0,1000,-10,10,199,15,"brainerd,mn"
2020-01-01 07:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-11,-16,-9,-16,28,50,89,0.0,999,-9,10,197,15,"brainerd,mn"
2020-01-01 08:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-10,-15,-9,-15,26,63,89,0.0,998,-9,10,196,14,"brainerd,mn"
2020-01-01 09:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-10,-14,-8,-14,25,75,90,0.0,997,-8,10,195,14,"brainerd,mn"
2020-01-01 10:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-8,-13,-7,-13,23,84,91,0.0,996,-7,10,195,14,"brainerd,mn"
2020-01-01 11:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-7,-12,-6,-12,21,92,92,0.0,995,-6,10,194,14,"brainerd,mn"
2020-01-01 12:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-6,-11,-5,-11,19,100,94,0.0,995,-5,10,194,14,"brainerd,mn"
2020-01-01 13:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-5,-10,-5,-10,20,100,94,0.0,994,-5,8,196,14,"brainerd,mn"
2020-01-01 14:00:00,-3,-12,0.4,3.2,2,37,12:52 PM,No moonset,09:00 AM,05:41 PM,-5,-9,-4,-9,20,100,95,0.3,993,-4,6,197,15,"brainerd,mn"
