date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-3,-6,-3,-6,18,78,89,1.1,999,-5,5,222,11,"burlington,vt"
2020-01-01 01:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-4,-7,-3,-7,20,75,86,0.5,999,-4,6,215,12,"burlington,vt"
2020-01-01 02:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-5,-8,-3,-8,21,72,83,0.4,999,-4,6,208,12,"burlington,vt"
2020-01-01 03:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-6,-8,-4,-8,23,69,80,0.5,999,-4,7,201,13,"burlington,vt"
2020-01-01 04:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-7,-9,-4,-9,23,58,82,0.2,999,-4,8,203,13,"burlington,vt"
2020-01-01 05:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-7,-9,-4,-9,24,48,84,0.0,999,-4,9,206,13,"burlington,vt"
2020-01-01 06:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-7,-10,-5,-10,24,37,86,0.0,999,-5,10,208,13,"burlington,vt"
2020-01-01 07:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-6,-9,-4,-9,22,38,85,0.0,999,-4,10,212,12,"burlington,vt"
2020-01-01 08:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-6,-8,-4,-8,19,38,84,0.0,999,-4,10,216,10,"burlington,vt"
2020-01-01 09:00:00,2,-5,1.8,5.1,1,37,12:25 PM,11:56 PM,08:29 AM,05:24 PM,-6,-7,-3,-7,17,38,84,0.0,1000,-3,10,220,9,"burlington,vt"
