date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-15,-21,-12,-21,51,10,77,0.0,1013,-12,10,198,24,"casper,wy"
2020-01-01 01:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-14,-20,-11,-20,52,34,78,0.0,1012,-11,10,199,25,"casper,wy"
2020-01-01 02:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-14,-20,-11,-20,52,57,79,0.0,1011,-11,10,201,25,"casper,wy"
2020-01-01 03:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-13,-19,-10,-19,52,80,79,0.0,1009,-10,10,202,25,"casper,wy"
2020-01-01 04:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-11,-16,-8,-16,46,78,80,0.0,1008,-8,8,201,26,"casper,wy"
2020-01-01 05:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-8,-13,-6,-13,40,76,81,0.1,1007,-6,7,200,28,"casper,wy"
2020-01-01 06:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-6,-10,-3,-10,33,74,82,0.1,1006,-3,5,200,29,"casper,wy"
2020-01-01 07:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-6,-10,-3,-10,32,83,82,0.1,1005,-3,7,199,28,"casper,wy"
2020-01-01 08:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-6,-10,-3,-10,31,91,82,0.0,1004,-3,8,199,27,"casper,wy"
2020-01-01 09:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-6,-10,-3,-10,29,100,82,0.0,1003,-3,10,199,25,"casper,wy"
2020-01-01 10:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-5,-9,-2,-9,28,72,82,0.0,1003,-2,10,199,24,"casper,wy"
2020-01-01 11:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-4,-7,-1,-7,27,45,82,0.0,1002,-1,10,200,24,"casper,wy"
2020-01-01 12:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-3,-6,-1,-6,27,17,82,0.0,1002,-1,10,201,23,"casper,wy"
2020-01-01 13:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-2,-5,0,-5,28,45,82,0.0,1001,0,10,208,25,"casper,wy"
2020-01-01 14:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-1,-4,1,-4,30,72,82,0.0,999,1,10,215,26,"casper,wy"
2020-01-01 15:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-1,-4,2,-4,32,100,83,0.0,998,2,10,222,28,"casper,wy"
2020-01-01 16:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-1,-4,2,-4,30,83,82,0.0,998,2,10,222,26,"casper,wy"
2020-01-01 17:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-2,-4,1,-4,28,65,81,0.0,998,1,10,222,24,"casper,wy"
2020-01-01 18:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-2,-5,1,-5,26,48,80,0.0,999,1,10,222,22,"casper,wy"
2020-01-01 19:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-4,-4,1,-4,27,65,82,0.0,999,-0,9,217,19,"casper,wy"
2020-01-01 20:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-6,-3,1,-3,27,83,83,0.0,999,-1,8,212,16,"casper,wy"
2020-01-01 21:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-8,-2,2,-2,27,100,85,0.0,1000,-2,7,208,13,"casper,wy"
2020-01-01 22:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-8,-5,-1,-5,28,96,85,0.0,1001,-4,7,212,13,"casper,wy"
2020-01-01 23:00:00,2,-12,0.3,5.2,2,37,12:38 PM,No moonset,08:36 AM,05:42 PM,-8,-9,-4,-9,28,93,85,0.1,1002,-5,7,216,13,"casper,wy"
2020-01-02 00:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-8,-12,-6,-12,28,89,86,0.1,1003,-6,7,221,13,"casper,wy"
2020-01-02 01:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-9,-13,-7,-13,28,68,85,0.0,1004,-7,8,219,13,"casper,wy"
2020-01-02 02:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-10,-14,-8,-14,28,48,84,0.0,1005,-8,9,217,13,"casper,wy"
2020-01-02 03:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-11,-15,-9,-15,28,27,84,0.0,1006,-9,10,215,13,"casper,wy"
2020-01-02 04:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-10,-13,-7,-13,26,45,82,0.0,1007,-7,10,213,14,"casper,wy"
2020-01-02 05:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-9,-11,-6,-11,23,63,80,0.0,1008,-6,10,212,14,"casper,wy"
2020-01-02 06:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-7,-10,-4,-10,21,81,79,0.0,1009,-4,10,210,14,"casper,wy"
2020-01-02 07:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-8,-10,-5,-10,21,60,79,0.0,1010,-5,10,210,14,"casper,wy"
2020-01-02 08:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-8,-10,-5,-10,21,39,78,0.0,1011,-5,10,210,14,"casper,wy"
2020-01-02 09:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-9,-11,-5,-11,21,18,78,0.0,1012,-5,10,210,13,"casper,wy"
2020-01-02 10:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-7,-9,-4,-9,20,15,78,0.0,1012,-4,10,213,14,"casper,wy"
2020-01-02 11:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-6,-8,-3,-8,20,11,77,0.0,1012,-3,10,216,15,"casper,wy"
2020-01-02 12:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-5,-7,-2,-7,19,8,77,0.0,1012,-2,10,219,17,"casper,wy"
2020-01-02 13:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-5,-7,-2,-7,20,14,77,0.0,1012,-2,10,222,18,"casper,wy"
2020-01-02 14:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-5,-8,-2,-8,21,21,78,0.0,1011,-2,10,225,19,"casper,wy"
2020-01-02 15:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-6,-8,-2,-8,23,28,78,0.0,1010,-2,10,228,20,"casper,wy"
2020-01-02 16:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-7,-9,-4,-9,22,22,79,0.0,1011,-4,10,220,18,"casper,wy"
2020-01-02 17:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-8,-10,-5,-10,22,16,80,0.0,1013,-5,10,213,16,"casper,wy"
2020-01-02 18:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-9,-12,-6,-12,22,10,81,0.0,1014,-6,10,205,14,"casper,wy"
2020-01-02 19:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-10,-14,-8,-14,24,10,80,0.0,1015,-8,10,208,14,"casper,wy"
2020-01-02 20:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-12,-15,-9,-15,27,10,80,0.0,1015,-9,10,211,14,"casper,wy"
2020-01-02 21:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-14,-17,-11,-17,30,9,79,0.0,1016,-11,10,214,14,"casper,wy"
2020-01-02 22:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-14,-18,-11,-18,30,11,79,0.0,1018,-11,10,212,14,"casper,wy"
2020-01-02 23:00:00,-2,-11,0.2,8.7,1,44,01:01 PM,12:15 AM,08:36 AM,05:43 PM,-15,-19,-12,-19,30,12,79,0.0,1019,-12,10,211,14,"casper,wy"
2020-01-03 00:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-16,-20,-13,-20,30,14,79,0.0,1021,-13,10,209,14,"casper,wy"
2020-01-03 01:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-16,-20,-13,-20,29,13,78,0.0,1021,-13,10,206,14,"casper,wy"
2020-01-03 02:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-16,-20,-13,-20,28,13,78,0.0,1022,-13,10,203,13,"casper,wy"
2020-01-03 03:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-17,-21,-14,-21,27,12,78,0.0,1022,-14,10,200,13,"casper,wy"
2020-01-03 04:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-15,-19,-12,-19,28,16,77,0.0,1023,-12,10,200,14,"casper,wy"
2020-01-03 05:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-14,-17,-10,-17,29,19,75,0.0,1023,-10,10,200,15,"casper,wy"
2020-01-03 06:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-13,-16,-9,-16,30,23,74,0.0,1024,-9,10,201,16,"casper,wy"
2020-01-03 07:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-12,-16,-9,-16,31,21,76,0.0,1023,-9,10,203,16,"casper,wy"
2020-01-03 08:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-12,-15,-9,-15,31,20,77,0.0,1023,-9,10,206,17,"casper,wy"
2020-01-03 09:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-12,-15,-8,-15,32,18,78,0.0,1023,-8,10,208,18,"casper,wy"
2020-01-03 10:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-10,-14,-7,-14,30,16,78,0.0,1023,-7,10,213,20,"casper,wy"
2020-01-03 11:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-8,-12,-5,-12,29,14,78,0.0,1022,-5,10,218,22,"casper,wy"
2020-01-03 12:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-6,-10,-3,-10,27,11,78,0.0,1022,-3,10,222,24,"casper,wy"
2020-01-03 13:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-5,-8,-2,-8,27,12,79,0.0,1021,-2,10,224,23,"casper,wy"
2020-01-03 14:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-4,-7,-1,-7,26,12,80,0.0,1020,-1,10,225,23,"casper,wy"
2020-01-03 15:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-3,-6,-0,-6,26,12,80,0.0,1019,-0,10,227,23,"casper,wy"
2020-01-03 16:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-4,-7,-1,-7,27,12,80,0.0,1020,-1,10,221,21,"casper,wy"
2020-01-03 17:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-5,-8,-2,-8,28,11,81,0.0,1021,-2,10,215,20,"casper,wy"
2020-01-03 18:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-6,-9,-3,-9,29,11,81,0.0,1022,-3,10,209,19,"casper,wy"
2020-01-03 19:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-7,-10,-4,-10,33,12,81,0.0,1022,-4,10,208,19,"casper,wy"
2020-01-03 20:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-8,-12,-5,-12,36,13,82,0.0,1023,-5,10,206,19,"casper,wy"
2020-01-03 21:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-9,-13,-7,-13,39,15,83,0.0,1023,-7,10,205,19,"casper,wy"
2020-01-03 22:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-9,-13,-7,-13,39,14,83,0.0,1024,-7,10,205,19,"casper,wy"
2020-01-03 23:00:00,-0,-14,0.0,8.7,2,51,01:24 PM,01:15 AM,08:36 AM,05:43 PM,-9,-14,-7,-14,39,13,83,0.0,1025,-7,10,205,19,"casper,wy"
2020-01-04 00:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-10,-14,-7,-14,39,12,83,0.0,1025,-7,10,205,19,"casper,wy"
2020-01-04 01:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-10,-14,-7,-14,40,12,82,0.0,1025,-7,10,204,19,"casper,wy"
2020-01-04 02:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-10,-14,-7,-14,40,11,81,0.0,1025,-7,10,204,19,"casper,wy"
2020-01-04 03:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-10,-15,-8,-15,41,11,81,0.0,1025,-8,10,203,19,"casper,wy"
2020-01-04 04:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-9,-12,-6,-12,39,10,79,0.0,1025,-6,10,203,20,"casper,wy"
2020-01-04 05:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-7,-10,-4,-10,37,9,77,0.0,1025,-4,10,202,21,"casper,wy"
2020-01-04 06:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-6,-8,-2,-8,35,8,75,0.0,1024,-2,10,202,22,"casper,wy"
2020-01-04 07:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-5,-7,-1,-7,33,9,74,0.0,1024,-1,10,200,21,"casper,wy"
2020-01-04 08:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-5,-7,-1,-7,30,9,73,0.0,1023,-1,10,199,21,"casper,wy"
2020-01-04 09:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-5,-6,-1,-6,27,9,72,0.0,1022,-1,10,197,21,"casper,wy"
2020-01-04 10:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-4,-5,1,-5,28,8,72,0.0,1021,1,10,201,22,"casper,wy"
2020-01-04 11:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-3,-3,2,-3,28,6,72,0.0,1020,2,10,206,23,"casper,wy"
2020-01-04 12:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-2,-2,3,-2,28,5,72,0.0,1019,3,10,210,25,"casper,wy"
2020-01-04 13:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-1,-2,3,-2,30,6,73,0.0,1017,3,10,214,26,"casper,wy"
2020-01-04 14:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-1,-2,3,-2,32,6,73,0.0,1016,3,10,218,27,"casper,wy"
2020-01-04 15:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-1,-2,4,-2,33,7,74,0.0,1015,4,10,222,29,"casper,wy"
2020-01-04 16:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-3,-1,4,-1,39,6,73,0.0,1017,3,10,219,27,"casper,wy"
2020-01-04 17:00:00,4,-8,0.0,8.7,2,59,01:48 PM,02:14 AM,08:36 AM,05:44 PM,-5,-0,4,-0,46,6,72,0.0,1018,2,10,217,26,"casper,wy"
