date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-8,-8,-1,-8,61,45,58,0.0,1013,-1,2,263,30,"cheyenne,wy"
2020-01-01 01:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-8,-8,-1,-8,68,31,60,0.0,1012,-1,4,265,33,"cheyenne,wy"
2020-01-01 02:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-8,-9,-1,-9,74,18,61,0.0,1011,-1,5,266,37,"cheyenne,wy"
2020-01-01 03:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-7,-9,-1,-9,81,5,62,0.0,1010,-1,7,268,41,"cheyenne,wy"
2020-01-01 04:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-7,-8,-0,-8,82,19,61,0.0,1009,-0,5,270,43,"cheyenne,wy"
2020-01-01 05:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-6,-7,0,-7,84,34,61,0.0,1008,0,4,271,45,"cheyenne,wy"
2020-01-01 06:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-6,-6,1,-6,86,49,61,0.0,1007,1,2,273,47,"cheyenne,wy"
2020-01-01 07:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-5,-6,1,-6,85,43,62,0.0,1006,1,5,272,47,"cheyenne,wy"
2020-01-01 08:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-5,-6,1,-6,85,38,63,0.0,1005,1,7,272,47,"cheyenne,wy"
2020-01-01 09:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-5,-6,1,-6,84,32,64,0.0,1004,1,10,272,46,"cheyenne,wy"
2020-01-01 10:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-6,2,-6,87,38,64,0.0,1003,2,7,273,51,"cheyenne,wy"
2020-01-01 11:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-6,2,-6,90,44,65,0.0,1003,2,5,275,55,"cheyenne,wy"
2020-01-01 12:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-6,2,-6,93,49,66,0.0,1002,2,2,276,59,"cheyenne,wy"
2020-01-01 13:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-6,2,-6,89,36,65,0.0,1001,2,5,277,57,"cheyenne,wy"
2020-01-01 14:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-5,2,-5,85,23,64,0.0,999,2,7,277,54,"cheyenne,wy"
2020-01-01 15:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-5,3,-5,81,10,63,0.0,998,3,10,278,51,"cheyenne,wy"
2020-01-01 16:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-4,-5,2,-5,80,8,62,0.0,998,2,9,279,47,"cheyenne,wy"
2020-01-01 17:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-5,-6,1,-6,78,6,62,0.0,998,1,8,281,44,"cheyenne,wy"
2020-01-01 18:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-6,-7,1,-7,77,4,62,0.0,998,1,7,282,41,"cheyenne,wy"
2020-01-01 19:00:00,3,-1,0.0,8.7,1,37,12:30 PM,No moonset,08:24 AM,05:41 PM,-6,-7,0,-7,75,5,63,0.0,999,0,8,280,40,"cheyenne,wy"
