date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,19,36,51,0.0,1019,17,10,339,14,"clearwater,fl"
2020-01-01 01:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,19,37,52,0.0,1019,17,10,340,14,"clearwater,fl"
2020-01-01 02:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,19,39,52,0.0,1019,17,10,341,14,"clearwater,fl"
2020-01-01 03:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,19,40,52,0.0,1019,17,10,343,14,"clearwater,fl"
2020-01-01 04:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,19,36,52,0.0,1019,17,10,308,14,"clearwater,fl"
2020-01-01 05:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,20,31,53,0.0,1018,17,10,273,14,"clearwater,fl"
2020-01-01 06:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,20,27,53,0.0,1018,17,10,239,14,"clearwater,fl"
2020-01-01 07:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,17,17,17,21,23,54,0.0,1019,17,10,164,15,"clearwater,fl"
2020-01-01 08:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,8,17,17,17,21,19,56,0.0,1019,17,10,89,15,"clearwater,fl"
2020-01-01 09:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,8,17,17,17,21,15,57,0.0,1019,17,10,14,15,"clearwater,fl"
2020-01-01 10:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,8,17,17,17,21,13,56,0.0,1020,17,10,16,15,"clearwater,fl"
2020-01-01 11:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,8,17,17,17,20,12,55,0.0,1020,17,10,18,15,"clearwater,fl"
2020-01-01 12:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,8,17,17,17,19,10,55,0.0,1020,17,10,20,15,"clearwater,fl"
2020-01-01 13:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,7,18,18,18,16,9,51,0.0,1020,18,10,59,12,"clearwater,fl"
2020-01-01 14:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,18,18,18,12,8,46,0.0,1019,18,10,98,9,"clearwater,fl"
2020-01-01 15:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,19,19,19,8,7,42,0.0,1018,19,10,138,6,"clearwater,fl"
2020-01-01 16:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,19,19,19,9,9,42,0.0,1018,19,10,171,7,"clearwater,fl"
2020-01-01 17:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,19,19,19,9,10,42,0.0,1018,19,10,204,7,"clearwater,fl"
2020-01-01 18:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,19,19,19,10,12,42,0.0,1017,19,10,238,8,"clearwater,fl"
2020-01-01 19:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,18,19,18,13,11,43,0.0,1018,18,10,165,10,"clearwater,fl"
2020-01-01 20:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,18,18,18,16,11,43,0.0,1018,18,10,92,11,"clearwater,fl"
2020-01-01 21:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,17,18,17,19,11,44,0.0,1018,17,10,20,13,"clearwater,fl"
2020-01-01 22:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,17,18,17,19,10,44,0.0,1018,17,10,35,13,"clearwater,fl"
2020-01-01 23:00:00,19,16,0.0,10.3,5,37,12:51 PM,No moonset,08:22 AM,06:47 PM,6,17,18,17,20,10,45,0.0,1018,17,10,49,13,"clearwater,fl"
2020-01-02 00:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,6,17,18,17,21,9,45,0.0,1018,17,10,64,13,"clearwater,fl"
2020-01-02 01:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,7,17,18,17,23,9,48,0.0,1018,17,10,76,15,"clearwater,fl"
2020-01-02 02:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,7,18,18,18,25,8,50,0.0,1017,18,10,88,16,"clearwater,fl"
2020-01-02 03:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,8,18,18,18,28,8,52,0.0,1017,18,10,101,18,"clearwater,fl"
2020-01-02 04:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,8,18,18,18,28,8,54,0.0,1017,18,10,109,18,"clearwater,fl"
2020-01-02 05:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,9,18,18,18,29,7,56,0.0,1017,18,10,117,19,"clearwater,fl"
2020-01-02 06:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,9,18,18,18,30,7,58,0.0,1017,18,10,125,19,"clearwater,fl"
2020-01-02 07:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,10,18,18,18,30,7,59,0.0,1017,18,10,130,20,"clearwater,fl"
2020-01-02 08:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,10,18,18,18,30,6,60,0.0,1018,18,10,135,20,"clearwater,fl"
2020-01-02 09:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,11,18,18,18,31,6,62,0.0,1018,18,10,139,21,"clearwater,fl"
2020-01-02 10:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,12,19,19,19,31,5,63,0.0,1018,19,10,143,21,"clearwater,fl"
2020-01-02 11:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,13,20,20,20,32,4,65,0.0,1018,20,10,147,21,"clearwater,fl"
2020-01-02 12:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,14,20,21,20,32,2,66,0.0,1018,20,10,150,22,"clearwater,fl"
2020-01-02 13:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,14,21,22,21,34,2,67,0.0,1017,21,10,158,22,"clearwater,fl"
2020-01-02 14:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,15,21,23,21,36,2,69,0.0,1017,21,10,165,23,"clearwater,fl"
2020-01-02 15:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,16,22,25,22,37,2,70,0.0,1016,22,10,172,23,"clearwater,fl"
2020-01-02 16:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,17,22,24,22,39,2,73,0.0,1016,22,10,171,24,"clearwater,fl"
2020-01-02 17:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,17,22,24,22,42,2,77,0.0,1015,22,10,171,25,"clearwater,fl"
2020-01-02 18:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,18,22,24,22,44,3,80,0.0,1015,22,10,170,26,"clearwater,fl"
2020-01-02 19:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,18,22,24,22,44,2,82,0.0,1015,22,10,167,25,"clearwater,fl"
2020-01-02 20:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,19,22,24,22,44,2,83,0.0,1015,22,10,164,25,"clearwater,fl"
2020-01-02 21:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,19,22,24,22,44,2,85,0.0,1016,22,10,161,24,"clearwater,fl"
2020-01-02 22:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,19,22,24,22,44,2,85,0.0,1016,22,10,161,24,"clearwater,fl"
2020-01-02 23:00:00,22,18,0.0,10.2,6,44,01:22 PM,12:45 AM,08:23 AM,06:47 PM,19,22,24,22,43,3,86,0.0,1016,22,10,161,23,"clearwater,fl"
