date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-6,-9,-3,-9,30,96,81,0.1,1009,-3,10,260,22,"cleveland,oh"
2020-01-01 01:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-6,-9,-3,-9,30,97,82,0.0,1009,-3,10,259,22,"cleveland,oh"
2020-01-01 02:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,30,98,83,0.0,1009,-3,9,258,21,"cleveland,oh"
2020-01-01 03:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,29,100,84,0.0,1009,-3,9,256,21,"cleveland,oh"
2020-01-01 04:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,29,100,84,0.0,1010,-3,8,256,21,"cleveland,oh"
2020-01-01 05:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,29,100,85,0.1,1010,-3,7,256,21,"cleveland,oh"
2020-01-01 06:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-10,-3,-10,29,100,86,0.1,1010,-3,5,255,21,"cleveland,oh"
2020-01-01 07:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,29,100,85,0.1,1010,-3,5,256,21,"cleveland,oh"
2020-01-01 08:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,29,100,85,0.1,1011,-3,4,256,21,"cleveland,oh"
2020-01-01 09:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,28,100,85,0.1,1011,-3,4,257,21,"cleveland,oh"
2020-01-01 10:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-9,-3,-9,28,98,83,0.1,1011,-3,5,254,21,"cleveland,oh"
2020-01-01 11:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-8,-2,-8,27,96,81,0.1,1011,-2,6,252,20,"cleveland,oh"
2020-01-01 12:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-5,-8,-2,-8,26,93,80,0.1,1012,-2,8,250,20,"cleveland,oh"
2020-01-01 13:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-4,-7,-1,-7,25,81,79,0.0,1011,-1,8,245,19,"cleveland,oh"
2020-01-01 14:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-4,-6,-1,-6,24,68,78,0.0,1011,-1,9,240,18,"cleveland,oh"
2020-01-01 15:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-3,-5,0,-5,22,56,77,0.0,1011,0,9,236,17,"cleveland,oh"
2020-01-01 16:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-3,-4,0,-4,23,39,78,0.0,1011,0,10,230,16,"cleveland,oh"
2020-01-01 17:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-3,-4,0,-4,24,22,79,0.0,1010,0,10,224,16,"cleveland,oh"
2020-01-01 18:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-2,-4,1,-4,25,5,81,0.0,1010,1,10,218,15,"cleveland,oh"
2020-01-01 19:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-2,-4,0,-4,27,5,82,0.0,1010,0,10,212,16,"cleveland,oh"
2020-01-01 20:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-2,-4,-0,-4,29,6,83,0.0,1010,-1,10,207,17,"cleveland,oh"
2020-01-01 21:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-2,-4,-1,-4,32,6,84,0.0,1011,-1,10,201,18,"cleveland,oh"
2020-01-01 22:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-1,-4,-1,-4,33,9,84,0.0,1010,-1,10,200,19,"cleveland,oh"
2020-01-01 23:00:00,1,-4,0.6,8.2,1,37,12:57 PM,No moonset,08:53 AM,06:07 PM,-1,-4,-1,-4,33,12,84,0.0,1010,-2,10,199,19,"cleveland,oh"
2020-01-02 00:00:00,6,2,0.0,9.6,2,44,01:21 PM,12:33 AM,08:53 AM,06:08 PM,-1,-4,-1,-4,34,15,85,0.0,1010,-2,10,197,20,"cleveland,oh"
2020-01-02 01:00:00,6,2,0.0,9.6,2,44,01:21 PM,12:33 AM,08:53 AM,06:08 PM,-1,-3,0,-3,34,12,84,0.0,1010,-1,10,198,20,"cleveland,oh"
2020-01-02 02:00:00,6,2,0.0,9.6,2,44,01:21 PM,12:33 AM,08:53 AM,06:08 PM,-1,-3,1,-3,33,9,84,0.0,1010,1,10,199,20,"cleveland,oh"
2020-01-02 03:00:00,6,2,0.0,9.6,2,44,01:21 PM,12:33 AM,08:53 AM,06:08 PM,-1,-3,2,-3,33,6,83,0.0,1010,2,10,200,19,"cleveland,oh"
