date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,2,3,4,3,15,16,82,0.0,1020,4,10,283,7,"columbus,ms"
2020-01-01 01:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,3,4,3,14,21,82,0.0,1020,4,10,285,7,"columbus,ms"
2020-01-01 02:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,2,4,2,13,27,83,0.0,1020,4,10,287,6,"columbus,ms"
2020-01-01 03:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,2,4,2,12,32,83,0.0,1020,4,10,289,6,"columbus,ms"
2020-01-01 04:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,2,4,2,11,39,83,0.0,1020,4,10,282,5,"columbus,ms"
2020-01-01 05:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,2,3,2,10,46,83,0.0,1020,3,10,275,5,"columbus,ms"
2020-01-01 06:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,2,3,2,9,53,83,0.0,1020,3,10,268,4,"columbus,ms"
2020-01-01 07:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,3,4,3,8,47,80,0.0,1020,4,10,259,4,"columbus,ms"
2020-01-01 08:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,4,5,4,6,42,76,0.0,1020,5,10,250,3,"columbus,ms"
2020-01-01 09:00:00,12,3,0.0,8.7,3,37,12:18 PM,No moonset,07:58 AM,05:57 PM,1,5,6,5,5,37,73,0.0,1020,6,10,241,3,"columbus,ms"
