date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,3,-2,2,-2,19,100,99,11.7,975,1,5,107,13,"cordova,ak"
2020-01-01 01:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,2,-2,1,-2,16,100,99,5.8,975,0,4,139,11,"cordova,ak"
2020-01-01 02:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,1,-2,1,-2,13,100,99,9.3,975,0,4,171,9,"cordova,ak"
2020-01-01 03:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,0,-2,0,-2,9,100,99,12.4,975,0,3,203,6,"cordova,ak"
2020-01-01 04:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-1,-3,-0,-3,9,100,98,6.2,975,-0,3,197,7,"cordova,ak"
2020-01-01 05:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-1,-3,-1,-3,10,100,98,4.7,975,-1,2,191,7,"cordova,ak"
2020-01-01 06:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-2,-4,-2,-4,10,100,98,6.3,976,-2,2,185,7,"cordova,ak"
2020-01-01 07:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-3,-6,-2,-6,13,100,97,3.2,977,-2,2,192,10,"cordova,ak"
2020-01-01 08:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-4,-7,-3,-7,16,100,95,2.3,978,-3,2,200,12,"cordova,ak"
2020-01-01 09:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-4,-9,-4,-9,19,100,94,3.0,980,-4,2,207,14,"cordova,ak"
2020-01-01 10:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-5,-9,-4,-9,19,100,94,1.5,981,-4,2,218,15,"cordova,ak"
2020-01-01 11:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-6,-10,-5,-10,19,100,94,1.2,983,-5,2,230,15,"cordova,ak"
2020-01-01 12:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-6,-11,-5,-11,19,100,94,1.6,985,-5,2,241,15,"cordova,ak"
2020-01-01 13:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-7,-11,-6,-11,17,100,93,0.8,987,-6,2,246,13,"cordova,ak"
2020-01-01 14:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-8,-11,-7,-11,14,100,93,0.7,988,-7,2,251,11,"cordova,ak"
2020-01-01 15:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-8,-11,-7,-11,12,100,92,0.9,990,-7,2,256,9,"cordova,ak"
2020-01-01 16:00:00,-2,-17,24.1,1.5,1,37,01:40 PM,No moonset,10:50 AM,04:43 PM,-8,-11,-8,-11,11,100,92,0.4,991,-8,2,267,8,"cordova,ak"
