date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,7,9,7,19,100,97,1.3,1015,9,2,190,12,"eugene,or"
2020-01-01 01:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,9,8,20,100,97,0.6,1015,9,3,201,12,"eugene,or"
2020-01-01 02:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,21,100,97,1.3,1014,10,4,212,13,"eugene,or"
2020-01-01 03:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,22,100,96,1.7,1014,10,5,223,14,"eugene,or"
2020-01-01 04:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,23,97,96,0.9,1015,10,5,233,14,"eugene,or"
2020-01-01 05:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,23,93,95,0.4,1015,10,5,242,13,"eugene,or"
2020-01-01 06:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,23,90,95,0.5,1015,10,5,251,13,"eugene,or"
2020-01-01 07:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,23,84,94,0.2,1015,10,6,252,13,"eugene,or"
2020-01-01 08:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,9,8,10,8,22,79,94,0.6,1016,10,8,253,13,"eugene,or"
2020-01-01 09:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,8,7,9,7,21,73,94,0.8,1016,9,10,253,13,"eugene,or"
2020-01-01 10:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,8,7,9,7,20,76,92,0.4,1017,9,10,254,12,"eugene,or"
2020-01-01 11:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,8,8,9,8,19,79,91,0.2,1017,9,10,255,12,"eugene,or"
2020-01-01 12:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,8,8,10,8,18,81,90,0.3,1018,10,10,255,12,"eugene,or"
2020-01-01 13:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,8,8,9,8,17,82,89,0.2,1018,9,10,252,12,"eugene,or"
2020-01-01 14:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,7,9,7,17,84,89,0.2,1019,9,10,248,11,"eugene,or"
2020-01-01 15:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,7,9,7,16,85,89,0.3,1019,9,10,244,10,"eugene,or"
2020-01-01 16:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,7,9,7,17,89,90,0.1,1019,9,10,243,10,"eugene,or"
2020-01-01 17:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,7,8,7,17,92,91,0.1,1019,8,10,242,11,"eugene,or"
2020-01-01 18:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,6,8,6,18,95,92,0.1,1020,8,10,241,11,"eugene,or"
2020-01-01 19:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,6,8,6,16,97,93,0.0,1020,8,9,237,10,"eugene,or"
2020-01-01 20:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,6,8,6,15,98,94,0.2,1020,8,8,233,9,"eugene,or"
2020-01-01 21:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,7,6,7,6,13,100,95,0.2,1020,7,7,229,8,"eugene,or"
2020-01-01 22:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,6,5,7,5,13,96,95,0.1,1021,7,6,220,8,"eugene,or"
2020-01-01 23:00:00,10,6,0.0,3.4,2,37,12:47 PM,No moonset,08:47 AM,05:45 PM,6,5,6,5,13,92,95,0.0,1022,6,4,210,7,"eugene,or"
2020-01-02 00:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,5,6,5,13,88,96,0.0,1022,6,2,201,7,"eugene,or"
2020-01-02 01:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,4,6,4,12,85,96,0.0,1022,6,2,194,7,"eugene,or"
2020-01-02 02:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,4,5,4,12,81,96,0.0,1022,5,2,187,7,"eugene,or"
2020-01-02 03:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,4,5,4,12,77,97,0.0,1023,5,2,181,6,"eugene,or"
2020-01-02 04:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,4,4,5,4,11,79,97,0.0,1023,5,2,183,6,"eugene,or"
2020-01-02 05:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,4,4,5,4,10,82,96,0.0,1023,5,2,185,6,"eugene,or"
2020-01-02 06:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,4,4,5,4,10,85,96,0.0,1023,5,2,187,5,"eugene,or"
2020-01-02 07:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,4,4,5,4,10,76,96,0.0,1023,5,3,183,6,"eugene,or"
2020-01-02 08:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,4,5,4,10,67,95,0.0,1023,5,4,178,6,"eugene,or"
2020-01-02 09:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,5,6,5,10,59,94,0.0,1023,6,5,174,6,"eugene,or"
2020-01-02 10:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,5,7,5,10,63,91,0.0,1022,7,6,172,7,"eugene,or"
2020-01-02 11:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,6,8,6,11,67,88,0.0,1022,8,8,170,8,"eugene,or"
2020-01-02 12:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,7,9,7,11,72,85,0.0,1022,9,10,169,8,"eugene,or"
2020-01-02 13:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,8,9,8,11,74,82,0.0,1022,9,10,165,8,"eugene,or"
2020-01-02 14:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,8,9,8,11,77,80,0.0,1021,9,10,162,8,"eugene,or"
2020-01-02 15:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,9,10,9,11,80,77,0.0,1021,10,10,159,8,"eugene,or"
2020-01-02 16:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,8,9,8,11,73,79,0.0,1021,9,10,158,7,"eugene,or"
2020-01-02 17:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,8,9,8,11,67,81,0.0,1021,9,10,156,6,"eugene,or"
2020-01-02 18:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,6,8,8,8,10,60,83,0.0,1021,8,10,155,5,"eugene,or"
2020-01-02 19:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,7,7,7,11,48,86,0.0,1021,7,10,155,6,"eugene,or"
2020-01-02 20:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,5,6,7,6,12,36,88,0.0,1021,7,10,155,6,"eugene,or"
2020-01-02 21:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,4,5,6,5,13,23,90,0.0,1022,6,10,155,6,"eugene,or"
2020-01-02 22:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,4,4,5,4,13,27,90,0.0,1022,5,10,150,6,"eugene,or"
2020-01-02 23:00:00,10,5,0.0,5.1,2,44,01:10 PM,12:24 AM,08:47 AM,05:46 PM,3,4,5,4,13,31,89,0.0,1022,5,10,145,6,"eugene,or"
2020-01-03 00:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,3,3,5,3,13,34,89,0.0,1022,5,10,140,6,"eugene,or"
2020-01-03 01:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,3,4,3,13,35,87,0.0,1021,4,10,139,6,"eugene,or"
2020-01-03 02:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,3,4,3,13,35,86,0.0,1021,4,10,139,6,"eugene,or"
2020-01-03 03:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,2,4,2,13,35,84,0.0,1021,4,10,139,6,"eugene,or"
2020-01-03 04:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,1,2,4,2,13,45,82,0.0,1021,4,10,139,6,"eugene,or"
2020-01-03 05:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,0,2,4,2,13,54,80,0.0,1021,4,10,140,6,"eugene,or"
2020-01-03 06:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,-0,2,3,2,13,63,78,0.0,1020,3,10,140,6,"eugene,or"
2020-01-03 07:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,-0,2,4,2,13,48,76,0.0,1020,4,10,141,6,"eugene,or"
2020-01-03 08:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,-0,3,4,3,12,33,73,0.0,1020,4,10,142,6,"eugene,or"
2020-01-03 09:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,-0,3,5,3,12,17,71,0.0,1019,5,10,143,6,"eugene,or"
2020-01-03 10:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,0,5,6,5,11,31,68,0.0,1019,6,10,156,6,"eugene,or"
2020-01-03 11:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,1,7,7,7,11,45,65,0.0,1018,7,10,168,6,"eugene,or"
2020-01-03 12:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,8,9,8,10,59,62,0.0,1018,9,10,181,6,"eugene,or"
2020-01-03 13:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,3,9,10,9,9,72,62,0.0,1017,10,10,193,6,"eugene,or"
2020-01-03 14:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,4,10,10,10,8,86,62,0.0,1016,10,10,205,5,"eugene,or"
2020-01-03 15:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,4,11,11,11,8,100,63,0.0,1015,11,10,217,5,"eugene,or"
2020-01-03 16:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,4,10,10,10,9,91,66,0.0,1014,10,10,191,5,"eugene,or"
2020-01-03 17:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,4,8,9,8,11,82,69,0.0,1013,9,10,165,6,"eugene,or"
2020-01-03 18:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,3,7,8,7,12,73,72,0.0,1013,8,10,139,6,"eugene,or"
2020-01-03 19:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,7,8,7,12,64,70,0.0,1013,7,10,148,6,"eugene,or"
2020-01-03 20:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,6,7,6,12,55,68,0.0,1013,7,10,157,6,"eugene,or"
2020-01-03 21:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,1,6,7,6,13,46,65,0.0,1012,6,10,165,6,"eugene,or"
2020-01-03 22:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,5,7,5,12,64,68,0.0,1013,6,10,183,6,"eugene,or"
2020-01-03 23:00:00,13,3,0.0,6.9,3,51,01:32 PM,01:25 AM,08:47 AM,05:47 PM,2,5,7,5,11,82,71,0.6,1014,6,9,200,6,"eugene,or"
2020-01-04 00:00:00,8,1,0.0,5.2,2,59,01:55 PM,02:25 AM,08:47 AM,05:48 PM,2,4,6,4,10,100,74,0.8,1015,5,9,217,6,"eugene,or"
2020-01-04 01:00:00,8,1,0.0,5.2,2,59,01:55 PM,02:25 AM,08:47 AM,05:48 PM,3,4,6,4,11,100,81,0.4,1017,5,8,225,7,"eugene,or"
2020-01-04 02:00:00,8,1,0.0,5.2,2,59,01:55 PM,02:25 AM,08:47 AM,05:48 PM,4,4,6,4,11,99,89,1.2,1018,5,7,233,8,"eugene,or"
2020-01-04 03:00:00,8,1,0.0,5.2,2,59,01:55 PM,02:25 AM,08:47 AM,05:48 PM,5,3,5,3,12,99,97,1.6,1020,5,5,242,9,"eugene,or"
2020-01-04 04:00:00,8,1,0.0,5.2,2,59,01:55 PM,02:25 AM,08:47 AM,05:48 PM,5,3,5,3,12,96,96,0.8,1022,5,5,233,8,"eugene,or"
