date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-10,-15,-9,-15,35,41,89,0.0,1003,-10,10,183,17,"fargo,nd"
2020-01-01 01:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-10,-15,-9,-15,35,35,89,0.0,1002,-9,10,185,17,"fargo,nd"
2020-01-01 02:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-10,-15,-8,-15,35,29,88,0.0,1001,-9,10,187,17,"fargo,nd"
2020-01-01 03:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-9,-14,-8,-14,35,23,88,0.0,1000,-8,10,189,17,"fargo,nd"
2020-01-01 04:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-9,-14,-7,-14,33,39,88,0.0,999,-7,10,191,16,"fargo,nd"
2020-01-01 05:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-8,-13,-7,-13,32,56,89,0.0,998,-7,10,192,15,"fargo,nd"
2020-01-01 06:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-8,-12,-7,-12,30,72,89,0.0,997,-7,10,193,15,"fargo,nd"
2020-01-01 07:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-7,-11,-6,-11,28,81,90,0.0,996,-6,9,193,14,"fargo,nd"
2020-01-01 08:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-6,-10,-5,-10,26,91,91,0.0,995,-5,8,193,14,"fargo,nd"
2020-01-01 09:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-5,-9,-4,-9,24,100,92,0.0,994,-4,7,193,14,"fargo,nd"
2020-01-01 10:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-4,-8,-3,-8,24,100,94,0.0,993,-3,6,193,15,"fargo,nd"
2020-01-01 11:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-2,-7,-2,-7,25,100,96,0.2,992,-2,5,193,16,"fargo,nd"
2020-01-01 12:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-1,-6,-1,-6,25,100,97,0.2,991,-1,3,193,17,"fargo,nd"
2020-01-01 13:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-1,-5,-0,-5,25,100,98,0.1,990,-0,4,194,17,"fargo,nd"
2020-01-01 14:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-0,-5,0,-5,25,100,99,0.1,990,0,4,195,17,"fargo,nd"
2020-01-01 15:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,1,-4,1,-4,26,100,99,0.1,989,1,4,196,17,"fargo,nd"
2020-01-01 16:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,1,-3,1,-3,26,100,99,0.1,988,0,5,200,16,"fargo,nd"
2020-01-01 17:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,1,-3,2,-3,26,100,100,0.2,988,-0,6,204,15,"fargo,nd"
2020-01-01 18:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,1,-2,2,-2,26,100,100,0.2,988,-0,8,208,15,"fargo,nd"
2020-01-01 19:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,1,-2,1,-2,22,100,99,0.1,988,-1,8,209,13,"fargo,nd"
2020-01-01 20:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,0,-3,0,-3,19,100,98,0.1,989,-2,9,211,11,"fargo,nd"
2020-01-01 21:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-0,-3,-0,-3,16,100,97,0.1,989,-3,10,212,9,"fargo,nd"
2020-01-01 22:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-0,-3,-1,-3,16,100,97,0.0,990,-3,8,233,9,"fargo,nd"
2020-01-01 23:00:00,1,-8,0.7,2.1,2,37,01:03 PM,No moonset,09:13 AM,05:49 PM,-0,-4,-1,-4,17,100,98,0.1,990,-2,6,253,10,"fargo,nd"
2020-01-02 00:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-1,-4,-1,-4,17,100,98,0.2,991,-1,5,273,10,"fargo,nd"
2020-01-02 01:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-1,-4,-1,-4,20,100,97,0.1,992,-1,4,289,13,"fargo,nd"
2020-01-02 02:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-1,-5,-0,-5,22,100,97,0.1,993,-1,4,304,15,"fargo,nd"
2020-01-02 03:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-1,-5,-0,-5,25,100,96,0.1,993,-0,4,320,17,"fargo,nd"
2020-01-02 04:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-2,-6,-1,-6,26,100,95,0.1,994,-1,4,324,17,"fargo,nd"
2020-01-02 05:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-3,-7,-2,-7,26,100,94,0.1,995,-2,5,328,17,"fargo,nd"
2020-01-02 06:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-8,-3,-8,26,100,93,0.1,997,-3,5,332,17,"fargo,nd"
2020-01-02 07:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-8,-3,-8,22,99,93,0.0,998,-3,6,330,15,"fargo,nd"
2020-01-02 08:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-8,-4,-8,18,98,94,0.0,999,-4,7,328,12,"fargo,nd"
2020-01-02 09:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-5,-8,-4,-8,14,97,95,0.0,1000,-4,8,326,9,"fargo,nd"
2020-01-02 10:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-7,-4,-7,16,96,94,0.0,1001,-4,9,317,10,"fargo,nd"
2020-01-02 11:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-7,-3,-7,17,94,93,0.0,1001,-3,9,308,12,"fargo,nd"
2020-01-02 12:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-6,-2,-6,19,93,92,0.0,1002,-2,10,299,13,"fargo,nd"
2020-01-02 13:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-7,-2,-7,19,82,91,0.0,1002,-2,10,292,13,"fargo,nd"
2020-01-02 14:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-7,-2,-7,20,72,91,0.0,1002,-2,10,285,13,"fargo,nd"
2020-01-02 15:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-4,-7,-3,-7,21,61,90,0.0,1003,-3,10,277,13,"fargo,nd"
2020-01-02 16:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-5,-8,-3,-8,20,60,91,0.0,1003,-3,10,279,12,"fargo,nd"
2020-01-02 17:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-6,-9,-4,-9,19,58,91,0.0,1004,-4,10,280,11,"fargo,nd"
2020-01-02 18:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-6,-9,-5,-9,18,57,92,0.0,1004,-5,10,281,10,"fargo,nd"
2020-01-02 19:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-7,-10,-6,-10,17,48,91,0.0,1005,-6,10,220,9,"fargo,nd"
2020-01-02 20:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-8,-10,-7,-10,15,39,91,0.0,1006,-7,10,159,7,"fargo,nd"
2020-01-02 21:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-9,-11,-8,-11,13,30,91,0.0,1006,-8,10,98,6,"fargo,nd"
2020-01-02 22:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-9,-11,-8,-11,12,28,92,0.0,1007,-8,10,71,5,"fargo,nd"
2020-01-02 23:00:00,-1,-8,0.9,2.1,1,44,01:24 PM,12:33 AM,09:13 AM,05:50 PM,-10,-11,-9,-11,10,26,92,0.0,1008,-9,10,43,5,"fargo,nd"
2020-01-03 00:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-10,-12,-9,-12,9,24,93,0.0,1008,-9,10,15,4,"fargo,nd"
2020-01-03 01:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-11,-12,-10,-12,9,37,93,0.0,1009,-10,10,27,4,"fargo,nd"
2020-01-03 02:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-11,-13,-10,-13,10,50,93,0.0,1009,-10,10,39,5,"fargo,nd"
2020-01-03 03:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-11,-13,-10,-13,11,63,93,0.0,1010,-10,10,52,5,"fargo,nd"
2020-01-03 04:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-11,-14,-10,-14,12,68,93,0.0,1010,-10,10,46,6,"fargo,nd"
2020-01-03 05:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-11,-14,-10,-14,13,72,93,0.0,1010,-10,10,40,6,"fargo,nd"
2020-01-03 06:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-11,-14,-10,-14,14,76,93,0.0,1011,-10,10,34,7,"fargo,nd"
2020-01-03 07:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-10,-13,-10,-13,13,81,94,0.0,1011,-10,8,101,7,"fargo,nd"
2020-01-03 08:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-10,-13,-9,-13,12,86,94,0.1,1011,-9,6,167,6,"fargo,nd"
2020-01-03 09:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-9,-12,-9,-12,11,91,95,0.2,1011,-9,5,234,6,"fargo,nd"
2020-01-03 10:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-8,-11,-8,-11,11,92,95,0.1,1012,-8,4,261,7,"fargo,nd"
2020-01-03 11:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-8,-10,-7,-10,11,94,95,0.1,1012,-7,3,288,7,"fargo,nd"
2020-01-03 12:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-7,-10,-6,-10,11,96,95,0.1,1013,-6,2,315,8,"fargo,nd"
2020-01-03 13:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-6,-9,-5,-9,13,97,95,0.0,1013,-5,3,314,9,"fargo,nd"
2020-01-03 14:00:00,-3,-11,0.3,2.1,2,51,01:44 PM,01:35 AM,09:13 AM,05:51 PM,-5,-9,-5,-9,15,98,95,0.0,1014,-5,3,314,10,"fargo,nd"
