date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,7,11,11,11,10,3,73,0.0,1021,11,10,329,5,"fresno,ca"
2020-01-01 01:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,7,11,11,11,7,4,74,0.0,1021,11,10,317,4,"fresno,ca"
2020-01-01 02:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,7,11,11,11,5,4,76,0.0,1020,11,10,305,3,"fresno,ca"
2020-01-01 03:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,7,10,10,10,3,5,77,0.0,1020,10,10,292,1,"fresno,ca"
2020-01-01 04:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,10,10,10,3,6,78,0.0,1020,10,10,276,1,"fresno,ca"
2020-01-01 05:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,10,10,10,3,7,79,0.0,1020,10,10,259,1,"fresno,ca"
2020-01-01 06:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,9,9,9,3,8,80,0.0,1020,9,10,242,1,"fresno,ca"
2020-01-01 07:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,10,10,10,4,8,78,0.0,1020,10,10,257,2,"fresno,ca"
2020-01-01 08:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,10,10,10,6,8,77,0.0,1020,10,10,271,3,"fresno,ca"
2020-01-01 09:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,10,10,10,7,8,76,0.0,1020,10,10,285,4,"fresno,ca"
2020-01-01 10:00:00,16,9,0.0,8.7,4,37,12:28 PM,No moonset,08:12 AM,05:54 PM,6,11,11,11,6,8,69,0.0,1020,11,10,240,4,"fresno,ca"
