date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-15,-12,-12,-12,5,12,80,0.0,1018,-12,10,89,3,"grandforks,nd"
2020-01-01 01:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-15,-12,-12,-12,5,11,78,0.0,1018,-12,10,90,3,"grandforks,nd"
2020-01-01 02:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-16,-13,-13,-13,5,9,76,0.0,1018,-13,10,90,3,"grandforks,nd"
2020-01-01 03:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-16,-13,-13,-13,5,8,75,0.0,1018,-13,10,91,3,"grandforks,nd"
2020-01-01 04:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-16,-12,-12,-12,6,8,75,0.0,1017,-12,10,94,3,"grandforks,nd"
2020-01-01 05:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-15,-11,-11,-11,6,8,75,0.0,1017,-11,10,96,3,"grandforks,nd"
2020-01-01 06:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-14,-11,-11,-11,6,8,75,0.0,1017,-11,10,99,3,"grandforks,nd"
2020-01-01 07:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-13,-10,-10,-10,5,9,76,0.0,1017,-10,10,101,3,"grandforks,nd"
2020-01-01 08:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-12,-9,-9,-9,5,9,77,0.0,1017,-9,10,103,3,"grandforks,nd"
2020-01-01 09:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-11,-8,-8,-8,5,9,77,0.0,1016,-8,10,105,3,"grandforks,nd"
2020-01-01 10:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-10,-7,-7,-7,4,14,78,0.0,1016,-7,10,148,2,"grandforks,nd"
2020-01-01 11:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-9,-6,-6,-6,3,19,78,0.0,1015,-6,10,191,2,"grandforks,nd"
2020-01-01 12:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-8,-5,-5,-5,3,23,79,0.0,1014,-5,10,234,2,"grandforks,nd"
2020-01-01 13:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-8,-5,-5,-5,3,32,80,0.0,1014,-5,10,248,2,"grandforks,nd"
2020-01-01 14:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-8,-5,-5,-5,4,41,82,0.0,1013,-5,10,262,2,"grandforks,nd"
2020-01-01 15:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-8,-6,-6,-6,4,50,84,0.0,1013,-6,10,277,2,"grandforks,nd"
2020-01-01 16:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-9,-7,-7,-7,4,51,85,0.0,1013,-7,9,257,2,"grandforks,nd"
2020-01-01 17:00:00,-3,-13,0.2,8.7,2,37,12:16 PM,11:44 PM,08:19 AM,05:41 PM,-10,-8,-8,-8,5,53,86,0.0,1013,-8,9,238,2,"grandforks,nd"
