date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,12,12,14,12,2,74,86,0.0,1024,12,10,95,1,"grandjunction,co"
2020-01-01 01:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,12,13,14,13,2,83,85,0.0,1024,13,10,99,2,"grandjunction,co"
2020-01-01 02:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,12,14,14,14,3,91,85,0.0,1024,14,10,103,2,"grandjunction,co"
2020-01-01 03:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,12,15,15,15,3,100,84,0.0,1024,15,10,107,2,"grandjunction,co"
2020-01-01 04:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,11,14,14,14,4,100,84,0.0,1024,14,10,109,2,"grandjunction,co"
2020-01-01 05:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,11,13,13,13,4,100,83,0.0,1024,13,10,112,2,"grandjunction,co"
2020-01-01 06:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,10,13,13,13,5,100,83,0.0,1024,13,10,114,3,"grandjunction,co"
2020-01-01 07:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,10,13,13,13,6,100,81,0.0,1025,13,10,128,3,"grandjunction,co"
2020-01-01 08:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,10,14,14,14,6,100,79,0.0,1025,14,10,142,4,"grandjunction,co"
2020-01-01 09:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,11,15,15,15,7,100,77,0.0,1026,15,10,156,4,"grandjunction,co"
2020-01-01 10:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,11,15,15,15,9,100,76,0.0,1025,15,10,163,5,"grandjunction,co"
2020-01-01 11:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,12,16,16,16,11,100,74,0.0,1025,16,10,169,6,"grandjunction,co"
2020-01-01 12:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,13,17,17,17,12,100,73,0.0,1024,17,10,175,8,"grandjunction,co"
2020-01-01 13:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,13,18,18,18,14,87,74,0.0,1023,18,10,172,8,"grandjunction,co"
2020-01-01 14:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,13,18,18,18,15,74,74,0.0,1022,18,10,169,9,"grandjunction,co"
2020-01-01 15:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,13,18,18,18,16,61,75,0.0,1022,18,10,165,9,"grandjunction,co"
2020-01-01 16:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,14,17,17,17,15,65,79,0.0,1022,17,10,162,8,"grandjunction,co"
2020-01-01 17:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,14,17,17,17,14,70,83,0.0,1022,17,10,160,7,"grandjunction,co"
2020-01-01 18:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,14,17,17,17,13,74,86,0.0,1022,17,10,157,6,"grandjunction,co"
2020-01-01 19:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,15,16,16,16,12,72,89,0.0,1022,16,8,159,6,"grandjunction,co"
2020-01-01 20:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,15,15,16,15,10,69,92,0.0,1023,15,6,162,6,"grandjunction,co"
2020-01-01 21:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,16,15,16,15,9,67,95,0.0,1023,15,5,164,5,"grandjunction,co"
2020-01-01 22:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,16,15,16,15,8,73,96,0.0,1023,15,3,167,5,"grandjunction,co"
2020-01-01 23:00:00,18,12,0.0,4.1,5,37,10:53 AM,10:44 PM,06:34 AM,05:21 PM,16,15,16,15,7,79,96,0.0,1023,15,2,169,5,"grandjunction,co"
2020-01-02 00:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,16,16,16,6,85,97,0.0,1022,16,1,171,4,"grandjunction,co"
2020-01-02 01:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,16,16,16,6,90,98,0.0,1022,16,0,172,4,"grandjunction,co"
2020-01-02 02:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,16,16,16,6,95,98,0.0,1022,16,0,172,4,"grandjunction,co"
2020-01-02 03:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,16,16,16,5,100,98,0.0,1022,16,0,173,4,"grandjunction,co"
2020-01-02 04:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,16,16,16,5,100,98,0.0,1022,16,0,170,4,"grandjunction,co"
2020-01-02 05:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,16,16,16,6,100,98,0.0,1022,16,0,168,4,"grandjunction,co"
2020-01-02 06:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,15,16,16,16,6,100,98,0.0,1022,16,0,165,4,"grandjunction,co"
2020-01-02 07:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,15,16,16,16,6,97,96,0.0,1023,16,2,168,4,"grandjunction,co"
2020-01-02 08:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,17,17,17,6,94,93,0.0,1023,17,4,171,5,"grandjunction,co"
2020-01-02 09:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,17,17,17,6,91,91,0.0,1024,17,7,174,5,"grandjunction,co"
2020-01-02 10:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,18,18,18,8,84,86,0.0,1023,18,8,176,6,"grandjunction,co"
2020-01-02 11:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,19,19,19,9,77,82,0.0,1022,19,9,178,7,"grandjunction,co"
2020-01-02 12:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,20,20,20,10,71,77,0.0,1022,20,10,180,8,"grandjunction,co"
2020-01-02 13:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,20,20,20,12,74,76,0.0,1021,20,10,176,8,"grandjunction,co"
2020-01-02 14:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,20,20,20,13,78,74,0.0,1020,20,10,172,9,"grandjunction,co"
2020-01-02 15:00:00,21,15,0.0,4.1,4,44,11:27 AM,11:34 PM,06:34 AM,05:22 PM,16,21,21,21,14,81,73,0.0,1019,21,10,168,9,"grandjunction,co"
