date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,0,3,6,3,27,0,69,0.0,1014,6,10,263,15,"greer,sc"
2020-01-01 01:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,0,2,5,2,23,0,71,0.0,1015,5,10,266,13,"greer,sc"
2020-01-01 02:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-0,2,5,2,19,0,72,0.0,1015,5,10,269,11,"greer,sc"
2020-01-01 03:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-0,2,4,2,15,0,74,0.0,1015,4,10,272,9,"greer,sc"
2020-01-01 04:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-0,2,4,2,14,1,76,0.0,1016,4,10,267,7,"greer,sc"
2020-01-01 05:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-0,2,3,2,12,1,77,0.0,1016,3,10,262,6,"greer,sc"
2020-01-01 06:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-1,2,3,2,10,2,78,0.0,1016,3,10,257,5,"greer,sc"
2020-01-01 07:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-1,2,3,2,10,3,77,0.0,1016,3,10,259,5,"greer,sc"
2020-01-01 08:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-1,2,3,2,10,5,75,0.0,1017,3,10,261,6,"greer,sc"
2020-01-01 09:00:00,11,2,0.0,9.9,3,37,12:54 PM,No moonset,08:37 AM,06:28 PM,-1,2,4,2,10,7,74,0.0,1017,4,10,263,6,"greer,sc"
