date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-11,-13,-7,-13,25,8,76,0.0,1006,-7,10,307,14,"hancock,mi"
2020-01-01 01:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-11,-13,-7,-13,24,14,76,0.0,1006,-7,10,297,14,"hancock,mi"
2020-01-01 02:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-11,-13,-8,-13,24,19,76,0.0,1005,-8,10,287,13,"hancock,mi"
2020-01-01 03:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-11,-13,-8,-13,23,25,76,0.0,1005,-8,10,277,13,"hancock,mi"
2020-01-01 04:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-11,-14,-8,-14,23,32,77,0.0,1005,-8,10,260,12,"hancock,mi"
2020-01-01 05:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-11,-14,-8,-14,23,39,78,0.0,1004,-8,10,243,12,"hancock,mi"
2020-01-01 06:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-12,-14,-9,-14,22,46,80,0.0,1004,-9,10,227,12,"hancock,mi"
2020-01-01 07:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-12,-15,-9,-15,23,55,79,0.0,1003,-9,10,217,12,"hancock,mi"
2020-01-01 08:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-12,-15,-9,-15,23,64,79,0.0,1002,-9,10,207,12,"hancock,mi"
2020-01-01 09:00:00,-1,-10,0.0,3.3,2,37,01:30 PM,No moonset,09:41 AM,06:15 PM,-12,-15,-9,-15,24,73,78,0.0,1002,-9,10,197,13,"hancock,mi"
