date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-1,-2,1,-2,21,31,86,0.0,1002,1,10,252,12,"hartford,ct"
2020-01-01 01:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-2,-3,1,-3,19,28,84,0.0,1002,1,10,257,11,"hartford,ct"
2020-01-01 02:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-3,-3,0,-3,17,24,82,0.0,1002,0,10,261,10,"hartford,ct"
2020-01-01 03:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-3,-3,-0,-3,15,21,80,0.0,1003,-0,10,265,9,"hartford,ct"
2020-01-01 04:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-4,-4,-1,-4,17,17,76,0.0,1003,-1,10,262,10,"hartford,ct"
2020-01-01 05:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-5,-4,-1,-4,19,14,73,0.0,1003,-1,10,260,11,"hartford,ct"
2020-01-01 06:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-5,-1,-5,20,10,70,0.0,1003,-1,10,257,12,"hartford,ct"
2020-01-01 07:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-5,-1,-5,20,11,68,0.0,1003,-1,10,258,12,"hartford,ct"
2020-01-01 08:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-5,-1,-5,19,12,67,0.0,1004,-1,10,259,12,"hartford,ct"
2020-01-01 09:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-5,-1,-5,19,13,66,0.0,1004,-1,10,260,12,"hartford,ct"
2020-01-01 10:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-4,0,-4,19,19,62,0.0,1004,0,10,264,13,"hartford,ct"
2020-01-01 11:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-3,1,-3,19,25,59,0.0,1004,1,10,269,14,"hartford,ct"
2020-01-01 12:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-2,2,-2,19,32,55,0.0,1004,2,10,274,15,"hartford,ct"
2020-01-01 13:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-2,2,-2,19,38,54,0.0,1004,2,10,276,15,"hartford,ct"
2020-01-01 14:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-6,-1,3,-1,19,45,53,0.0,1004,3,10,279,15,"hartford,ct"
2020-01-01 15:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-5,-0,3,-0,18,52,52,0.0,1004,3,10,281,15,"hartford,ct"
2020-01-01 16:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-5,-0,3,-0,18,42,55,0.0,1005,3,10,279,14,"hartford,ct"
2020-01-01 17:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-5,-1,3,-1,18,33,58,0.0,1005,3,10,276,13,"hartford,ct"
2020-01-01 18:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-5,-1,2,-1,17,23,61,0.0,1006,2,10,274,12,"hartford,ct"
2020-01-01 19:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-5,-2,2,-2,17,18,64,0.0,1007,2,10,269,11,"hartford,ct"
2020-01-01 20:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-4,-2,1,-2,16,12,67,0.0,1008,1,10,264,10,"hartford,ct"
2020-01-01 21:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-4,-2,1,-2,15,7,70,0.0,1009,1,10,259,10,"hartford,ct"
2020-01-01 22:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-4,-3,0,-3,15,7,72,0.0,1009,0,10,257,10,"hartford,ct"
2020-01-01 23:00:00,4,-2,0.0,8.7,1,37,12:20 PM,11:56 PM,08:18 AM,05:31 PM,-4,-3,0,-3,14,7,73,0.0,1010,0,10,255,9,"hartford,ct"
2020-01-02 00:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-4,-3,-0,-3,14,7,75,0.0,1011,-0,10,254,9,"hartford,ct"
2020-01-02 01:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-4,-3,-0,-3,13,12,74,0.0,1011,-0,10,251,9,"hartford,ct"
2020-01-02 02:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-4,-3,-0,-3,13,17,74,0.0,1011,-0,10,249,9,"hartford,ct"
2020-01-02 03:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-4,-1,-4,13,22,74,0.0,1012,-1,10,247,9,"hartford,ct"
2020-01-02 04:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-3,-1,-3,12,37,73,0.0,1012,-1,10,244,8,"hartford,ct"
2020-01-02 05:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-3,-1,-3,12,51,72,0.0,1012,-1,10,241,8,"hartford,ct"
2020-01-02 06:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-3,-1,-3,12,65,71,0.0,1013,-1,10,237,8,"hartford,ct"
2020-01-02 07:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-3,-0,-3,12,71,70,0.0,1013,-0,10,234,8,"hartford,ct"
2020-01-02 08:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-3,0,-3,12,76,69,0.0,1013,0,10,230,8,"hartford,ct"
2020-01-02 09:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-5,-2,0,-2,13,81,68,0.0,1014,0,10,227,9,"hartford,ct"
2020-01-02 10:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-4,-1,2,-1,14,65,66,0.0,1014,2,10,227,10,"hartford,ct"
2020-01-02 11:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-4,0,3,0,15,48,63,0.0,1013,3,10,227,11,"hartford,ct"
2020-01-02 12:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-3,1,4,1,16,32,60,0.0,1013,4,10,227,13,"hartford,ct"
2020-01-02 13:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-2,2,5,2,17,23,59,0.0,1013,5,10,225,13,"hartford,ct"
2020-01-02 14:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-2,3,6,3,18,15,58,0.0,1012,6,10,224,14,"hartford,ct"
2020-01-02 15:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-1,4,7,4,18,7,57,0.0,1012,7,10,222,14,"hartford,ct"
2020-01-02 16:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-1,3,6,3,19,16,59,0.0,1012,6,10,219,14,"hartford,ct"
2020-01-02 17:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-1,3,6,3,20,26,61,0.0,1012,6,10,215,13,"hartford,ct"
2020-01-02 18:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-2,2,5,2,21,36,63,0.0,1012,5,10,212,13,"hartford,ct"
2020-01-02 19:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-2,2,4,2,20,47,65,0.0,1012,4,10,214,12,"hartford,ct"
2020-01-02 20:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-2,1,4,1,19,57,67,0.0,1012,4,10,215,11,"hartford,ct"
2020-01-02 21:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-2,1,4,1,18,68,70,0.0,1012,4,10,216,10,"hartford,ct"
2020-01-02 22:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-1,1,3,1,18,50,73,0.0,1011,3,10,214,10,"hartford,ct"
2020-01-02 23:00:00,7,-1,0.0,6.9,2,44,12:44 PM,No moonset,08:18 AM,05:32 PM,-0,1,3,1,18,32,77,0.0,1011,3,10,211,9,"hartford,ct"
2020-01-03 00:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,0,1,3,1,18,15,80,0.0,1010,3,10,209,9,"hartford,ct"
2020-01-03 01:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,0,1,3,1,18,22,80,0.0,1010,3,10,209,9,"hartford,ct"
2020-01-03 02:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,-0,1,3,1,17,30,80,0.0,1010,3,10,210,9,"hartford,ct"
2020-01-03 03:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,-0,1,3,1,17,38,80,0.0,1010,3,10,210,9,"hartford,ct"
2020-01-03 04:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,-0,1,3,1,16,48,80,0.0,1010,3,10,211,8,"hartford,ct"
2020-01-03 05:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,-0,1,3,1,15,58,81,0.0,1010,3,10,212,7,"hartford,ct"
2020-01-03 06:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,-0,1,3,1,14,68,81,0.0,1010,3,10,213,7,"hartford,ct"
2020-01-03 07:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,0,1,3,1,13,68,83,0.0,1010,3,10,215,6,"hartford,ct"
2020-01-03 08:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,1,1,3,1,12,69,84,0.0,1010,3,10,217,6,"hartford,ct"
2020-01-03 09:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,1,2,3,2,11,70,85,0.0,1010,3,10,219,6,"hartford,ct"
2020-01-03 10:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,2,2,4,2,10,68,87,0.0,1010,4,9,232,5,"hartford,ct"
2020-01-03 11:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,2,3,4,3,9,66,90,0.0,1010,4,8,246,5,"hartford,ct"
2020-01-03 12:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,3,4,4,4,8,64,92,0.0,1010,4,7,260,4,"hartford,ct"
2020-01-03 13:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,4,4,5,4,7,68,93,0.0,1009,5,6,264,4,"hartford,ct"
2020-01-03 14:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,4,5,5,5,6,72,94,0.1,1009,5,4,267,4,"hartford,ct"
2020-01-03 15:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,5,6,5,5,75,95,0.1,1008,6,2,271,3,"hartford,ct"
2020-01-03 16:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,5,6,5,6,73,95,0.0,1008,5,2,245,4,"hartford,ct"
2020-01-03 17:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,5,6,5,8,71,96,0.0,1008,5,2,220,4,"hartford,ct"
2020-01-03 18:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,4,6,4,9,69,97,0.0,1008,5,2,194,5,"hartford,ct"
2020-01-03 19:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,4,6,4,8,70,96,0.0,1009,4,2,203,5,"hartford,ct"
2020-01-03 20:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,3,6,3,7,71,96,0.0,1009,4,2,211,4,"hartford,ct"
2020-01-03 21:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,3,6,3,7,73,96,0.0,1009,3,2,220,4,"hartford,ct"
2020-01-03 22:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,3,5,3,7,78,96,0.0,1009,3,2,232,4,"hartford,ct"
2020-01-03 23:00:00,6,1,0.0,3.4,2,51,01:08 PM,12:54 AM,08:18 AM,05:32 PM,5,2,5,2,7,83,95,0.0,1009,2,2,244,4,"hartford,ct"
2020-01-04 00:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,2,5,2,7,88,95,0.0,1009,2,2,255,4,"hartford,ct"
2020-01-04 01:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,3,5,3,6,92,95,0.0,1009,3,2,235,3,"hartford,ct"
2020-01-04 02:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,4,5,4,6,96,95,0.1,1009,4,2,214,3,"hartford,ct"
2020-01-04 03:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,5,5,5,5,100,95,0.1,1008,5,2,193,3,"hartford,ct"
2020-01-04 04:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,5,5,5,4,100,96,0.0,1008,5,3,147,2,"hartford,ct"
2020-01-04 05:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,5,5,5,4,100,97,0.4,1008,5,4,101,2,"hartford,ct"
2020-01-04 06:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,5,5,5,3,100,97,0.5,1007,5,4,56,2,"hartford,ct"
2020-01-04 07:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,4,5,4,5,100,98,0.2,1007,5,6,58,3,"hartford,ct"
2020-01-04 08:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,5,4,5,4,6,100,98,0.5,1007,5,7,60,3,"hartford,ct"
2020-01-04 09:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,5,4,5,4,8,100,98,0.7,1006,5,9,62,4,"hartford,ct"
2020-01-04 10:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,5,5,5,5,8,100,98,0.4,1005,5,9,83,5,"hartford,ct"
2020-01-04 11:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,5,5,6,5,8,100,98,0.3,1005,6,9,105,5,"hartford,ct"
2020-01-04 12:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,6,5,6,5,9,100,98,0.4,1004,6,9,126,5,"hartford,ct"
2020-01-04 13:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,6,6,7,6,8,100,97,0.2,1003,7,8,140,5,"hartford,ct"
2020-01-04 14:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,7,7,8,7,7,100,97,0.2,1002,8,7,153,4,"hartford,ct"
2020-01-04 15:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,8,8,8,8,6,100,97,0.3,1001,8,6,166,4,"hartford,ct"
2020-01-04 16:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,8,8,8,8,7,98,97,0.1,1001,8,4,193,5,"hartford,ct"
2020-01-04 17:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,8,8,8,8,8,96,97,0.0,1001,8,2,221,5,"hartford,ct"
2020-01-04 18:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,8,8,8,8,9,95,97,0.0,1000,8,1,248,6,"hartford,ct"
2020-01-04 19:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,7,6,8,6,12,92,95,0.0,1000,8,2,272,7,"hartford,ct"
2020-01-04 20:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,6,5,7,5,14,89,94,0.0,1000,7,3,296,9,"hartford,ct"
2020-01-04 21:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,5,4,6,4,16,86,92,0.0,1000,6,5,320,10,"hartford,ct"
2020-01-04 22:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,4,3,5,3,18,88,89,0.0,1000,5,6,319,12,"hartford,ct"
2020-01-04 23:00:00,9,5,0.0,3.4,2,59,01:32 PM,01:54 AM,08:18 AM,05:33 PM,2,2,5,2,20,90,86,0.0,1000,5,8,318,13,"hartford,ct"
2020-01-05 00:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,1,0,4,0,22,93,83,0.0,999,4,10,318,15,"hartford,ct"
2020-01-05 01:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,0,-1,3,-1,25,90,81,0.0,999,3,9,319,17,"hartford,ct"
2020-01-05 02:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-1,-2,3,-2,28,87,78,0.1,999,3,9,320,19,"hartford,ct"
2020-01-05 03:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-2,-3,2,-3,31,85,75,0.1,999,2,8,320,21,"hartford,ct"
2020-01-05 04:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-3,-4,1,-4,32,78,73,0.0,1000,1,7,321,22,"hartford,ct"
2020-01-05 05:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-4,-4,1,-4,33,71,70,0.1,1001,1,6,321,22,"hartford,ct"
2020-01-05 06:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-5,-5,0,-5,34,64,67,0.1,1001,0,5,322,23,"hartford,ct"
2020-01-05 07:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-6,-5,0,-5,34,62,65,0.1,1002,0,6,321,23,"hartford,ct"
2020-01-05 08:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-6,-6,-0,-6,34,60,63,0.1,1003,-0,6,320,23,"hartford,ct"
2020-01-05 09:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-6,-1,-6,34,59,61,0.1,1004,-1,7,319,23,"hartford,ct"
2020-01-05 10:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-6,-0,-6,33,41,59,0.0,1005,-0,8,317,23,"hartford,ct"
2020-01-05 11:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-5,0,-5,33,24,56,0.0,1006,0,9,315,24,"hartford,ct"
2020-01-05 12:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-5,1,-5,32,7,54,0.0,1007,1,10,312,25,"hartford,ct"
2020-01-05 13:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-4,1,-4,30,6,53,0.0,1007,1,10,312,24,"hartford,ct"
2020-01-05 14:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-4,1,-4,28,6,52,0.0,1007,1,10,312,23,"hartford,ct"
2020-01-05 15:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-3,2,-3,26,6,51,0.0,1008,2,10,313,22,"hartford,ct"
2020-01-05 16:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-3,1,-3,24,6,52,0.0,1009,1,10,310,20,"hartford,ct"
2020-01-05 17:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-7,-4,1,-4,22,6,54,0.0,1009,1,10,308,17,"hartford,ct"
2020-01-05 18:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-8,-4,0,-4,21,6,55,0.0,1010,0,10,306,15,"hartford,ct"
2020-01-05 19:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-8,-4,-0,-4,19,7,56,0.0,1011,-1,10,302,14,"hartford,ct"
2020-01-05 20:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-8,-5,-1,-5,18,8,56,0.0,1012,-1,10,299,13,"hartford,ct"
2020-01-05 21:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-8,-5,-2,-5,16,9,57,0.0,1013,-2,10,295,12,"hartford,ct"
2020-01-05 22:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-8,-5,-2,-5,15,18,57,0.0,1013,-3,10,293,11,"hartford,ct"
2020-01-05 23:00:00,2,-5,0.4,8.7,1,66,01:58 PM,02:54 AM,08:18 AM,05:34 PM,-8,-5,-2,-5,14,27,58,0.0,1014,-3,10,290,10,"hartford,ct"
2020-01-06 00:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-8,-5,-2,-5,13,36,58,0.0,1014,-4,10,288,9,"hartford,ct"
2020-01-06 01:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-8,-5,-2,-5,14,51,59,0.0,1014,-3,10,277,9,"hartford,ct"
2020-01-06 02:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-8,-5,-2,-5,14,66,60,0.0,1014,-2,10,267,9,"hartford,ct"
2020-01-06 03:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-8,-5,-1,-5,14,82,60,0.0,1013,-1,10,256,9,"hartford,ct"
2020-01-06 04:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-7,-4,-1,-4,13,76,64,0.0,1013,-1,10,244,8,"hartford,ct"
2020-01-06 05:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-7,-4,-1,-4,12,70,68,0.0,1013,-1,10,232,7,"hartford,ct"
2020-01-06 06:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-6,-4,-1,-4,12,64,72,0.0,1013,-1,10,220,7,"hartford,ct"
2020-01-06 07:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-5,-4,-1,-4,12,76,76,0.0,1013,-1,10,217,8,"hartford,ct"
2020-01-06 08:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-4,-4,-1,-4,13,88,80,0.0,1013,-1,10,214,9,"hartford,ct"
2020-01-06 09:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,-4,-1,-4,14,100,84,0.0,1013,-1,10,211,9,"hartford,ct"
2020-01-06 10:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,-3,0,-3,16,100,80,0.0,1013,0,10,218,11,"hartford,ct"
2020-01-06 11:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,-2,1,-2,17,99,76,0.0,1013,1,10,225,12,"hartford,ct"
2020-01-06 12:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,-2,2,-2,18,99,72,0.0,1013,2,10,232,13,"hartford,ct"
2020-01-06 13:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,-1,3,-1,19,95,68,0.0,1012,3,10,239,13,"hartford,ct"
2020-01-06 14:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,0,4,0,20,92,64,0.0,1012,4,10,246,14,"hartford,ct"
2020-01-06 15:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,1,4,1,20,88,60,0.0,1012,4,10,253,14,"hartford,ct"
2020-01-06 16:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,1,4,1,20,82,61,0.0,1012,4,10,255,14,"hartford,ct"
2020-01-06 17:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-3,0,4,0,19,77,61,0.0,1013,4,10,257,13,"hartford,ct"
2020-01-06 18:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-4,0,3,0,19,71,61,0.0,1013,3,10,260,12,"hartford,ct"
2020-01-06 19:00:00,5,-2,0.0,3.4,1,73,02:27 PM,03:56 AM,08:18 AM,05:35 PM,-4,-0,3,-0,18,69,62,0.0,1014,3,10,255,11,"hartford,ct"
