date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-9,-5,-1,-5,32,0,52,0.0,1016,-1,10,223,15,"hays,ks"
2020-01-01 01:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-9,-5,-1,-5,32,1,52,0.0,1015,-1,10,221,15,"hays,ks"
2020-01-01 02:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-9,-5,-1,-5,32,2,53,0.0,1014,-1,10,219,15,"hays,ks"
2020-01-01 03:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-9,-6,-1,-6,32,3,54,0.0,1013,-1,10,218,15,"hays,ks"
2020-01-01 04:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-9,-6,-1,-6,30,3,56,0.0,1012,-1,10,222,15,"hays,ks"
2020-01-01 05:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-8,-6,-1,-6,28,3,58,0.0,1011,-1,10,227,14,"hays,ks"
2020-01-01 06:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-8,-6,-1,-6,26,3,60,0.0,1010,-1,10,232,13,"hays,ks"
2020-01-01 07:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-8,-5,-1,-5,25,4,61,0.0,1009,-1,10,228,12,"hays,ks"
2020-01-01 08:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-7,-5,-1,-5,24,5,62,0.0,1009,-1,10,223,12,"hays,ks"
2020-01-01 09:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-7,-5,-1,-5,23,6,62,0.0,1008,-1,10,219,12,"hays,ks"
2020-01-01 10:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-6,-3,1,-3,22,6,59,0.0,1007,1,10,218,13,"hays,ks"
2020-01-01 11:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-6,-1,2,-1,21,7,56,0.0,1006,2,10,217,14,"hays,ks"
2020-01-01 12:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-5,0,4,0,21,7,53,0.0,1005,4,10,216,16,"hays,ks"
2020-01-01 13:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-5,2,5,2,20,6,50,0.0,1003,5,10,224,15,"hays,ks"
2020-01-01 14:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-4,4,7,4,18,5,47,0.0,1002,7,10,232,14,"hays,ks"
2020-01-01 15:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-4,6,8,6,17,4,43,0.0,1000,8,10,240,14,"hays,ks"
2020-01-01 16:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-4,5,7,5,19,5,45,0.0,1000,7,10,236,13,"hays,ks"
2020-01-01 17:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-4,4,7,4,21,6,47,0.0,999,7,10,233,13,"hays,ks"
2020-01-01 18:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-4,3,6,3,23,7,49,0.0,999,6,10,229,13,"hays,ks"
2020-01-01 19:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-4,2,5,2,24,24,50,0.0,999,5,10,236,13,"hays,ks"
2020-01-01 20:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-3,2,4,2,26,41,52,0.0,999,3,10,244,13,"hays,ks"
2020-01-01 21:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-3,1,3,1,27,59,53,0.0,999,2,10,251,13,"hays,ks"
2020-01-01 22:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-2,1,3,1,27,51,57,0.0,999,2,10,264,13,"hays,ks"
2020-01-01 23:00:00,9,-2,0.0,9.7,2,37,01:06 PM,No moonset,08:56 AM,06:26 PM,-2,1,4,1,28,43,61,0.0,999,3,10,278,13,"hays,ks"
2020-01-02 00:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-1,1,4,1,28,35,65,0.0,999,3,10,291,13,"hays,ks"
2020-01-02 01:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-0,1,4,1,26,26,70,0.0,1000,4,10,290,12,"hays,ks"
2020-01-02 02:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,0,1,4,1,24,17,74,0.0,1000,4,10,288,12,"hays,ks"
2020-01-02 03:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,1,4,1,23,8,78,0.0,1000,4,10,287,11,"hays,ks"
2020-01-02 04:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-0,1,4,1,25,13,76,0.0,1000,4,10,289,12,"hays,ks"
2020-01-02 05:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-1,0,3,0,27,18,75,0.0,1001,3,10,292,13,"hays,ks"
2020-01-02 06:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-1,-0,3,-0,29,23,73,0.0,1001,3,10,295,14,"hays,ks"
2020-01-02 07:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-2,-1,3,-1,31,21,71,0.0,1002,3,10,299,16,"hays,ks"
2020-01-02 08:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-2,-1,3,-1,34,18,69,0.0,1002,3,10,303,18,"hays,ks"
2020-01-02 09:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-2,-1,3,-1,36,15,67,0.0,1003,3,10,307,20,"hays,ks"
2020-01-02 10:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-2,-0,4,-0,35,12,66,0.0,1003,4,10,315,22,"hays,ks"
2020-01-02 11:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-2,0,5,0,34,9,64,0.0,1004,5,10,323,24,"hays,ks"
2020-01-02 12:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-1,1,6,1,33,6,62,0.0,1004,6,10,331,26,"hays,ks"
2020-01-02 13:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-1,2,6,2,32,7,62,0.0,1004,6,10,259,26,"hays,ks"
2020-01-02 14:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,-0,2,7,2,32,9,62,0.0,1004,7,10,187,27,"hays,ks"
2020-01-02 15:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,0,3,7,3,31,10,62,0.0,1004,7,10,115,27,"hays,ks"
2020-01-02 16:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,2,6,2,30,11,67,0.0,1005,6,10,155,25,"hays,ks"
2020-01-02 17:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,2,6,2,29,12,71,0.0,1005,6,10,196,22,"hays,ks"
2020-01-02 18:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,1,5,1,28,12,75,0.0,1006,5,10,236,20,"hays,ks"
2020-01-02 19:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,1,4,1,26,19,80,0.0,1007,4,10,276,17,"hays,ks"
2020-01-02 20:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,0,4,0,24,25,85,0.0,1009,4,10,317,15,"hays,ks"
2020-01-02 21:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,2,-0,3,-0,21,31,89,0.0,1010,3,10,357,12,"hays,ks"
2020-01-02 22:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,-0,3,-0,21,29,90,0.0,1011,3,10,351,11,"hays,ks"
2020-01-02 23:00:00,7,3,0.0,9.7,2,44,01:32 PM,12:48 AM,08:56 AM,06:26 PM,1,-0,3,-0,20,27,91,0.0,1012,3,10,345,11,"hays,ks"
2020-01-03 00:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,1,-1,2,-1,20,25,92,0.0,1013,2,10,339,10,"hays,ks"
2020-01-03 01:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,1,-1,2,-1,22,19,90,0.0,1013,2,10,331,11,"hays,ks"
2020-01-03 02:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,0,-1,2,-1,24,12,88,0.0,1014,2,10,324,11,"hays,ks"
2020-01-03 03:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-0,-2,2,-2,26,6,86,0.0,1014,2,10,316,12,"hays,ks"
2020-01-03 04:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-1,-2,2,-2,30,5,81,0.0,1014,2,10,315,15,"hays,ks"
2020-01-03 05:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-3,-3,2,-3,34,4,75,0.0,1015,2,10,313,18,"hays,ks"
2020-01-03 06:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-4,-3,2,-3,38,3,69,0.0,1015,2,10,312,21,"hays,ks"
2020-01-03 07:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-4,-3,2,-3,39,7,68,0.0,1016,2,10,316,22,"hays,ks"
2020-01-03 08:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-4,-3,2,-3,39,10,68,0.0,1017,2,10,321,23,"hays,ks"
2020-01-03 09:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-4,-3,2,-3,40,14,67,0.0,1018,2,10,325,24,"hays,ks"
2020-01-03 10:00:00,8,1,0.0,9.7,2,51,01:57 PM,01:45 AM,08:56 AM,06:27 PM,-4,-2,3,-2,37,12,63,0.0,1018,3,10,328,24,"hays,ks"
