date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,16,20,20,20,7,62,79,0.1,1019,20,9,96,6,"hilo,hi"
2020-01-01 01:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,16,20,20,20,7,55,77,0.1,1018,20,10,125,6,"hilo,hi"
2020-01-01 02:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,16,20,20,20,6,48,76,0.0,1018,20,10,155,5,"hilo,hi"
2020-01-01 03:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,15,20,20,20,6,42,75,0.0,1017,20,10,184,4,"hilo,hi"
2020-01-01 04:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,15,20,20,20,7,47,74,0.0,1017,20,10,203,6,"hilo,hi"
2020-01-01 05:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,15,20,20,20,9,53,73,0.0,1017,20,10,221,7,"hilo,hi"
2020-01-01 06:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,14,19,19,19,10,59,72,0.0,1017,19,10,239,8,"hilo,hi"
2020-01-01 07:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,15,20,20,20,10,43,72,0.0,1017,20,10,225,8,"hilo,hi"
2020-01-01 08:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,15,21,21,21,9,27,71,0.0,1018,21,10,211,8,"hilo,hi"
2020-01-01 09:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,16,21,22,21,9,12,71,0.0,1018,21,10,197,8,"hilo,hi"
2020-01-01 10:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,16,22,23,22,10,23,70,0.0,1018,22,10,171,8,"hilo,hi"
2020-01-01 11:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,17,24,24,22,11,34,69,0.0,1018,22,10,144,9,"hilo,hi"
2020-01-01 12:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,17,25,25,23,12,44,69,0.0,1018,23,10,117,10,"hilo,hi"
2020-01-01 13:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,17,25,25,23,12,58,71,0.0,1017,23,10,119,11,"hilo,hi"
2020-01-01 14:00:00,23,19,0.0,7.2,6,37,11:42 AM,11:47 PM,06:55 AM,05:53 PM,18,25,25,23,13,71,74,0.0,1016,23,10,120,12,"hilo,hi"
