date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,2,3,2,14,0,82,0.0,1019,3,10,276,8,"huntsville,al"
2020-01-01 01:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,1,3,1,13,3,83,0.0,1019,3,10,274,7,"huntsville,al"
2020-01-01 02:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,1,3,1,11,6,85,0.0,1019,3,10,271,6,"huntsville,al"
2020-01-01 03:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,1,3,1,10,9,86,0.0,1019,3,10,269,5,"huntsville,al"
2020-01-01 04:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,1,2,1,9,11,87,0.0,1019,2,10,269,4,"huntsville,al"
2020-01-01 05:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,2,2,2,8,12,88,0.0,1019,2,10,268,4,"huntsville,al"
2020-01-01 06:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,2,2,2,6,13,89,0.0,1019,2,10,268,3,"huntsville,al"
2020-01-01 07:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,3,3,3,6,12,85,0.0,1020,3,10,265,3,"huntsville,al"
2020-01-01 08:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,3,4,3,5,11,81,0.0,1020,4,10,262,3,"huntsville,al"
2020-01-01 09:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,4,4,4,4,10,77,0.0,1020,4,10,259,3,"huntsville,al"
2020-01-01 10:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,6,6,6,5,21,70,0.0,1020,6,10,251,4,"huntsville,al"
2020-01-01 11:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,7,7,7,6,32,63,0.0,1019,7,10,244,5,"huntsville,al"
2020-01-01 12:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,-0,8,8,8,6,43,56,0.0,1019,8,10,236,5,"huntsville,al"
2020-01-01 13:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,8,9,8,7,36,54,0.0,1018,9,10,230,6,"huntsville,al"
2020-01-01 14:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,9,10,9,8,29,52,0.0,1018,10,10,224,6,"huntsville,al"
2020-01-01 15:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,9,10,9,8,23,50,0.0,1017,10,10,218,7,"huntsville,al"
2020-01-01 16:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,9,9,9,9,17,54,0.0,1017,9,10,206,7,"huntsville,al"
2020-01-01 17:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,8,9,8,10,11,58,0.0,1016,9,10,195,6,"huntsville,al"
2020-01-01 18:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,7,8,7,10,6,61,0.0,1016,8,10,183,6,"huntsville,al"
2020-01-01 19:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,1,6,7,6,11,7,63,0.0,1016,7,10,181,6,"huntsville,al"
2020-01-01 20:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,6,7,6,12,8,64,0.0,1016,7,10,179,6,"huntsville,al"
2020-01-01 21:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,5,6,5,13,9,66,0.0,1016,6,10,176,6,"huntsville,al"
2020-01-01 22:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,0,5,6,5,12,18,66,0.0,1016,6,10,172,6,"huntsville,al"
2020-01-01 23:00:00,10,2,0.0,8.7,3,37,12:11 PM,11:58 PM,07:54 AM,05:46 PM,-0,5,6,5,12,28,67,0.0,1016,6,10,168,6,"huntsville,al"
2020-01-02 00:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,-0,4,5,4,11,37,67,0.0,1016,5,10,163,5,"huntsville,al"
2020-01-02 01:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,-0,5,6,5,11,50,67,0.0,1015,6,10,156,6,"huntsville,al"
2020-01-02 02:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,0,5,6,5,11,62,67,0.0,1015,6,10,149,6,"huntsville,al"
2020-01-02 03:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,0,5,6,5,12,75,66,0.0,1015,6,10,143,6,"huntsville,al"
2020-01-02 04:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,1,5,6,5,12,82,71,0.0,1015,6,9,142,7,"huntsville,al"
2020-01-02 05:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,2,5,6,5,12,89,76,0.6,1015,6,9,141,8,"huntsville,al"
2020-01-02 06:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,3,4,6,4,13,96,81,0.8,1015,6,8,140,9,"huntsville,al"
2020-01-02 07:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,4,4,6,4,13,97,85,0.4,1015,6,8,136,9,"huntsville,al"
2020-01-02 08:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,4,4,6,4,13,99,89,1.5,1015,6,7,132,9,"huntsville,al"
2020-01-02 09:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,5,4,6,4,13,100,93,2.0,1015,6,7,128,10,"huntsville,al"
2020-01-02 10:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,6,4,7,4,16,100,94,1.0,1014,7,7,128,12,"huntsville,al"
2020-01-02 11:00:00,10,4,0.0,3.7,3,44,12:39 PM,No moonset,07:54 AM,05:47 PM,6,4,7,4,19,100,95,3.4,1014,7,6,129,13,"huntsville,al"
