date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-5,-1,-5,29,86,77,0.0,1013,-3,10,266,21,"indianapolis,in"
2020-01-01 01:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-5,-0,-5,28,91,78,0.0,1013,-2,10,268,21,"indianapolis,in"
2020-01-01 02:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-5,-0,-5,28,95,79,0.0,1013,-1,10,269,20,"indianapolis,in"
2020-01-01 03:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-5,0,-5,27,100,80,0.0,1013,0,10,271,20,"indianapolis,in"
2020-01-01 04:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-5,0,-5,25,94,80,0.0,1013,0,10,267,19,"indianapolis,in"
2020-01-01 05:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-5,0,-5,24,88,80,0.0,1013,0,10,263,18,"indianapolis,in"
2020-01-01 06:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-4,0,-4,22,82,80,0.0,1013,0,10,259,16,"indianapolis,in"
2020-01-01 07:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-4,0,-4,21,68,80,0.0,1013,0,10,252,15,"indianapolis,in"
2020-01-01 08:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-4,0,-4,20,55,81,0.0,1013,0,10,245,15,"indianapolis,in"
2020-01-01 09:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-3,-4,0,-4,19,41,81,0.0,1013,0,10,238,14,"indianapolis,in"
2020-01-01 10:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,-3,1,-3,20,35,79,0.0,1013,1,10,233,15,"indianapolis,in"
2020-01-01 11:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,-3,1,-3,20,29,78,0.0,1013,1,10,229,16,"indianapolis,in"
2020-01-01 12:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,-2,2,-2,20,23,76,0.0,1013,2,10,224,17,"indianapolis,in"
2020-01-01 13:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,-1,3,-1,21,15,72,0.0,1013,3,10,220,18,"indianapolis,in"
2020-01-01 14:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,-0,4,-0,23,8,67,0.0,1012,4,10,216,19,"indianapolis,in"
2020-01-01 15:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,1,5,1,25,0,63,0.0,1012,5,10,213,20,"indianapolis,in"
2020-01-01 16:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,1,5,1,27,0,62,0.0,1011,5,10,211,20,"indianapolis,in"
2020-01-01 17:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,1,5,1,29,0,61,0.0,1010,5,10,209,20,"indianapolis,in"
2020-01-01 18:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,1,5,1,31,0,60,0.0,1010,5,10,207,21,"indianapolis,in"
2020-01-01 19:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,1,5,1,33,0,64,0.0,1009,4,10,204,21,"indianapolis,in"
2020-01-01 20:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-1,0,4,0,34,0,67,0.0,1009,4,10,201,21,"indianapolis,in"
2020-01-01 21:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-1,-0,3,-0,36,0,70,0.0,1009,3,10,198,21,"indianapolis,in"
2020-01-01 22:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-1,-0,3,-0,37,1,70,0.0,1009,2,10,197,21,"indianapolis,in"
2020-01-01 23:00:00,6,0,0.0,8.7,1,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-1,0,3,0,38,1,70,0.0,1009,2,10,197,22,"indianapolis,in"
2020-01-02 00:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-1,0,3,0,39,2,69,0.0,1009,2,10,197,22,"indianapolis,in"
2020-01-02 01:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-1,0,3,0,39,5,68,0.0,1009,2,10,198,22,"indianapolis,in"
2020-01-02 02:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-2,-0,4,-0,39,9,67,0.0,1009,3,10,199,22,"indianapolis,in"
2020-01-02 03:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-2,-1,4,-1,39,12,66,0.0,1009,4,10,200,22,"indianapolis,in"
2020-01-02 04:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-2,-1,4,-1,37,15,67,0.0,1008,4,10,199,21,"indianapolis,in"
2020-01-02 05:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-2,-1,4,-1,36,17,69,0.0,1008,4,10,199,21,"indianapolis,in"
2020-01-02 06:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-1,-1,4,-1,35,20,71,0.0,1007,4,10,198,20,"indianapolis,in"
2020-01-02 07:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-1,-1,4,-1,35,20,72,0.0,1007,4,10,200,21,"indianapolis,in"
2020-01-02 08:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,-0,-0,4,-0,35,20,73,0.0,1008,4,10,202,21,"indianapolis,in"
2020-01-02 09:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,0,-0,4,-0,35,20,75,0.0,1008,4,10,204,22,"indianapolis,in"
2020-01-02 10:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,1,1,5,1,34,36,75,0.0,1008,5,10,207,22,"indianapolis,in"
2020-01-02 11:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,2,2,6,2,33,52,74,0.0,1008,6,10,210,22,"indianapolis,in"
2020-01-02 12:00:00,9,4,0.0,3.5,3,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,3,3,7,3,32,67,74,0.0,1008,7,10,213,23,"indianapolis,in"
