date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,0,2,6,2,38,63,67,0.1,1004,6,9,271,26,"islip,ny"
2020-01-01 01:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-1,1,5,1,37,49,63,0.1,1004,5,10,274,25,"islip,ny"
2020-01-01 02:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-3,0,5,0,35,35,60,0.0,1004,5,10,276,24,"islip,ny"
2020-01-01 03:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-4,-1,4,-1,34,21,57,0.0,1004,4,10,279,24,"islip,ny"
2020-01-01 04:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-4,-1,3,-1,34,19,56,0.0,1005,3,10,280,24,"islip,ny"
2020-01-01 05:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-5,-2,3,-2,34,17,56,0.0,1005,3,10,281,24,"islip,ny"
2020-01-01 06:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-5,-3,3,-3,34,15,56,0.0,1005,3,10,282,24,"islip,ny"
2020-01-01 07:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-6,-3,2,-3,34,13,56,0.0,1005,2,10,281,25,"islip,ny"
2020-01-01 08:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-6,-3,2,-3,33,11,55,0.0,1006,2,10,280,25,"islip,ny"
2020-01-01 09:00:00,4,2,0.0,8.7,2,37,12:21 PM,11:59 PM,08:17 AM,05:36 PM,-6,-4,2,-4,33,9,55,0.0,1006,2,10,280,25,"islip,ny"
